race_key,date,jo_code,jo_name,race_no,car_no,player_id,finish_order,result_status,result_reason,trifecta,trifecta_payout,popularity
20260818_大垣_1R,20260818,44,大垣,1,7,014305,1,NORMAL,,7-3-5,600,1
20260818_大垣_1R,20260818,44,大垣,1,3,013263,2,NORMAL,,7-3-5,600,1
20260818_大垣_1R,20260818,44,大垣,1,5,013729,3,NORMAL,,7-3-5,600,1
20260818_大垣_1R,20260818,44,大垣,1,2,014240,4,NORMAL,,7-3-5,600,1
20260818_大垣_1R,20260818,44,大垣,1,1,014601,5,NORMAL,,7-3-5,600,1
20260818_大垣_1R,20260818,44,大垣,1,4,013896,6,NORMAL,,7-3-5,600,1
20260818_大垣_1R,20260818,44,大垣,1,6,015085,7,NORMAL,,7-3-5,600,1
20260818_大垣_2R,20260818,44,大垣,2,1,014749,1,NORMAL,,1-7-3,11370,43
20260818_大垣_2R,20260818,44,大垣,2,7,015287,2,NORMAL,,1-7-3,11370,43
20260818_大垣_2R,20260818,44,大垣,2,3,014949,3,NORMAL,,1-7-3,11370,43
20260818_大垣_2R,20260818,44,大垣,2,4,014695,4,NORMAL,,1-7-3,11370,43
20260818_大垣_2R,20260818,44,大垣,2,2,013646,5,NORMAL,,1-7-3,11370,43
20260818_大垣_2R,20260818,44,大垣,2,5,015101,6,NORMAL,,1-7-3,11370,43
20260818_大垣_2R,20260818,44,大垣,2,6,014755,7,NORMAL,,1-7-3,11370,43
20260818_大垣_3R,20260818,44,大垣,3,7,015276,1,NORMAL,,7-3-1,3770,11
20260818_大垣_3R,20260818,44,大垣,3,3,015327,2,NORMAL,,7-3-1,3770,11
20260818_大垣_3R,20260818,44,大垣,3,1,015700,3,NORMAL,,7-3-1,3770,11
20260818_大垣_3R,20260818,44,大垣,3,4,011477,4,NORMAL,,7-3-1,3770,11
20260818_大垣_3R,20260818,44,大垣,3,2,015193,5,NORMAL,,7-3-1,3770,11
20260818_大垣_3R,20260818,44,大垣,3,5,014620,6,NORMAL,,7-3-1,3770,11
20260818_大垣_3R,20260818,44,大垣,3,6,015045,7,NORMAL,,7-3-1,3770,11
20260818_大垣_4R,20260818,44,大垣,4,2,014119,1,NORMAL,,2-5-1,37490,76
20260818_大垣_4R,20260818,44,大垣,4,5,014390,2,NORMAL,,2-5-1,37490,76
20260818_大垣_4R,20260818,44,大垣,4,1,014477,3,NORMAL,,2-5-1,37490,76
20260818_大垣_4R,20260818,44,大垣,4,6,014625,4,NORMAL,,2-5-1,37490,76
20260818_大垣_4R,20260818,44,大垣,4,7,013929,5,NORMAL,,2-5-1,37490,76
20260818_大垣_4R,20260818,44,大垣,4,3,015704,6,NORMAL,,2-5-1,37490,76
20260818_大垣_4R,20260818,44,大垣,4,4,015921,,失格,先頭員早期追い抜き,2-5-1,37490,76
20260818_大垣_5R,20260818,44,大垣,5,4,015821,1,NORMAL,,4-3-7,5040,13
20260818_大垣_5R,20260818,44,大垣,5,3,015602,2,NORMAL,,4-3-7,5040,13
