race_key,date,jo_code,jo_name,race_no,car_no,player_id,finish_order,result_status,result_reason,trifecta,trifecta_payout,popularity
20260815_松山_1R,20260815,75,松山,1,1,015038,1,NORMAL,,1-7-5,3800,5
20260815_松山_1R,20260815,75,松山,1,7,015243,2,NORMAL,,1-7-5,3800,5
20260815_松山_1R,20260815,75,松山,1,5,014112,3,NORMAL,,1-7-5,3800,5
20260815_松山_1R,20260815,75,松山,1,9,013821,4,NORMAL,,1-7-5,3800,5
20260815_松山_1R,20260815,75,松山,1,4,015179,5,NORMAL,,1-7-5,3800,5
20260815_松山_1R,20260815,75,松山,1,2,015822,6,NORMAL,,1-7-5,3800,5
20260815_松山_1R,20260815,75,松山,1,8,014322,7,NORMAL,,1-7-5,3800,5
20260815_松山_1R,20260815,75,松山,1,6,015417,8,NORMAL,,1-7-5,3800,5
20260815_松山_1R,20260815,75,松山,1,3,015449,9,NORMAL,,1-7-5,3800,5
20260815_松山_2R,20260815,75,松山,2,5,014052,1,NORMAL,,5-2-9,8520,21
20260815_松山_2R,20260815,75,松山,2,2,014210,2,NORMAL,,5-2-9,8520,21
20260815_松山_2R,20260815,75,松山,2,9,015272,3,NORMAL,,5-2-9,8520,21
20260815_松山_2R,20260815,75,松山,2,6,015807,4,NORMAL,,5-2-9,8520,21
20260815_松山_2R,20260815,75,松山,2,8,013815,5,NORMAL,,5-2-9,8520,21
20260815_松山_2R,20260815,75,松山,2,1,013656,6,NORMAL,,5-2-9,8520,21
20260815_松山_2R,20260815,75,松山,2,3,015383,7,NORMAL,,5-2-9,8520,21
20260815_松山_2R,20260815,75,松山,2,4,015199,8,NORMAL,,5-2-9,8520,21
20260815_松山_2R,20260815,75,松山,2,7,015518,9,NORMAL,,5-2-9,8520,21
20260815_松山_3R,20260815,75,松山,3,5,013963,1,NORMAL,,5-2-9,16710,55
20260815_松山_3R,20260815,75,松山,3,2,015868,2,NORMAL,,5-2-9,16710,55
20260815_松山_3R,20260815,75,松山,3,9,014356,3,NORMAL,,5-2-9,16710,55
20260815_松山_3R,20260815,75,松山,3,1,014484,4,NORMAL,,5-2-9,16710,55
20260815_松山_3R,20260815,75,松山,3,3,015235,5,NORMAL,,5-2-9,16710,55
