レースキー,開催日,競輪場,レース番号,車番,登録番号,着順,結果ステータス,3連単組番,3連単払戻,人気,払戻分類,is_20000_plus,is_50000_plus
20260713_宇都宮_1R,20260713,宇都宮,1,5,015911,,NORMAL,5-3-7,1690,(5),UNDER_10000,0,0
20260713_宇都宮_1R,20260713,宇都宮,1,3,012742,,NORMAL,5-3-7,1690,(5),UNDER_10000,0,0
20260713_宇都宮_1R,20260713,宇都宮,1,7,015107,,NORMAL,5-3-7,1690,(5),UNDER_10000,0,0
20260713_宇都宮_1R,20260713,宇都宮,1,2,013903,,NORMAL,5-3-7,1690,(5),UNDER_10000,0,0
20260713_宇都宮_1R,20260713,宇都宮,1,4,013417,,NORMAL,5-3-7,1690,(5),UNDER_10000,0,0
20260713_宇都宮_1R,20260713,宇都宮,1,6,014195,,NORMAL,5-3-7,1690,(5),UNDER_10000,0,0
20260713_宇都宮_1R,20260713,宇都宮,1,1,014329,,NORMAL,5-3-7,1690,(5),UNDER_10000,0,0
20260713_宇都宮_2R,20260713,宇都宮,2,2,013695,,NORMAL,2-7-5,1450,(2),UNDER_10000,0,0
20260713_宇都宮_2R,20260713,宇都宮,2,7,015895,,NORMAL,2-7-5,1450,(2),UNDER_10000,0,0
20260713_宇都宮_2R,20260713,宇都宮,2,5,014737,,NORMAL,2-7-5,1450,(2),UNDER_10000,0,0
20260713_宇都宮_2R,20260713,宇都宮,2,1,013353,,NORMAL,2-7-5,1450,(2),UNDER_10000,0,0
20260713_宇都宮_2R,20260713,宇都宮,2,3,015101,,NORMAL,2-7-5,1450,(2),UNDER_10000,0,0
20260713_宇都宮_2R,20260713,宇都宮,2,4,015831,,NORMAL,2-7-5,1450,(2),UNDER_10000,0,0
20260713_宇都宮_2R,20260713,宇都宮,2,6,011817,,NORMAL,2-7-5,1450,(2),UNDER_10000,0,0
20260713_宇都宮_3R,20260713,宇都宮,3,5,015748,,NORMAL,5-1-2,3550,(11),UNDER_10000,0,0
20260713_宇都宮_3R,20260713,宇都宮,3,1,015182,,NORMAL,5-1-2,3550,(11),UNDER_10000,0,0
20260713_宇都宮_3R,20260713,宇都宮,3,2,014269,,NORMAL,5-1-2,3550,(11),UNDER_10000,0,0
20260713_宇都宮_3R,20260713,宇都宮,3,4,013477,,NORMAL,5-1-2,3550,(11),UNDER_10000,0,0
20260713_宇都宮_3R,20260713,宇都宮,3,3,014236,,NORMAL,5-1-2,3550,(11),UNDER_10000,0,0
20260713_宇都宮_3R,20260713,宇都宮,3,6,014242,,NORMAL,5-1-2,3550,(11),UNDER_10000,0,0
20260713_宇都宮_3R,20260713,宇都宮,3,7,013219,,NORMAL,5-1-2,3550,(11),UNDER_10000,0,0
20260713_宇都宮_4R,20260713,宇都宮,4,1,015721,,NORMAL,1-7-4,410,(1),UNDER_10000,0,0
20260713_宇都宮_4R,20260713,宇都宮,4,7,014862,,NORMAL,1-7-4,410,(1),UNDER_10000,0,0
20260713_宇都宮_4R,20260713,宇都宮,4,4,014058,,NORMAL,1-7-4,410,(1),UNDER_10000,0,0
20260713_宇都宮_4R,20260713,宇都宮,4,5,015933,,NORMAL,1-7-4,410,(1),UNDER_10000,0,0
20260713_宇都宮_4R,20260713,宇都宮,4,2,014651,,NORMAL,1-7-4,410,(1),UNDER_10000,0,0
20260713_宇都宮_4R,20260713,宇都宮,4,3,013895,,NORMAL,1-7-4,410,(1),UNDER_10000,0,0
20260713_宇都宮_4R,20260713,宇都宮,4,6,015085,,NORMAL,1-7-4,410,(1),UNDER_10000,0,0
20260713_宇都宮_5R,20260713,宇都宮,5,4,014477,,NORMAL,4-2-1,32540,(123),20000_TO_49999,1,0
20260713_宇都宮_5R,20260713,宇都宮,5,2,015204,,NORMAL,4-2-1,32540,(123),20000_TO_49999,1,0
20260713_宇都宮_5R,20260713,宇都宮,5,1,013693,,NORMAL,4-2-1,32540,(123),20000_TO_49999,1,0
20260713_宇都宮_5R,20260713,宇都宮,5,7,014714,,NORMAL,4-2-1,32540,(123),20000_TO_49999,1,0
20260713_宇都宮_5R,20260713,宇都宮,5,6,015285,,NORMAL,4-2-1,32540,(123),20000_TO_49999,1,0
20260713_宇都宮_5R,20260713,宇都宮,5,3,014130,,NORMAL,4-2-1,32540,(123),20000_TO_49999,1,0
20260713_宇都宮_5R,20260713,宇都宮,5,5,015421,,NORMAL,4-2-1,32540,(123),20000_TO_49999,1,0
20260713_宇都宮_6R,20260713,宇都宮,6,2,015725,,NORMAL,2-7-1,2440,(8),UNDER_10000,0,0
20260713_宇都宮_6R,20260713,宇都宮,6,7,014409,,NORMAL,2-7-1,2440,(8),UNDER_10000,0,0
20260713_宇都宮_6R,20260713,宇都宮,6,1,014499,,NORMAL,2-7-1,2440,(8),UNDER_10000,0,0
20260713_宇都宮_6R,20260713,宇都宮,6,5,015067,,NORMAL,2-7-1,2440,(8),UNDER_10000,0,0
20260713_宇都宮_6R,20260713,宇都宮,6,3,013070,,NORMAL,2-7-1,2440,(8),UNDER_10000,0,0
20260713_宇都宮_6R,20260713,宇都宮,6,4,012487,,NORMAL,2-7-1,2440,(8),UNDER_10000,0,0
20260713_宇都宮_6R,20260713,宇都宮,6,6,014712,,NORMAL,2-7-1,2440,(8),UNDER_10000,0,0
20260713_宇都宮_7R,20260713,宇都宮,7,2,015468,,NORMAL,2-3-7,5460,(18),UNDER_10000,0,0
20260713_宇都宮_7R,20260713,宇都宮,7,3,012669,,NORMAL,2-3-7,5460,(18),UNDER_10000,0,0
20260713_宇都宮_7R,20260713,宇都宮,7,7,014685,,NORMAL,2-3-7,5460,(18),UNDER_10000,0,0
20260713_宇都宮_7R,20260713,宇都宮,7,5,015723,,NORMAL,2-3-7,5460,(18),UNDER_10000,0,0
20260713_宇都宮_7R,20260713,宇都宮,7,1,014515,,NORMAL,2-3-7,5460,(18),UNDER_10000,0,0
