race_key,date,jo_code,jo_name,race_no,car_no,player_id,finish_order,result_status,result_reason,trifecta,trifecta_payout,popularity
20260809_佐世保_9R,20260809,85,佐世保,9,6,015866,7,NORMAL,,4-5-2,8890,36
20260809_佐世保_10R,20260809,85,佐世保,10,2,015225,1,NORMAL,,2-7-1,8730,30
20260809_佐世保_10R,20260809,85,佐世保,10,7,015587,2,NORMAL,,2-7-1,8730,30
20260809_佐世保_10R,20260809,85,佐世保,10,1,015023,3,NORMAL,,2-7-1,8730,30
20260809_佐世保_10R,20260809,85,佐世保,10,6,015320,4,NORMAL,,2-7-1,8730,30
20260809_佐世保_10R,20260809,85,佐世保,10,3,015947,5,NORMAL,,2-7-1,8730,30
20260809_佐世保_10R,20260809,85,佐世保,10,5,015311,6,NORMAL,,2-7-1,8730,30
20260809_佐世保_10R,20260809,85,佐世保,10,4,015224,7,NORMAL,,2-7-1,8730,30
20260809_佐世保_11R,20260809,85,佐世保,11,4,014974,1,NORMAL,,4-2-5,2670,4
20260809_佐世保_11R,20260809,85,佐世保,11,2,015859,2,NORMAL,,4-2-5,2670,4
20260809_佐世保_11R,20260809,85,佐世保,11,5,014900,3,NORMAL,,4-2-5,2670,4
20260809_佐世保_11R,20260809,85,佐世保,11,3,015679,4,NORMAL,,4-2-5,2670,4
20260809_佐世保_11R,20260809,85,佐世保,11,6,015501,5,NORMAL,,4-2-5,2670,4
20260809_佐世保_11R,20260809,85,佐世保,11,1,015756,6,NORMAL,,4-2-5,2670,4
20260809_佐世保_11R,20260809,85,佐世保,11,7,015230,7,NORMAL,,4-2-5,2670,4
20260809_佐世保_12R,20260809,85,佐世保,12,1,015306,1,NORMAL,,1-7-3,3850,13
20260809_佐世保_12R,20260809,85,佐世保,12,7,015219,2,NORMAL,,1-7-3,3850,13
20260809_佐世保_12R,20260809,85,佐世保,12,3,015080,3,NORMAL,,1-7-3,3850,13
20260809_佐世保_12R,20260809,85,佐世保,12,2,015218,4,NORMAL,,1-7-3,3850,13
20260809_佐世保_12R,20260809,85,佐世保,12,6,015586,5,NORMAL,,1-7-3,3850,13
20260809_佐世保_12R,20260809,85,佐世保,12,4,014963,6,NORMAL,,1-7-3,3850,13
20260809_佐世保_12R,20260809,85,佐世保,12,5,015070,7,NORMAL,,1-7-3,3850,13
20260809_和歌山_1R,20260809,55,和歌山,1,1,014222,1,NORMAL,,1-4-5,880,2
20260809_和歌山_1R,20260809,55,和歌山,1,4,014163,2,NORMAL,,1-4-5,880,2
20260809_和歌山_1R,20260809,55,和歌山,1,5,014863,3,NORMAL,,1-4-5,880,2
20260809_和歌山_1R,20260809,55,和歌山,1,3,014881,4,NORMAL,,1-4-5,880,2
20260809_和歌山_1R,20260809,55,和歌山,1,9,014286,5,NORMAL,,1-4-5,880,2
20260809_和歌山_1R,20260809,55,和歌山,1,7,014176,6,NORMAL,,1-4-5,880,2
20260809_和歌山_1R,20260809,55,和歌山,1,8,013593,7,NORMAL,,1-4-5,880,2
20260809_和歌山_1R,20260809,55,和歌山,1,6,014947,8,NORMAL,,1-4-5,880,2
20260809_和歌山_1R,20260809,55,和歌山,1,2,014839,9,NORMAL,,1-4-5,880,2
20260809_和歌山_2R,20260809,55,和歌山,2,9,015173,1,NORMAL,,9-5-6,2690,5
20260809_和歌山_2R,20260809,55,和歌山,2,5,014076,2,NORMAL,,9-5-6,2690,5
20260809_和歌山_2R,20260809,55,和歌山,2,6,015514,3,NORMAL,,9-5-6,2690,5
20260809_和歌山_2R,20260809,55,和歌山,2,3,014944,4,NORMAL,,9-5-6,2690,5
20260809_和歌山_2R,20260809,55,和歌山,2,7,014186,5,NORMAL,,9-5-6,2690,5
20260809_和歌山_2R,20260809,55,和歌山,2,2,014372,6,NORMAL,,9-5-6,2690,5
20260809_和歌山_2R,20260809,55,和歌山,2,8,012688,7,NORMAL,,9-5-6,2690,5
20260809_和歌山_2R,20260809,55,和歌山,2,1,014692,8,NORMAL,,9-5-6,2690,5
20260809_和歌山_2R,20260809,55,和歌山,2,4,013335,9,NORMAL,,9-5-6,2690,5
20260809_和歌山_3R,20260809,55,和歌山,3,1,015106,1,NORMAL,,1-6-5,1280,2
20260809_和歌山_3R,20260809,55,和歌山,3,6,015723,2,NORMAL,,1-6-5,1280,2
20260809_和歌山_3R,20260809,55,和歌山,3,5,014199,3,NORMAL,,1-6-5,1280,2
20260809_和歌山_3R,20260809,55,和歌山,3,8,015250,4,NORMAL,,1-6-5,1280,2
20260809_和歌山_3R,20260809,55,和歌山,3,9,014108,5,NORMAL,,1-6-5,1280,2
20260809_和歌山_3R,20260809,55,和歌山,3,7,014147,6,NORMAL,,1-6-5,1280,2
