レースキー,開催日,競輪場,レース番号,車番,登録番号,着順,結果ステータス,結果理由,3連単組番,3連単払戻,人気,払戻分類,is_20000_plus,is_50000_plus
20260719_高知_1R,20260719,高知,1,1,015006,1,NORMAL,,1-3-2,8330,(21),UNDER_10000,0,0
20260719_高知_1R,20260719,高知,1,3,013851,2,NORMAL,,1-3-2,8330,(21),UNDER_10000,0,0
20260719_高知_1R,20260719,高知,1,2,014356,3,NORMAL,,1-3-2,8330,(21),UNDER_10000,0,0
20260719_高知_1R,20260719,高知,1,8,015807,4,NORMAL,,1-3-2,8330,(21),UNDER_10000,0,0
20260719_高知_1R,20260719,高知,1,5,014458,5,NORMAL,,1-3-2,8330,(21),UNDER_10000,0,0
20260719_高知_1R,20260719,高知,1,4,015373,6,NORMAL,,1-3-2,8330,(21),UNDER_10000,0,0
20260719_高知_1R,20260719,高知,1,9,013059,7,NORMAL,,1-3-2,8330,(21),UNDER_10000,0,0
20260719_高知_1R,20260719,高知,1,6,015601,8,NORMAL,,1-3-2,8330,(21),UNDER_10000,0,0
20260719_高知_1R,20260719,高知,1,7,013961,9,NORMAL,,1-3-2,8330,(21),UNDER_10000,0,0
20260719_高知_2R,20260719,高知,2,7,015436,1,NORMAL,,7-1-4,5730,(13),UNDER_10000,0,0
20260719_高知_2R,20260719,高知,2,1,015051,2,NORMAL,,7-1-4,5730,(13),UNDER_10000,0,0
20260719_高知_2R,20260719,高知,2,4,015378,3,NORMAL,,7-1-4,5730,(13),UNDER_10000,0,0
20260719_高知_2R,20260719,高知,2,3,013745,4,NORMAL,,7-1-4,5730,(13),UNDER_10000,0,0
20260719_高知_2R,20260719,高知,2,9,015479,5,NORMAL,,7-1-4,5730,(13),UNDER_10000,0,0
20260719_高知_2R,20260719,高知,2,8,012987,6,NORMAL,,7-1-4,5730,(13),UNDER_10000,0,0
20260719_高知_2R,20260719,高知,2,2,015268,7,NORMAL,,7-1-4,5730,(13),UNDER_10000,0,0
20260719_高知_2R,20260719,高知,2,5,015518,8,NORMAL,,7-1-4,5730,(13),UNDER_10000,0,0
20260719_高知_2R,20260719,高知,2,6,015738,9,NORMAL,,7-1-4,5730,(13),UNDER_10000,0,0
20260719_高知_3R,20260719,高知,3,1,015052,1,NORMAL,,1-4-9,25850,(76),20000_TO_49999,1,0
20260719_高知_3R,20260719,高知,3,4,014552,2,NORMAL,,1-4-9,25850,(76),20000_TO_49999,1,0
20260719_高知_3R,20260719,高知,3,9,015390,3,NORMAL,,1-4-9,25850,(76),20000_TO_49999,1,0
20260719_高知_3R,20260719,高知,3,2,013495,4,NORMAL,,1-4-9,25850,(76),20000_TO_49999,1,0
20260719_高知_3R,20260719,高知,3,8,014830,5,NORMAL,,1-4-9,25850,(76),20000_TO_49999,1,0
20260719_高知_3R,20260719,高知,3,5,015715,6,NORMAL,,1-4-9,25850,(76),20000_TO_49999,1,0
20260719_高知_3R,20260719,高知,3,7,013808,7,NORMAL,,1-4-9,25850,(76),20000_TO_49999,1,0
20260719_高知_3R,20260719,高知,3,6,015289,8,NORMAL,,1-4-9,25850,(76),20000_TO_49999,1,0
20260719_高知_3R,20260719,高知,3,3,015517,9,NORMAL,,1-4-9,25850,(76),20000_TO_49999,1,0
20260719_高知_4R,20260719,高知,4,1,015814,1,NORMAL,,1-6-3,10180,(24),10000_TO_19999,0,0
20260719_高知_4R,20260719,高知,4,6,014939,2,NORMAL,,1-6-3,10180,(24),10000_TO_19999,0,0
20260719_高知_4R,20260719,高知,4,3,015061,3,NORMAL,,1-6-3,10180,(24),10000_TO_19999,0,0
20260719_高知_4R,20260719,高知,4,9,015412,4,NORMAL,,1-6-3,10180,(24),10000_TO_19999,0,0
20260719_高知_4R,20260719,高知,4,8,014322,5,NORMAL,,1-6-3,10180,(24),10000_TO_19999,0,0
20260719_高知_4R,20260719,高知,4,5,014507,6,NORMAL,,1-6-3,10180,(24),10000_TO_19999,0,0
20260719_高知_4R,20260719,高知,4,7,013917,7,NORMAL,,1-6-3,10180,(24),10000_TO_19999,0,0
20260719_高知_4R,20260719,高知,4,2,015090,8,NORMAL,,1-6-3,10180,(24),10000_TO_19999,0,0
