race_key,date,jo_code,jo_name,race_no,car_no,player_id,finish_order,result_status,result_reason,trifecta_1st,trifecta_2nd,trifecta_3rd,trifecta_payout,popularity
20260912_奈良_1R,20260912,53,奈良,1,5,015572,1,NORMAL,,5,2,1,8820,31
20260912_奈良_1R,20260912,53,奈良,1,2,014264,2,NORMAL,,5,2,1,8820,31
20260912_奈良_1R,20260912,53,奈良,1,1,013722,3,NORMAL,,5,2,1,8820,31
20260912_奈良_1R,20260912,53,奈良,1,3,014071,4,NORMAL,,5,2,1,8820,31
20260912_奈良_1R,20260912,53,奈良,1,6,015524,5,NORMAL,,5,2,1,8820,31
20260912_奈良_1R,20260912,53,奈良,1,4,015239,6,NORMAL,,5,2,1,8820,31
20260912_奈良_1R,20260912,53,奈良,1,7,015539,7,NORMAL,,5,2,1,8820,31
20260912_奈良_2R,20260912,53,奈良,2,1,015463,1,NORMAL,,1,7,8,23800,85
20260912_奈良_2R,20260912,53,奈良,2,7,014208,2,NORMAL,,1,7,8,23800,85
20260912_奈良_2R,20260912,53,奈良,2,8,014514,3,NORMAL,,1,7,8,23800,85
20260912_奈良_2R,20260912,53,奈良,2,2,015325,4,NORMAL,,1,7,8,23800,85
20260912_奈良_2R,20260912,53,奈良,2,4,014114,5,NORMAL,,1,7,8,23800,85
20260912_奈良_2R,20260912,53,奈良,2,5,015296,6,NORMAL,,1,7,8,23800,85
20260912_奈良_2R,20260912,53,奈良,2,3,014053,7,NORMAL,,1,7,8,23800,85
20260912_奈良_2R,20260912,53,奈良,2,6,015729,8,NORMAL,,1,7,8,23800,85
20260912_奈良_3R,20260912,53,奈良,3,3,014692,1,NORMAL,,3,1,5,54240,122
20260912_奈良_3R,20260912,53,奈良,3,1,014571,2,NORMAL,,3,1,5,54240,122
20260912_奈良_3R,20260912,53,奈良,3,5,013604,3,NORMAL,,3,1,5,54240,122
20260912_奈良_3R,20260912,53,奈良,3,2,013357,4,NORMAL,,3,1,5,54240,122
