レースキー,開催日,競輪場,レース番号,車番,登録番号,着順,結果ステータス,結果理由,3連単組番,3連単払戻,人気,払戻分類,is_20000_plus,is_50000_plus
20260717_高知_7R,20260717,高知,7,1,015213,1,NORMAL,,1-9-4,3620,(10),UNDER_10000,0,0
20260717_高知_7R,20260717,高知,7,9,013516,2,NORMAL,,1-9-4,3620,(10),UNDER_10000,0,0
20260717_高知_7R,20260717,高知,7,4,015799,3,NORMAL,,1-9-4,3620,(10),UNDER_10000,0,0
20260717_高知_7R,20260717,高知,7,2,014659,4,NORMAL,,1-9-4,3620,(10),UNDER_10000,0,0
20260717_高知_7R,20260717,高知,7,7,014055,5,NORMAL,,1-9-4,3620,(10),UNDER_10000,0,0
20260717_高知_7R,20260717,高知,7,5,014545,6,NORMAL,,1-9-4,3620,(10),UNDER_10000,0,0
20260717_高知_7R,20260717,高知,7,8,013961,7,NORMAL,,1-9-4,3620,(10),UNDER_10000,0,0
20260717_高知_7R,20260717,高知,7,6,013808,8,NORMAL,,1-9-4,3620,(10),UNDER_10000,0,0
20260717_高知_7R,20260717,高知,7,3,015006,9,NORMAL,,1-9-4,3620,(10),UNDER_10000,0,0
20260717_高知_8R,20260717,高知,8,1,015596,1,NORMAL,,1-5-9,710,(2),UNDER_10000,0,0
20260717_高知_8R,20260717,高知,8,5,014002,2,NORMAL,,1-5-9,710,(2),UNDER_10000,0,0
20260717_高知_8R,20260717,高知,8,9,014210,3,NORMAL,,1-5-9,710,(2),UNDER_10000,0,0
20260717_高知_8R,20260717,高知,8,3,013894,4,NORMAL,,1-5-9,710,(2),UNDER_10000,0,0
20260717_高知_8R,20260717,高知,8,7,015390,5,NORMAL,,1-5-9,710,(2),UNDER_10000,0,0
20260717_高知_8R,20260717,高知,8,2,014462,6,NORMAL,,1-5-9,710,(2),UNDER_10000,0,0
20260717_高知_8R,20260717,高知,8,4,015052,7,NORMAL,,1-5-9,710,(2),UNDER_10000,0,0
20260717_高知_8R,20260717,高知,8,8,014458,8,NORMAL,,1-5-9,710,(2),UNDER_10000,0,0
20260717_高知_8R,20260717,高知,8,6,015807,9,NORMAL,,1-5-9,710,(2),UNDER_10000,0,0
20260717_高知_9R,20260717,高知,9,1,015597,1,NORMAL,,1-7-4,660,(2),UNDER_10000,0,0
20260717_高知_9R,20260717,高知,9,7,015009,2,NORMAL,,1-7-4,660,(2),UNDER_10000,0,0
20260717_高知_9R,20260717,高知,9,4,015199,3,NORMAL,,1-7-4,660,(2),UNDER_10000,0,0
20260717_高知_9R,20260717,高知,9,9,015038,4,NORMAL,,1-7-4,660,(2),UNDER_10000,0,0
20260717_高知_9R,20260717,高知,9,2,014152,5,NORMAL,,1-7-4,660,(2),UNDER_10000,0,0
20260717_高知_9R,20260717,高知,9,8,015715,6,NORMAL,,1-7-4,660,(2),UNDER_10000,0,0
20260717_高知_9R,20260717,高知,9,3,014939,7,NORMAL,,1-7-4,660,(2),UNDER_10000,0,0
20260717_高知_9R,20260717,高知,9,5,015412,8,NORMAL,,1-7-4,660,(2),UNDER_10000,0,0
20260717_高知_9R,20260717,高知,9,6,014830,9,NORMAL,,1-7-4,660,(2),UNDER_10000,0,0
20260717_高知_10R,20260717,高知,10,1,014741,1,NORMAL,,1-9-8,11450,(35),10000_TO_19999,0,0
