race_key,date,jo_code,jo_name,race_no,car_no,player_id,finish_order,result_status,result_reason,trifecta_1st,trifecta_2nd,trifecta_3rd,trifecta_payout,popularity
20260829_前橋_1R,20260829,22,前橋,1,9,014835,1,NORMAL,,9,2,3,8520,23
20260829_前橋_1R,20260829,22,前橋,1,2,013790,2,NORMAL,,9,2,3,8520,23
20260829_前橋_1R,20260829,22,前橋,1,3,015519,3,NORMAL,,9,2,3,8520,23
20260829_前橋_1R,20260829,22,前橋,1,4,014372,4,NORMAL,,9,2,3,8520,23
20260829_前橋_1R,20260829,22,前橋,1,6,014514,5,NORMAL,,9,2,3,8520,23
20260829_前橋_1R,20260829,22,前橋,1,7,014177,6,NORMAL,,9,2,3,8520,23
20260829_前橋_1R,20260829,22,前橋,1,8,015524,7,NORMAL,,9,2,3,8520,23
20260829_前橋_1R,20260829,22,前橋,1,1,013912,8,NORMAL,,9,2,3,8520,23
20260829_前橋_1R,20260829,22,前橋,1,5,014109,9,NORMAL,,9,2,3,8520,23
20260829_前橋_2R,20260829,22,前橋,2,9,015619,1,NORMAL,,9,3,8,13840,37
20260829_前橋_2R,20260829,22,前橋,2,3,013990,2,NORMAL,,9,3,8,13840,37
20260829_前橋_2R,20260829,22,前橋,2,8,015782,3,NORMAL,,9,3,8,13840,37
20260829_前橋_2R,20260829,22,前橋,2,2,014228,4,NORMAL,,9,3,8,13840,37
20260829_前橋_2R,20260829,22,前橋,2,4,014983,5,NORMAL,,9,3,8,13840,37
20260829_前橋_2R,20260829,22,前橋,2,5,015002,6,NORMAL,,9,3,8,13840,37
20260829_前橋_2R,20260829,22,前橋,2,6,013864,7,NORMAL,,9,3,8,13840,37
20260829_前橋_2R,20260829,22,前橋,2,1,014878,8,NORMAL,,9,3,8,13840,37
20260829_前橋_2R,20260829,22,前橋,2,7,013800,9,NORMAL,,9,3,8,13840,37
20260829_前橋_3R,20260829,22,前橋,3,3,014754,1,NORMAL,,3,2,4,91110,189
20260829_前橋_3R,20260829,22,前橋,3,2,014712,2,NORMAL,,3,2,4,91110,189
20260829_前橋_3R,20260829,22,前橋,3,4,013074,3,NORMAL,,3,2,4,91110,189
20260829_前橋_3R,20260829,22,前橋,3,1,014580,4,NORMAL,,3,2,4,91110,189
20260829_前橋_3R,20260829,22,前橋,3,5,014350,5,NORMAL,,3,2,4,91110,189
20260829_前橋_3R,20260829,22,前橋,3,8,015453,6,NORMAL,,3,2,4,91110,189
20260829_前橋_3R,20260829,22,前橋,3,6,013394,7,NORMAL,,3,2,4,91110,189
20260829_前橋_3R,20260829,22,前橋,3,9,015786,8,NORMAL,,3,2,4,91110,189
20260829_前橋_3R,20260829,22,前橋,3,7,015169,9,NORMAL,,3,2,4,91110,189
20260829_前橋_4R,20260829,22,前橋,4,3,014939,1,NORMAL,,3,6,5,48010,144
20260829_前橋_4R,20260829,22,前橋,4,6,014825,2,NORMAL,,3,6,5,48010,144
20260829_前橋_4R,20260829,22,前橋,4,5,015386,3,NORMAL,,3,6,5,48010,144
20260829_前橋_4R,20260829,22,前橋,4,9,015117,4,NORMAL,,3,6,5,48010,144
20260829_前橋_4R,20260829,22,前橋,4,2,015340,5,NORMAL,,3,6,5,48010,144
20260829_前橋_4R,20260829,22,前橋,4,4,015251,6,NORMAL,,3,6,5,48010,144
20260829_前橋_4R,20260829,22,前橋,4,1,014883,7,NORMAL,,3,6,5,48010,144
20260829_前橋_4R,20260829,22,前橋,4,8,015178,8,NORMAL,,3,6,5,48010,144
20260829_前橋_4R,20260829,22,前橋,4,7,015289,9,NORMAL,,3,6,5,48010,144
20260829_前橋_5R,20260829,22,前橋,5,5,013618,1,NORMAL,,5,1,3,8700,26
20260829_前橋_5R,20260829,22,前橋,5,1,015702,2,NORMAL,,5,1,3,8700,26
20260829_前橋_5R,20260829,22,前橋,5,3,015244,3,NORMAL,,5,1,3,8700,26
20260829_前橋_5R,20260829,22,前橋,5,6,015729,4,NORMAL,,5,1,3,8700,26
20260829_前橋_5R,20260829,22,前橋,5,7,013407,5,NORMAL,,5,1,3,8700,26
20260829_前橋_5R,20260829,22,前橋,5,8,013438,6,NORMAL,,5,1,3,8700,26
20260829_前橋_5R,20260829,22,前橋,5,4,015366,7,落再入,,5,1,3,8700,26
20260829_前橋_5R,20260829,22,前橋,5,2,015123,,落車棄権,,5,1,3,8700,26
20260829_前橋_5R,20260829,22,前橋,5,9,015106,,落車棄権,,5,1,3,8700,26
20260829_前橋_6R,20260829,22,前橋,6,1,015282,1,NORMAL,,1,2,8,5080,15
20260829_前橋_6R,20260829,22,前橋,6,2,014140,2,NORMAL,,1,2,8,5080,15
20260829_前橋_6R,20260829,22,前橋,6,8,014440,3,NORMAL,,1,2,8,5080,15
20260829_前橋_6R,20260829,22,前橋,6,9,015648,4,NORMAL,,1,2,8,5080,15
20260829_前橋_6R,20260829,22,前橋,6,5,014041,5,NORMAL,,1,2,8,5080,15
20260829_前橋_6R,20260829,22,前橋,6,7,015605,6,NORMAL,,1,2,8,5080,15
20260829_前橋_6R,20260829,22,前橋,6,6,012881,7,NORMAL,,1,2,8,5080,15
20260829_前橋_6R,20260829,22,前橋,6,4,014710,8,NORMAL,,1,2,8,5080,15
20260829_前橋_6R,20260829,22,前橋,6,3,015168,9,NORMAL,,1,2,8,5080,15
20260829_前橋_7R,20260829,22,前橋,7,1,014537,1,NORMAL,,1,7,2,5150,12
20260829_前橋_7R,20260829,22,前橋,7,7,013772,2,NORMAL,,1,7,2,5150,12
20260829_前橋_7R,20260829,22,前橋,7,2,014995,3,NORMAL,,1,7,2,5150,12
20260829_前橋_7R,20260829,22,前橋,7,5,014310,4,NORMAL,,1,7,2,5150,12
20260829_前橋_7R,20260829,22,前橋,7,8,015097,5,NORMAL,,1,7,2,5150,12
20260829_前橋_7R,20260829,22,前橋,7,3,014558,6,NORMAL,,1,7,2,5150,12
20260829_前橋_7R,20260829,22,前橋,7,9,015426,7,NORMAL,,1,7,2,5150,12
20260829_前橋_7R,20260829,22,前橋,7,4,014286,8,NORMAL,,1,7,2,5150,12
20260829_前橋_7R,20260829,22,前橋,7,6,014512,9,NORMAL,,1,7,2,5150,12
20260829_前橋_8R,20260829,22,前橋,8,1,014718,1,NORMAL,,1,2,3,11800,29
20260829_前橋_8R,20260829,22,前橋,8,2,015807,2,NORMAL,,1,2,3,11800,29
20260829_前橋_8R,20260829,22,前橋,8,3,013443,3,NORMAL,,1,2,3,11800,29
20260829_前橋_8R,20260829,22,前橋,8,4,014330,4,NORMAL,,1,2,3,11800,29
20260829_前橋_8R,20260829,22,前橋,8,9,013619,5,NORMAL,,1,2,3,11800,29
20260829_前橋_8R,20260829,22,前橋,8,8,013448,6,NORMAL,,1,2,3,11800,29
20260829_前橋_8R,20260829,22,前橋,8,7,013252,7,NORMAL,,1,2,3,11800,29
20260829_前橋_8R,20260829,22,前橋,8,6,015201,8,NORMAL,,1,2,3,11800,29
20260829_前橋_8R,20260829,22,前橋,8,5,013855,9,NORMAL,,1,2,3,11800,29
20260829_前橋_9R,20260829,22,前橋,9,8,014065,1,NORMAL,,8,1,6,2000,2
20260829_前橋_9R,20260829,22,前橋,9,1,015522,2,NORMAL,,8,1,6,2000,2
20260829_前橋_9R,20260829,22,前橋,9,6,012948,3,NORMAL,,8,1,6,2000,2
20260829_前橋_9R,20260829,22,前橋,9,2,014117,4,NORMAL,,8,1,6,2000,2
20260829_前橋_9R,20260829,22,前橋,9,5,013815,5,NORMAL,,8,1,6,2000,2
20260829_前橋_9R,20260829,22,前橋,9,3,015199,6,NORMAL,,8,1,6,2000,2
20260829_前橋_9R,20260829,22,前橋,9,7,014134,7,NORMAL,,8,1,6,2000,2
20260829_前橋_9R,20260829,22,前橋,9,4,015601,8,NORMAL,,8,1,6,2000,2
20260829_前橋_9R,20260829,22,前橋,9,9,015296,9,NORMAL,,8,1,6,2000,2
20260829_前橋_10R,20260829,22,前橋,10,7,014089,1,NORMAL,,7,8,5,10660,35
20260829_前橋_10R,20260829,22,前橋,10,8,013719,2,NORMAL,,7,8,5,10660,35
20260829_前橋_10R,20260829,22,前橋,10,5,014002,3,事故入,,7,8,5,10660,35
20260829_前橋_10R,20260829,22,前橋,10,2,015449,4,NORMAL,,7,8,5,10660,35
20260829_前橋_10R,20260829,22,前橋,10,3,015731,5,NORMAL,,7,8,5,10660,35
20260829_前橋_10R,20260829,22,前橋,10,9,014322,6,NORMAL,,7,8,5,10660,35
20260829_前橋_10R,20260829,22,前橋,10,1,014417,7,NORMAL,,7,8,5,10660,35
20260829_前橋_10R,20260829,22,前橋,10,4,015663,8,落再入,,7,8,5,10660,35
20260829_前橋_10R,20260829,22,前橋,10,6,015724,,落車棄権,,7,8,5,10660,35
20260829_前橋_11R,20260829,22,前橋,11,1,015436,1,NORMAL,,1,5,3,3570,6
20260829_前橋_11R,20260829,22,前橋,11,5,014462,2,NORMAL,,1,5,3,3570,6
20260829_前橋_11R,20260829,22,前橋,11,3,013962,3,NORMAL,,1,5,3,3570,6
20260829_前橋_11R,20260829,22,前橋,11,7,015272,4,NORMAL,,1,5,3,3570,6
20260829_前橋_11R,20260829,22,前橋,11,2,014659,5,NORMAL,,1,5,3,3570,6
20260829_前橋_11R,20260829,22,前橋,11,6,015521,6,NORMAL,,1,5,3,3570,6
20260829_前橋_11R,20260829,22,前橋,11,8,015043,7,NORMAL,,1,5,3,3570,6
20260829_前橋_11R,20260829,22,前橋,11,4,015518,8,NORMAL,,1,5,3,3570,6
20260829_前橋_11R,20260829,22,前橋,11,9,014996,9,NORMAL,,1,5,3,3570,6
20260829_前橋_12R,20260829,22,前橋,12,7,014794,1,NORMAL,,7,3,1,15750,42
20260829_前橋_12R,20260829,22,前橋,12,3,015475,2,NORMAL,,7,3,1,15750,42
20260829_前橋_12R,20260829,22,前橋,12,1,015343,3,NORMAL,,7,3,1,15750,42
20260829_前橋_12R,20260829,22,前橋,12,4,013442,4,NORMAL,,7,3,1,15750,42
20260829_前橋_12R,20260829,22,前橋,12,5,015822,5,NORMAL,,7,3,1,15750,42
20260829_前橋_12R,20260829,22,前橋,12,2,014837,6,NORMAL,,7,3,1,15750,42
20260829_前橋_12R,20260829,22,前橋,12,9,015243,7,NORMAL,,7,3,1,15750,42
20260829_前橋_12R,20260829,22,前橋,12,6,015749,8,NORMAL,,7,3,1,15750,42
20260829_前橋_12R,20260829,22,前橋,12,8,015197,9,NORMAL,,7,3,1,15750,42
20260829_小倉_1R,20260829,81,小倉,1,5,013902,1,NORMAL,,5,2,4,5640,15
20260829_小倉_1R,20260829,81,小倉,1,2,015688,2,NORMAL,,5,2,4,5640,15
20260829_小倉_1R,20260829,81,小倉,1,4,013370,3,NORMAL,,5,2,4,5640,15
20260829_小倉_1R,20260829,81,小倉,1,6,014832,4,NORMAL,,5,2,4,5640,15
20260829_小倉_1R,20260829,81,小倉,1,7,014412,5,NORMAL,,5,2,4,5640,15
20260829_小倉_1R,20260829,81,小倉,1,1,014334,6,NORMAL,,5,2,4,5640,15
20260829_小倉_1R,20260829,81,小倉,1,3,015056,7,NORMAL,,5,2,4,5640,15
20260829_小倉_2R,20260829,81,小倉,2,3,014502,1,NORMAL,,3,4,7,9050,27
20260829_小倉_2R,20260829,81,小倉,2,4,015277,2,NORMAL,,3,4,7,9050,27
20260829_小倉_2R,20260829,81,小倉,2,7,013857,3,NORMAL,,3,4,7,9050,27
20260829_小倉_2R,20260829,81,小倉,2,2,013493,4,NORMAL,,3,4,7,9050,27
20260829_小倉_2R,20260829,81,小倉,2,5,013405,5,NORMAL,,3,4,7,9050,27
20260829_小倉_2R,20260829,81,小倉,2,6,014092,6,NORMAL,,3,4,7,9050,27
20260829_小倉_2R,20260829,81,小倉,2,1,014172,7,NORMAL,,3,4,7,9050,27
20260829_小倉_3R,20260829,81,小倉,3,2,015424,1,NORMAL,,2,7,1,4900,14
20260829_小倉_3R,20260829,81,小倉,3,7,015927,2,NORMAL,,2,7,1,4900,14
20260829_小倉_3R,20260829,81,小倉,3,1,014187,3,NORMAL,,2,7,1,4900,14
20260829_小倉_3R,20260829,81,小倉,3,5,013933,4,NORMAL,,2,7,1,4900,14
20260829_小倉_3R,20260829,81,小倉,3,6,013006,5,NORMAL,,2,7,1,4900,14
20260829_小倉_3R,20260829,81,小倉,3,4,012326,6,NORMAL,,2,7,1,4900,14
20260829_小倉_3R,20260829,81,小倉,3,3,015565,7,NORMAL,,2,7,1,4900,14
20260829_小倉_4R,20260829,81,小倉,4,1,014298,1,NORMAL,,1,5,7,12920,47
20260829_小倉_4R,20260829,81,小倉,4,5,013716,2,NORMAL,,1,5,7,12920,47
20260829_小倉_4R,20260829,81,小倉,4,7,013423,3,NORMAL,,1,5,7,12920,47
20260829_小倉_4R,20260829,81,小倉,4,3,015632,4,NORMAL,,1,5,7,12920,47
20260829_小倉_4R,20260829,81,小倉,4,4,013183,5,NORMAL,,1,5,7,12920,47
20260829_小倉_4R,20260829,81,小倉,4,2,015345,6,NORMAL,,1,5,7,12920,47
20260829_小倉_4R,20260829,81,小倉,4,6,013659,7,NORMAL,,1,5,7,12920,47
20260829_小倉_5R,20260829,81,小倉,5,1,015751,1,NORMAL,,1,7,4,960,1
20260829_小倉_5R,20260829,81,小倉,5,7,015015,2,NORMAL,,1,7,4,960,1
20260829_小倉_5R,20260829,81,小倉,5,4,014404,3,NORMAL,,1,7,4,960,1
20260829_小倉_5R,20260829,81,小倉,5,2,012519,4,NORMAL,,1,7,4,960,1
20260829_小倉_5R,20260829,81,小倉,5,3,015693,5,NORMAL,,1,7,4,960,1
20260829_小倉_5R,20260829,81,小倉,5,6,014223,6,NORMAL,,1,7,4,960,1
20260829_小倉_5R,20260829,81,小倉,5,5,015913,7,事故入,,1,7,4,960,1
20260829_小倉_6R,20260829,81,小倉,6,3,014691,1,NORMAL,,3,6,1,106720,86
20260829_小倉_6R,20260829,81,小倉,6,6,013852,2,NORMAL,,3,6,1,106720,86
20260829_小倉_6R,20260829,81,小倉,6,1,015784,3,NORMAL,,3,6,1,106720,86
20260829_小倉_6R,20260829,81,小倉,6,5,014800,4,NORMAL,,3,6,1,106720,86
20260829_小倉_6R,20260829,81,小倉,6,4,012478,5,NORMAL,,3,6,1,106720,86
20260829_小倉_6R,20260829,81,小倉,6,2,015628,6,NORMAL,,3,6,1,106720,86
