feature,importance
L5_P1_trio_rate,57
L5_P1_quinella_rate_diff_top,57
L6_P1_quinella_rate_diff_top,56
L2_P1_line_win_rate_diff_top,56
L5_P1_age,55
L2_P2_trio_rate_rank,55
L1_P3_score_rank,55
L3_P1_win_rate_rank,54
L1_P4_line_trio_rate_diff_top,54
L1_P4_score_diff_top,54
L3_P2_quinella_rate_rank,54
L4_P2_line_trio_rate_diff_top,53
L6_P1_win_rate_diff_top,53
L1_P2_makuri_count,53
L4_P2_win_rate_diff_top,52
L4_P2_win_rate,51
L6_P1_score_diff_top,51
L1_P1_win_rate_rank,51
L3_P3_win_rate,50
L1_P2_home_count,49
L1_P4_line_quinella_rate_diff_top,49
L4_P3_line_quinella_rate_diff_top,49
L2_P1_trio_rate_rank,48
L4_P1_quinella_rate_rank,48
L1_P3_quinella_rate_rank,47
L1_P4_quinella_rate_diff_top,46
L4_P2_age,46
L1_P4_trio_rate,46
L7_P1_age,45
L4_P1_line_score_diff_top,45
L4_P1_mark_count,44
L2_P4_line_win_rate_diff_top,44
L4_P3_average_score,44
L4_P1_sashi_count,43
L1_P3_trio_rate_rank,43
L6_P1_term,43
L7_P1_quinella_rate_diff_top,43
L2_P4_line_score_diff_top,42
L3_P3_trio_rate_rank,42
L3_P2_previous_class,42
L4_P1_score_rank,41
L2_P4_average_score,41
L1_P1_quinella_rate_rank,41
L1_P1_trio_rate_rank,41
L4_P1_makuri_count,41
L3_P3_start_count,41
L6_P1_age,40
L5_P1_term,40
L2_P2_home_count,39
L1_P2_back_count,39
L5_P2_line_trio_rate_diff_top,39
L4_P3_win_rate_diff_top,38
L1_P4_line_score_diff_top,38
L4_P1_trio_rate_rank,38
L1_P4_win_rate_diff_top,37
L2_P3_mark_count,37
L4_P1_win_rate_rank,36
L2_P3_trio_rate_rank,36
L5_P1_quinella_rate,36
L5_P1_start_count,36
L2_P1_previous_class,35
L6_P1_trio_rate_diff_top,35
bank_angle,35
L2_P2_back_count,35
L7_P1_home_count,34
L4_P2_line_score_diff_top,34
L7_P1_trio_rate_diff_top,34
L2_P4_score_diff_top,34
L2_P3_sashi_count,34
L4_P2_line_win_rate_diff_top,33
L1_P4_term,33
L2_P3_score_rank,33
L5_P1_home_count,33
L4_P2_line_quinella_rate_diff_top,33
L4_P1_line_win_rate_diff_top,32
L5_P1_win_rate_diff_top,32
L3_P2_back_count,32
L6_P1_home_count,32
L4_P1_escape_count,32
L3_P3_win_rate_rank,32
L4_P2_score_rank,31
L1_P4_trio_rate_diff_top,31
L6_P1_average_score,30
L1_P3_back_count,30
L2_P3_win_rate_rank,30
L1_P1_previous_class,30
L3_P3_sashi_count,29
L1_P4_start_count,29
L4_P2_sashi_count,29
L3_P3_score_rank,28
L2_P3_quinella_rate_rank,28
L6_P1_win_rate,28
L3_P2_makuri_count,28
L5_P1_quinella_rate_rank,27
L5_P1_mark_count,27
L4_P1_line_trio_rate_diff_top,27
L6_P1_trio_rate,26
L1_P4_line_win_rate_diff_top,26
L4_P2_mark_count,26
L7_P1_makuri_count,25
L7_P1_win_rate_diff_top,25
L3_P3_mark_count,25
L1_P4_win_rate,25
L5_P1_win_rate,25
L2_P4_trio_rate,24
L7_P1_win_rate_rank,24
L5_P1_sashi_count,24
L2_P4_age,24
L5_P1_win_rate_rank,24
L1_P3_home_count,24
L5_P1_back_count,23
