レースキー,開催場,レース番号,戦型,提供者,line_1,line_2,line_3,line_4,line_5,line_6,line_7,line_8,line_9
20260718_高知_1R,高知,1,コマ切れ,福ちゃん出版社,1-8-4,2-7,9-3,6-5,,,,,
20260718_高知_2R,高知,2,コマ切れ,福ちゃん出版社,1-5-7,6-2,4,3-9,8,,,,
20260718_高知_3R,高知,3,三分戦,福ちゃん出版社,1-5-6,7-2-9,8-3-4,,,,,,
20260718_高知_4R,高知,4,四分戦,福ちゃん出版社,1-9-6,7-2,4-3,8-5,,,,,
20260718_高知_5R,高知,5,四分戦,福ちゃん出版社,1-4,7-5-2,8-3,6-9,,,,,
20260718_高知_6R,高知,6,コマ切れ,福ちゃん出版社,4,1-6,2-7,9-3,8-5,,,,
20260718_高知_7R,高知,7,コマ切れ,福ちゃん出版社,2-5,4-1,6-8,9-7,3,,,,
20260718_高知_8R,高知,8,コマ切れ,福ちゃん出版社,3-7,1-5,8-2,6-9-4,,,,,
20260718_高知_9R,高知,9,コマ切れ,福ちゃん出版社,6-9-1,2-7,5-3,8-4,,,,,
20260718_高知_10R,高知,10,コマ切れ,福ちゃん出版社,9-2,8-1-6,7-4,5-3,,,,,
20260718_高知_11R,高知,11,コマ切れ,福ちゃん出版社,1-5,3-4,8-7-2,6-9,,,,,
20260718_高知_12R,高知,12,コマ切れ,福ちゃん出版社,3-9,6-1-5,7,4-2,8,,,,
20260718_静岡_1R,静岡,1,三分戦,ひかり,4-1,2-7,5-3-6,,,,,,
20260718_静岡_2R,静岡,2,三分戦,ひかり,1-5-6,2-4,3-7,,,,,,
20260718_静岡_3R,静岡,3,三分戦,ひかり,1-4-7,2-6,3-5,,,,,,
20260718_静岡_4R,静岡,4,二分戦,ひかり,4-1-2,7-3-6,5,,,,,,
20260718_静岡_5R,静岡,5,コマ切れ,ひかり,3-6-2,1,4-7,5,,,,,
20260718_静岡_6R,静岡,6,ライン無し,ひかり,2,1,3,4,5,7,6,,
20260718_静岡_7R,静岡,7,ライン無し,ひかり,1,2,3,4,6,5,7,,
20260718_静岡_8R,静岡,8,三分戦,ひかり,5-1-6,2-7,4-3,,,,,,
20260718_静岡_9R,静岡,9,三分戦,ひかり,7-1,2-6,3-5-4,,,,,,
20260718_静岡_10R,静岡,10,三分戦,ひかり,5-1,2-7,6,3-4,,,,,
20260718_静岡_11R,静岡,11,三分戦,ひかり,1-4-7,5-2,6-3,,,,,,
20260718_静岡_12R,静岡,12,コマ切れ,ひかり,1-7,3,6-2,4,5,,,,
20260718_松阪_1R,松阪,1,三分戦,中部競輪,3-4,7-2,1-6,5,,,,,
20260718_松阪_2R,松阪,2,三分戦,中部競輪,4-1-6,5-3,7,2,,,,,
20260718_松阪_3R,松阪,3,先行一車,中部競輪,3-7-6,1,5,4,2,,,,
20260718_松阪_4R,松阪,4,先行一車,中部競輪,2-4-7,1-6,3,5,,,,,
20260718_松阪_5R,松阪,5,二分戦,中部競輪,6-3,5-1,2,4,7,,,,
20260718_松阪_6R,松阪,6,三分戦,中部競輪,4-2-7,5-3,6-1,,,,,,
20260718_松阪_7R,松阪,7,二分戦,中部競輪,1-4-7,5-2-3,6,,,,,,
20260718_松阪_8R,松阪,8,三分戦,中部競輪,1-5,4-7-2,3-6,,,,,,
20260718_松阪_9R,松阪,9,三分戦,中部競輪,7-1,5-4-2,3-6,,,,,,
20260718_松阪_10R,松阪,10,三分戦,中部競輪,7-3,1-5,2-4-6,,,,,,
20260718_松阪_11R,松阪,11,三分戦,中部競輪,2-4-7,3-5,6-1,,,,,,
20260718_松阪_12R,松阪,12,四分戦,中部競輪,1-4,6-3-5,2,7,,,,,
20260718_いわき平_1R,いわき平,1,ライン無し,アオケイ,7,4,5,1,2,3,6,,
20260718_いわき平_2R,いわき平,2,三分戦,アオケイ,1-2-5,4-3,7-6,,,,,,
20260718_いわき平_3R,いわき平,3,三分戦,アオケイ,1-6-5,2-3,7-4,,,,,,
20260718_いわき平_4R,いわき平,4,三分戦,アオケイ,6-1-7,4-2,5-3,,,,,,
20260718_いわき平_5R,いわき平,5,三分戦,アオケイ,2-1-4,3-5,6-7,,,,,,
20260718_いわき平_6R,いわき平,6,コマ切れ,アオケイ,2-1,3,7,6-5-4,,,,,
20260718_いわき平_7R,いわき平,7,三分戦,アオケイ,1-6,3-2,5-4,7,,,,,
20260718_いわき平_8R,いわき平,8,ライン無し,アオケイ,7,5,1,3,2,4,6,,
20260718_いわき平_9R,いわき平,9,三分戦,アオケイ,7-1,5-2-4,3-6,,,,,,
20260718_弥彦_1R,弥彦,1,二分戦,新潟スポーツ株式会社,2-5-3,6-1,4,,,,,,
20260718_弥彦_2R,弥彦,2,二分戦,新潟スポーツ株式会社,2-7-5,3,4-1-6,,,,,,
20260718_弥彦_3R,弥彦,3,コマ切れ,新潟スポーツ株式会社,2-6,1-4,3-7,5,,,,,
20260718_弥彦_4R,弥彦,4,コマ切れ,新潟スポーツ株式会社,1-4,7-2,5-3,6,,,,,
20260718_弥彦_5R,弥彦,5,ライン無し,新潟スポーツ株式会社,1,3,4,2,7,6,5,,
20260718_弥彦_6R,弥彦,6,ライン無し,新潟スポーツ株式会社,6,2,3,1,4,5,7,,
20260718_弥彦_7R,弥彦,7,三分戦,新潟スポーツ株式会社,1-4-7,5-2,3-6,,,,,,
20260718_弥彦_8R,弥彦,8,コマ切れ,新潟スポーツ株式会社,3-2,7,6,1-5-4,,,,,
20260718_弥彦_9R,弥彦,9,コマ切れ,新潟スポーツ株式会社,1-6,7-2,5,4-3,,,,,
20260718_弥彦_10R,弥彦,10,三分戦,新潟スポーツ株式会社,1-4-6,2-7,5-3,,,,,,
20260718_弥彦_11R,弥彦,11,二分戦,新潟スポーツ株式会社,5-1-7,6,2-4-3,,,,,,
20260718_西武園_1R,西武園,1,三分戦,アオケイ,2-5-6,4-3-7,1,,,,,,
20260718_西武園_2R,西武園,2,二分戦,アオケイ,1-3-5-6,4-7-2,,,,,,,
20260718_西武園_3R,西武園,3,四分戦,アオケイ,6-1,7-2-4,3,5,,,,,
20260718_西武園_4R,西武園,4,ライン無し,アオケイ,5,1,3,2,6,7,4,,
20260718_西武園_5R,西武園,5,四分戦,アオケイ,1-4,2,6-5-3,7,,,,,
20260718_西武園_6R,西武園,6,三分戦,アオケイ,4-1,6-3-2,5-7,,,,,,
20260718_西武園_7R,西武園,7,三分戦,アオケイ,7-2-1,3-4-6,5,,,,,,
20260718_西武園_8R,西武園,8,三分戦,アオケイ,1-7,2-5-4,6-3,,,,,,
20260718_西武園_9R,西武園,9,三分戦,アオケイ,1-5-6,7-2,4-3,,,,,,
20260718_西武園_10R,西武園,10,ライン無し,アオケイ,2,3,1,4,7,5,6,,
20260718_西武園_11R,西武園,11,三分戦,アオケイ,6-1,2-5-4,3-7,,,,,,
20260718_岐阜_1R,岐阜,1,ライン無し,中部競輪記者クラブ,1,2,3,4,5,6,7,,
20260718_岐阜_2R,岐阜,2,ライン無し,中部競輪記者クラブ,1,2,3,4,5,6,7,,
20260718_岐阜_3R,岐阜,3,三分戦,中部競輪記者クラブ,4-7-1,2,6-3-5,,,,,,
20260718_岐阜_4R,岐阜,4,三分戦,中部競輪記者クラブ,5-1,6-2-4,3-7,,,,,,
20260718_岐阜_5R,岐阜,5,三分戦,中部競輪記者クラブ,1-7,4-2-6,5-3,,,,,,
20260718_岐阜_6R,岐阜,6,二分戦,中部競輪記者クラブ,7-4-1,6,5-2-3,,,,,,
20260718_岐阜_7R,岐阜,7,三分戦,中部競輪記者クラブ,7-1-6,5-2,4-3,,,,,,
20260718_奈良_1R,奈良,1,三分戦,競輪研究社,1-5,4-2,3-6-7,,,,,,
20260718_奈良_2R,奈良,2,二分戦,競輪研究社,2-1-6,5,3-4,7,,,,,
20260718_奈良_3R,奈良,3,二分戦,競輪研究社,2-4-1,5,3-6-7,,,,,,
20260718_奈良_4R,奈良,4,二分戦,競輪研究社,4-1-5,6-2-3-7,,,,,,,
20260718_奈良_5R,奈良,5,コマ切れ,競輪研究社,2-1-4,5,6-3,7,,,,,
20260718_奈良_6R,奈良,6,三分戦,競輪研究社,4-7,1-2,6-3-5,,,,,,
20260718_奈良_7R,奈良,7,三分戦,競輪研究社,3-2-7,1-4-5,6,,,,,,
20260718_奈良_8R,奈良,8,二分戦,競輪研究社,1-4-5,7-3-2,6,,,,,,
20260718_奈良_9R,奈良,9,三分戦,競輪研究社,3-4-2,1-7,6-5,,,,,,
