レースキー,開催場,レース番号,戦型,提供者,line_1,line_2,line_3,line_4,line_5,line_6,line_7,line_8,line_9
20260721_富山_1R,富山,1,三分戦,富山中部競輪,2-5,7-1,3-4-6,,,,,,
20260721_富山_2R,富山,2,三分戦,富山中部競輪,1-5,6-3,2-7-4,,,,,,
20260721_富山_3R,富山,3,三分戦,富山中部競輪,1-5,4-2,3-7-6,,,,,,
20260721_富山_4R,富山,4,三分戦,富山中部競輪,2-7,4-3,1-5-6,,,,,,
20260721_富山_5R,富山,5,コマ切れ,富山中部競輪,1-7-4,2,5,3-6,,,,,
20260721_富山_6R,富山,6,三分戦,富山中部競輪,3-5,1-7,4-2-6,,,,,,
20260721_富山_7R,富山,7,三分戦,富山中部競輪,3-4,1-6-5,7-2,,,,,,
20260721_富山_8R,富山,8,三分戦,富山中部競輪,2-6,4-3,7-1-5,,,,,,
20260721_富山_9R,富山,9,三分戦,富山中部競輪,1-6,5-3,4-2-7,,,,,,
20260721_富山_10R,富山,10,二分戦,富山中部競輪,2-4-6,5-1-3,7,,,,,,
20260721_富山_11R,富山,11,コマ切れ,富山中部競輪,4-2,3,7,1-5-6,,,,,
20260721_富山_12R,富山,12,三分戦,富山中部競輪,5-2,6-1-4,7-3,,,,,,
20260721_岸和田_1R,岸和田,1,二分戦,競輪研究社,1-7-5,4-2-3,6,,,,,,
20260721_岸和田_2R,岸和田,2,コマ切れ,競輪研究社,5-1-6,2,4,7-3,,,,,
20260721_岸和田_3R,岸和田,3,コマ切れ,競輪研究社,4,1,5-3-7,2-6,,,,,
20260721_岸和田_4R,岸和田,4,三分戦,競輪研究社,6-1,4-2-5,7-3,,,,,,
20260721_岸和田_5R,岸和田,5,コマ切れ,競輪研究社,1-5-4,2-7,3,6,,,,,
20260721_岸和田_6R,岸和田,6,ライン無し,競輪研究社,1,5,2,3,4,6,7,,
20260721_岸和田_7R,岸和田,7,ライン無し,競輪研究社,1,3,2,5,7,6,4,,
20260721_岸和田_8R,岸和田,8,三分戦,競輪研究社,1-5-6,4-2,7-3,,,,,,
20260721_岸和田_9R,岸和田,9,二分戦,競輪研究社,2-5-7,4,3-6,1,,,,,
20260721_岸和田_10R,岸和田,10,三分戦,競輪研究社,7-1-4,5-2,3-6,,,,,,
20260721_岸和田_11R,岸和田,11,二分戦,競輪研究社,7-1-5,3,2-4-6,,,,,,
20260721_岸和田_12R,岸和田,12,コマ切れ,競輪研究社,4-1,2-5,7-3,6,,,,,
20260721_京王閣_1R,京王閣,1,三分戦,アオケイ,1-5,2-4,3-7,6,,,,,
20260721_京王閣_2R,京王閣,2,三分戦,アオケイ,4-1-7,3-2,5-6,,,,,,
20260721_京王閣_3R,京王閣,3,二分戦,アオケイ,4-2-1-7,5-3-6,,,,,,,
20260721_京王閣_4R,京王閣,4,三分戦,アオケイ,1-2-3,4-7,5-6,,,,,,
20260721_京王閣_5R,京王閣,5,コマ切れ,アオケイ,1-2,3-4-5-6,7,,,,,,
20260721_京王閣_6R,京王閣,6,二分戦,アオケイ,5-1,3,4,7-2-6,,,,,
20260721_京王閣_7R,京王閣,7,三分戦,アオケイ,2-1,5-3-4,6-7,,,,,,
20260721_京王閣_8R,京王閣,8,三分戦,アオケイ,6-1,5-2,4-3,7,,,,,
20260721_京王閣_9R,京王閣,9,コマ切れ,アオケイ,1,2-5,3-7,6-4,,,,,
20260721_松戸_1R,松戸,1,二分戦,赤競,1-6,2,5-4-3,,,,,,
20260721_松戸_2R,松戸,2,二分戦,赤競,1-3-6,5-4-2,,,,,,,
20260721_松戸_3R,松戸,3,二分戦,赤競,5-2-4,1,6-7,3,,,,,
20260721_松戸_4R,松戸,4,二分戦,赤競,2-5-6,1,3-4-7,,,,,,
20260721_松戸_5R,松戸,5,三分戦,赤競,5-1,6-3,4-2-7,,,,,,
