transformed_feature,original_feature,importance
p8_top3_rate,p8_top3_rate,0.0017506986875100421
p8_age,p8_age,0.0016889859601888428
p3_riding_style_逃,p3_riding_style,0.0016862506552293558
p7_riding_style___MISSING__,p7_riding_style,0.0016381989802511222
p9_sashi_count,p9_sashi_count,0.0016245288947288397
p7_riding_style_追,p7_riding_style,0.0016242685021869937
p8_start_count,p8_start_count,0.0015109614694372943
p6_riding_style_両,p6_riding_style,0.0015035149645202005
p5_riding_style_逃,p5_riding_style,0.0014807468307508642
p1_previous_class_A1,p1_previous_class,0.0014785307177649348
p7_class___MISSING__,p7_class,0.001478287886690996
p3_riding_style_追,p3_riding_style,0.0014774474787135553
p6_previous_class_A2,p6_previous_class,0.001477292772707054
p3_riding_style_両,p3_riding_style,0.0014740959089598593
p9_age,p9_age,0.0014664140034512598
p8_win_rate,p8_win_rate,0.0014508049304404835
p1_riding_style_追,p1_riding_style,0.001440555565422864
p9_win_rate,p9_win_rate,0.0014241554479443685
p9_prefecture___MISSING__,p9_prefecture,0.0014160162680532562
p5_riding_style_両,p5_riding_style,0.0014123516622657664
p4_riding_style_両,p4_riding_style,0.0014115107478538697
p9_previous_class___MISSING__,p9_previous_class,0.0013801878242810021
p9_riding_style___MISSING__,p9_riding_style,0.0013629974793474449
p8_riding_style___MISSING__,p8_riding_style,0.0013545479095025095
p9_top3_rate,p9_top3_rate,0.001328408722670844
p4_previous_class_A1,p4_previous_class,0.0013238036517473277
p4_riding_style_追,p4_riding_style,0.001318187331845481
p7_prefecture_栃 木,p7_prefecture,0.0012988396492155108
p7_prefecture___MISSING__,p7_prefecture,0.001295040089741338
p7_previous_class_A2,p7_previous_class,0.001280333715170664
p1_riding_style_両,p1_riding_style,0.001246906558133544
p5_previous_class_A1,p5_previous_class,0.0012312251692429001
p6_previous_class_S2,p6_previous_class,0.0012256904142066997
p5_riding_style_追,p5_riding_style,0.0012222963362199296
p7_riding_style_両,p7_riding_style,0.0012142091318771504
p9_graduation_term,p9_graduation_term,0.0012024789095535027
p2_riding_style_追,p2_riding_style,0.0011922774276111761
p1_previous_class_S2,p1_previous_class,0.0011672433559326086
p1_class_A1,p1_class,0.0011668968135902283
p4_class_A2,p4_class,0.0011503551666760092
p6_previous_class_A1,p6_previous_class,0.0011500482579461693
p2_riding_style_両,p2_riding_style,0.0011453817067676414
p7_previous_class_A1,p7_previous_class,0.001142542344990983
p6_riding_style_逃,p6_riding_style,0.001137509366648537
p4_previous_class_A2,p4_previous_class,0.0011251709782741043
p2_class_A1,p2_class,0.0011028558278798539
p2_previous_class_A1,p2_previous_class,0.0010956728801882181
p6_riding_style_追,p6_riding_style,0.0010729300263641022
p8_recent_finish_1,p8_recent_finish_1,0.0010718173289218566
p9_class___MISSING__,p9_class,0.0010674822390825311
p7_riding_style_逃,p7_riding_style,0.0010640864511218602
p4_riding_style_逃,p4_riding_style,0.0010566717552473635
p3_previous_class_A1,p3_previous_class,0.0010566671519059779
p7_class_A1,p7_class,0.001052066660459402
p2_riding_style_逃,p2_riding_style,0.00104159393853709
p3_previous_class_A2,p3_previous_class,0.0010361804805944445
p8_back_count,p8_back_count,0.0010237307509800087
p7_class_A2,p7_class,0.0010214305897414187
p3_previous_class_S2,p3_previous_class,0.0010068074933930536
p1_prefecture_千 葉,p1_prefecture,0.0010035175461713282
p2_previous_class_S2,p2_previous_class,0.0009975098840635584
p5_previous_class_A2,p5_previous_class,0.000981239580516812
p8_home_count,p8_home_count,0.0009736286771198879
p1_riding_style_逃,p1_riding_style,0.0009728511447517817
p6_previous_class_A3,p6_previous_class,0.0009298653941418662
p9_start_count,p9_start_count,0.0009279925048634457
p1_previous_class_A2,p1_previous_class,0.0009138959500888306
p2_previous_class_A2,p2_previous_class,0.0009119287473950818
p4_class_S1,p4_class,0.0009116309145989613
p5_class_A2,p5_class,0.0009095084898726584
p8_recent_finish_3,p8_recent_finish_3,0.0009073607136323988
p2_class_A2,p2_class,0.0009073132824371785
p5_previous_class_S2,p5_previous_class,0.0008889648895611717
p5_class_S1,p5_class,0.0008723402506239451
p2_prefecture_神奈川,p2_prefecture,0.0008685269023109241
p3_class_A1,p3_class,0.00086331281150627
p7_previous_class_S2,p7_previous_class,0.00085049711021187
p4_class_A1,p4_class,0.0008497766179143236
p9_recent_finish_3,p9_recent_finish_3,0.0008308027417027151
p8_riding_style_逃,p8_riding_style,0.000829059304268728
p3_class_A2,p3_class,0.0008228456694995716
p8_sashi_count,p8_sashi_count,0.0008217020232717061
p3_class_S1,p3_class,0.0008087330975821094
