transformed_feature,original_feature,coefficient,absolute_coefficient,direction
p9_makuri_count,p9_makuri_count,0.1882900610187751,0.1882900610187751,HIGH_RISK
p1_prefecture_高 知,p1_prefecture,0.1870449375363082,0.1870449375363082,HIGH_RISK
p7_prefecture_東 京,p7_prefecture,-0.18703282143549368,0.18703282143549368,LOW_RISK
p9_race_score,p9_race_score,0.18651117490900015,0.18651117490900015,HIGH_RISK
p5_prefecture_高 知,p5_prefecture,0.18648577823407517,0.18648577823407517,HIGH_RISK
p1_class_A3,p1_class,0.18630429293467732,0.18630429293467732,HIGH_RISK
p2_class_A3,p2_class,0.18630429293467732,0.18630429293467732,HIGH_RISK
p3_class_A3,p3_class,0.18630429293467732,0.18630429293467732,HIGH_RISK
p4_class_A3,p4_class,0.18630429293467732,0.18630429293467732,HIGH_RISK
p5_class_A3,p5_class,0.18630429293467732,0.18630429293467732,HIGH_RISK
p7_prefecture_大 分,p7_prefecture,-0.18552584518250037,0.18552584518250037,LOW_RISK
p1_riding_style_両,p1_riding_style,0.18368178860782539,0.18368178860782539,HIGH_RISK
p9_previous_class_S2,p9_previous_class,-0.1833913143278969,0.1833913143278969,LOW_RISK
p9_prefecture_熊 本,p9_prefecture,-0.18287784330730383,0.18287784330730383,LOW_RISK
p4_prefecture_秋 田,p4_prefecture,-0.182798160671293,0.182798160671293,LOW_RISK
p3_prefecture_茨 城,p3_prefecture,-0.18238317542017055,0.18238317542017055,LOW_RISK
p7_previous_class___MISSING__,p7_previous_class,-0.180793680258631,0.180793680258631,LOW_RISK
p4_previous_class___MISSING__,p4_previous_class,-0.1806410783127321,0.1806410783127321,LOW_RISK
p7_prefecture_長 野,p7_prefecture,-0.18021748543720312,0.18021748543720312,LOW_RISK
p4_prefecture_千 葉,p4_prefecture,0.1787660506798091,0.1787660506798091,HIGH_RISK
p3_prefecture_徳 島,p3_prefecture,-0.17736104552429383,0.17736104552429383,LOW_RISK
p6_prefecture_東 京,p6_prefecture,-0.17658718811852428,0.17658718811852428,LOW_RISK
p2_prefecture_千 葉,p2_prefecture,0.17633344293814582,0.17633344293814582,HIGH_RISK
p5_prefecture_大 分,p5_prefecture,-0.17481634001992608,0.17481634001992608,LOW_RISK
p2_class_S1,p2_class,0.1745111104312717,0.1745111104312717,HIGH_RISK
p8_nige_count,p8_nige_count,-0.17410264810232592,0.17410264810232592,LOW_RISK
p8_prefecture_東 京,p8_prefecture,-0.17329486996467663,0.17329486996467663,LOW_RISK
p3_previous_class_SS,p3_previous_class,-0.1731378222064594,0.1731378222064594,LOW_RISK
p3_class_SS,p3_class,-0.1731378222064594,0.1731378222064594,LOW_RISK
p2_prefecture_京 都,p2_prefecture,0.17242051136703557,0.17242051136703557,HIGH_RISK
p8_class_S2,p8_class,-0.17197521671157542,0.17197521671157542,LOW_RISK
p2_class_S2,p2_class,0.1717311491445196,0.1717311491445196,HIGH_RISK
p8_prefecture_愛 媛,p8_prefecture,0.17123126153047735,0.17123126153047735,HIGH_RISK
p3_class_S2,p3_class,0.1708433984722121,0.1708433984722121,HIGH_RISK
p7_class_A2,p7_class,0.1672585205087258,0.1672585205087258,HIGH_RISK
