race_key,player_count,p1_prefecture,p1_previous_class,p1_class,p1_riding_style,p1_graduation_term,p1_age,p1_race_score,p1_nige_count,p1_makuri_count,p1_sashi_count,p1_mark_count,p1_back_count,p1_home_count,p1_start_count,p1_win_rate,p1_top2_rate,p1_top3_rate,p1_recent_finish_1,p1_recent_finish_2,p1_recent_finish_3,p1_recent_venue_code,p1_recent_grade,p2_prefecture,p2_previous_class,p2_class,p2_riding_style,p2_graduation_term,p2_age,p2_race_score,p2_nige_count,p2_makuri_count,p2_sashi_count,p2_mark_count,p2_back_count,p2_home_count,p2_start_count,p2_win_rate,p2_top2_rate,p2_top3_rate,p2_recent_finish_1,p2_recent_finish_2,p2_recent_finish_3,p2_recent_venue_code,p2_recent_grade,p3_prefecture,p3_previous_class,p3_class,p3_riding_style,p3_graduation_term,p3_age,p3_race_score,p3_nige_count,p3_makuri_count,p3_sashi_count,p3_mark_count,p3_back_count,p3_home_count,p3_start_count,p3_win_rate,p3_top2_rate,p3_top3_rate,p3_recent_finish_1,p3_recent_finish_2,p3_recent_finish_3,p3_recent_venue_code,p3_recent_grade,p4_prefecture,p4_previous_class,p4_class,p4_riding_style,p4_graduation_term,p4_age,p4_race_score,p4_nige_count,p4_makuri_count,p4_sashi_count,p4_mark_count,p4_back_count,p4_home_count,p4_start_count,p4_win_rate,p4_top2_rate,p4_top3_rate,p4_recent_finish_1,p4_recent_finish_2,p4_recent_finish_3,p4_recent_venue_code,p4_recent_grade,p5_prefecture,p5_previous_class,p5_class,p5_riding_style,p5_graduation_term,p5_age,p5_race_score,p5_nige_count,p5_makuri_count,p5_sashi_count,p5_mark_count,p5_back_count,p5_home_count,p5_start_count,p5_win_rate,p5_top2_rate,p5_top3_rate,p5_recent_finish_1,p5_recent_finish_2,p5_recent_finish_3,p5_recent_venue_code,p5_recent_grade,p6_prefecture,p6_previous_class,p6_class,p6_riding_style,p6_graduation_term,p6_age,p6_race_score,p6_nige_count,p6_makuri_count,p6_sashi_count,p6_mark_count,p6_back_count,p6_home_count,p6_start_count,p6_win_rate,p6_top2_rate,p6_top3_rate,p6_recent_finish_1,p6_recent_finish_2,p6_recent_finish_3,p6_recent_venue_code,p6_recent_grade,p7_prefecture,p7_previous_class,p7_class,p7_riding_style,p7_graduation_term,p7_age,p7_race_score,p7_nige_count,p7_makuri_count,p7_sashi_count,p7_mark_count,p7_back_count,p7_home_count,p7_start_count,p7_win_rate,p7_top2_rate,p7_top3_rate,p7_recent_finish_1,p7_recent_finish_2,p7_recent_finish_3,p7_recent_venue_code,p7_recent_grade,trifecta_combination,trifecta_payout,payout_class_4,is_20000_plus,is_50000_plus
20260706_別府_1R,5,大 分,A2,A3,追,55,61,77.58,0,0,0,0,0,0,0,0.0,0.0,4.0,7,6,3,81,Ｆ１,福 岡,A3,A3,両,89,43,71.45,0,0,8,1,0,1,0,25.0,37.0,50.0,3,7,3,85,Ｆ２,東 京,A3,A3,追,79,53,68.09,0,0,1,2,0,0,1,0.0,13.0,27.0,2,6,4,12,Ｆ２,新 潟,A3,A3,追,80,49,67.62,0,2,3,0,0,0,0,8.0,20.0,29.0,,,,27,Ｆ２,奈 良,A3,A3,逃,92,43,65.66,2,1,0,0,4,6,0,11.0,16.0,33.0,7,3,3,12,Ｆ２,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5-1-2,570,UNDER_10000,0,0
20260706_別府_2R,5,大 阪,A2,A3,追,69,54,81.25,0,0,0,3,0,0,2,0.0,11.0,25.0,6,3,4,36,Ｆ１,沖 縄,A2,A3,追,69,53,79.95,0,0,1,1,0,0,1,4.0,9.0,28.0,6,3,6,84,Ｆ２,愛 知,A3,A3,逃,129,33,71.66,0,0,0,0,0,0,0,0.0,0.0,33.0,3,4,7,53,Ｆ２,岡 山,A3,A3,追,75,52,70.75,0,1,4,3,0,0,1,12.0,32.0,48.0,1,6,3,73,Ｆ２,千 葉,A3,A3,追,66,58,64.66,0,0,0,0,0,0,0,0.0,0.0,9.0,4,5,7,12,Ｆ２,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1-3-2,360,UNDER_10000,0,0
20260706_別府_3R,6,栃 木,A2,A3,追,57,60,78.62,0,0,0,0,0,0,0,0.0,0.0,12.0,7,4,6,21,Ｆ２,新 潟,A3,A3,逃,93,42,71.2,2,2,1,0,4,3,0,20.0,33.0,40.0,,,,37,Ｆ２,佐 賀,A3,A3,追,88,45,68.79,0,0,0,2,0,0,1,0.0,8.0,40.0,5,3,3,73,Ｆ２,愛 知,A3,A3,両,87,44,68.5,1,1,1,1,4,3,5,13.0,18.0,27.0,5,1,4,75,Ｆ２,鹿児島,A3,A3,追,57,62,68.18,0,0,1,0,0,0,0,0.0,3.0,29.0,3,4,4,85,Ｆ２,岐 阜,A3,A3,追,86,47,66.0,0,0,0,1,0,0,1,0.0,7.0,28.0,5,,,44,Ｆ２,,,,,,,,,,,,,,,,,,,,,,,2-5-1,3770,UNDER_10000,0,0
20260706_別府_4R,7,青 森,A2,A3,両,91,41,79.7,0,0,1,0,2,6,1,0.0,5.0,11.0,4,6,5,37,Ｆ２,兵 庫,A3,A3,逃,127,33,72.5,3,3,0,2,4,6,0,35.0,57.0,64.0,2,1,2,36,Ｆ２,福 岡,A3,A3,両,92,40,71.18,0,0,2,8,0,0,7,3.0,37.0,44.0,6,1,6,85,Ｆ２,鹿児島,A3,A3,追,67,57,70.0,0,0,3,2,0,0,1,3.0,17.0,42.0,6,3,7,47,Ｆ２,奈 良,A3,A3,両,113,36,69.1,0,0,4,0,0,0,1,5.0,21.0,31.0,4,,,21,Ｆ２,神奈川,A3,A3,追,79,50,69.0,0,0,0,1,0,0,0,0.0,3.0,25.0,3,7,5,85,Ｆ２,徳 島,A3,A3,追,83,46,66.09,0,0,1,2,1,3,0,3.0,9.0,22.0,5,7,5,85,Ｆ２,2-3-4,2420,UNDER_10000,0,0
20260706_別府_5R,7,埼 玉,A1,A3,逃,123,26,82.87,4,0,2,1,7,11,0,12.0,29.0,45.0,7,4,6,43,Ｆ２,沖 縄,A2,A3,追,92,42,81.05,0,0,0,1,0,0,0,0.0,5.0,29.0,7,6,,81,Ｆ２,徳 島,A2,A3,追,76,52,79.23,0,0,2,0,0,0,1,4.0,9.0,9.0,6,5,5,62,Ｆ２,栃 木,A3,A3,追,88,47,73.26,0,0,3,4,0,0,3,15.0,36.0,57.0,,,,11,Ｆ２,熊 本,A3,A3,逃,129,19,72.33,0,0,0,0,1,0,1,0.0,0.0,11.0,3,5,4,53,Ｆ２,愛 知,A3,A3,追,74,53,68.44,0,0,2,0,0,0,0,0.0,22.0,33.0,,,,73,Ｆ２,福 島,A3,A3,追,70,54,67.46,0,0,0,2,0,0,1,0.0,13.0,13.0,,,,75,Ｆ２,1-4-6,6990,UNDER_10000,0,0
20260706_別府_6R,7,千 葉,A2,A3,追,99,42,79.25,0,0,0,1,0,1,4,0.0,4.0,9.0,,5,4,35,Ｆ１,東 京,A3,A3,逃,127,25,77.81,3,14,1,0,8,8,17,55.0,66.0,85.0,1,1,3,44,Ｆ２,広 島,A3,A3,両,99,42,73.55,2,3,2,1,4,2,3,22.0,44.0,66.0,1,3,5,44,Ｆ２,大 阪,A3,A3,両,117,37,70.93,0,2,2,0,1,3,0,20.0,26.0,46.0,,,,44,Ｆ２,兵 庫,A3,A3,両,89,45,69.85,0,0,3,4,0,1,12,9.0,31.0,45.0,4,2,6,12,Ｆ２,福 島,A3,A3,両,99,37,68.35,0,0,3,0,0,0,3,7.0,21.0,28.0,,,,46,Ｆ２,高 知,A3,A3,追,88,46,67.04,0,0,1,1,0,0,0,4.0,9.0,19.0,4,5,6,81,Ｆ２,2-3-7,2480,UNDER_10000,0,0
20260706_別府_7R,7,大 阪,A2,A3,両,105,40,86.13,5,0,2,1,6,7,3,21.0,34.0,52.0,4,5,2,43,Ｆ２,大 分,A3,A3,逃,129,28,77.66,0,3,3,0,0,1,4,11.0,66.0,77.0,2,2,1,87,Ｆ２,新 潟,A3,A3,逃,119,30,77.33,10,4,2,1,17,12,4,50.0,70.0,83.0,1,3,1,21,Ｆ２,福 島,A3,A3,逃,127,23,77.25,6,10,0,1,10,7,7,54.0,70.0,83.0,1,1,2,12,Ｆ２,長 崎,A3,A3,逃,129,20,75.66,0,3,0,2,1,0,1,33.0,55.0,66.0,2,3,5,53,Ｆ２,岐 阜,A3,A3,逃,129,19,75.22,0,0,2,2,0,1,0,22.0,44.0,55.0,2,2,7,53,Ｆ２,福 岡,A3,A3,逃,129,24,74.11,0,1,1,1,1,2,3,22.0,33.0,44.0,1,4,3,87,Ｆ２,6-1-2,14890,10000_TO_19999,0,0
20260706_取手_1R,7,神奈川,A3,A3,逃,127,27,74.81,11,2,1,0,14,17,16,25.0,51.0,70.0,2,5,2,85,Ｆ２,東 京,A3,A3,追,61,58,68.41,0,0,2,1,0,0,0,3.0,10.0,31.0,5,1,7,12,Ｆ２,福 岡,A3,A3,追,66,58,70.41,0,0,4,0,0,0,0,17.0,23.0,52.0,5,,,53,Ｆ２,宮 城,A3,A3,追,82,51,67.76,0,0,2,2,0,0,7,0.0,19.0,38.0,6,3,4,37,Ｆ２,神奈川,A2,A3,両,94,50,79.6,0,1,1,0,0,0,0,0.0,8.0,16.0,6,3,5,74,Ｆ１,東 京,A3,A3,両,94,41,67.61,2,0,1,0,6,6,3,9.0,14.0,28.0,7,3,4,27,Ｆ２,福 岡,A3,A3,逃,123,30,70.93,2,2,0,0,8,7,2,20.0,26.0,40.0,3,6,7,85,Ｆ２,5-3-7,44540,20000_TO_49999,1,0
20260706_取手_2R,7,岡 山,A3,A3,両,100,39,74.37,6,5,0,0,9,11,8,20.0,45.0,62.0,3,4,5,73,Ｆ２,埼 玉,A3,A3,両,78,50,71.28,1,3,1,2,2,1,2,9.0,33.0,38.0,,,,85,Ｆ２,千 葉,A3,A3,追,74,53,73.66,0,0,6,2,0,0,1,19.0,38.0,57.0,,,,85,Ｆ２,神奈川,A3,A3,逃,129,26,69.0,0,0,0,0,0,1,0,0.0,0.0,0.0,5,6,6,35,Ｆ２,岡 山,A2,A3,追,78,51,80.47,0,0,0,0,0,0,0,0.0,0.0,9.0,6,3,6,37,Ｆ１,群 馬,A3,A3,逃,103,40,68.11,6,1,0,0,10,10,1,14.0,25.0,44.0,7,2,3,37,Ｆ２,静 岡,A3,A3,追,65,56,69.35,0,0,1,0,0,0,0,0.0,7.0,28.0,,,,85,Ｆ２,3-2-4,30600,20000_TO_49999,1,0
20260706_取手_3R,7,高 知,A2,A3,追,99,44,79.41,1,0,1,0,1,1,1,4.0,8.0,16.0,1,7,5,11,Ｆ１,熊 本,A3,A3,両,92,40,68.96,1,1,1,1,3,0,1,10.0,14.0,42.0,1,3,5,85,Ｆ２,群 馬,A3,A3,追,83,47,73.38,0,1,5,2,0,0,1,20.0,40.0,65.0,1,4,1,85,Ｆ２,高 知,A3,A3,両,99,35,69.14,3,0,0,0,4,7,8,4.0,14.0,33.0,4,4,3,73,Ｆ２,栃 木,A3,A3,逃,129,24,71.44,0,0,0,1,0,1,1,0.0,11.0,22.0,6,7,6,35,Ｆ２,熊 本,A3,A3,追,66,55,66.3,0,0,0,0,0,0,0,0.0,0.0,25.0,7,3,3,85,Ｆ２,岡 山,A3,A3,追,62,59,74.13,0,0,10,3,0,0,0,30.0,43.0,56.0,2,3,6,85,Ｆ２,5-7-6,49550,20000_TO_49999,1,0
20260706_取手_4R,7,栃 木,A2,A3,追,97,37,80.35,0,0,4,2,0,0,0,14.0,21.0,39.0,2,1,1,21,Ｆ２,大 分,A3,A3,逃,113,29,69.14,8,1,0,1,12,12,6,14.0,37.0,55.0,6,3,1,27,Ｆ２,宮 城,A3,A3,追,95,37,74.2,0,0,2,7,0,0,3,0.0,60.0,66.0,,,,85,Ｆ２,東 京,A3,A3,逃,129,23,80.11,0,6,1,0,1,1,3,77.0,77.0,88.0,1,1,3,53,Ｆ２,徳 島,A2,A3,追,57,60,78.5,0,0,0,0,0,0,0,0.0,0.0,0.0,,,,61,Ｆ２,神奈川,A3,A3,追,69,58,66.0,0,0,1,1,0,0,0,0.0,8.0,25.0,6,5,3,21,Ｆ２,福 島,A3,A3,両,89,44,68.9,0,2,1,2,0,0,0,9.0,23.0,38.0,7,1,7,85,Ｆ２,4-1-3,490,UNDER_10000,0,0
20260706_取手_5R,7,奈 良,L1,L1,両,128,28,0.0,0,0,0,0,0,0,1,0.0,0.0,0.0,,,,53,Ｆ２,三 重,L1,L1,両,112,29,52.79,5,5,0,2,10,6,2,12.0,50.0,58.0,4,4,2,73,Ｆ２,千 葉,L1,L1,両,106,36,55.45,0,10,3,3,5,1,0,16.0,66.0,95.0,2,1,3,44,Ｆ２,青 森,L1,L1,両,130,23,48.55,1,0,1,0,2,1,3,11.0,22.0,33.0,5,1,5,87,Ｆ２,千 葉,L1,L1,追,102,39,46.67,0,0,0,0,1,3,15,0.0,0.0,10.0,6,6,6,53,Ｆ２,東 京,L1,L1,逃,106,44,53.45,3,4,0,4,12,12,5,12.0,45.0,66.0,1,2,4,37,Ｆ２,沖 縄,L1,L1,追,114,37,49.95,0,1,2,1,1,1,16,12.0,16.0,33.0,5,3,5,21,Ｆ２,3-2-7,2640,UNDER_10000,0,0
20260706_取手_6R,7,青 森,L1,L1,両,112,40,50.0,3,2,1,1,14,18,3,9.0,22.0,45.0,4,7,2,81,Ｆ１,宮 崎,L1,L1,両,114,35,55.81,0,3,10,2,0,0,4,50.0,68.0,77.0,2,1,2,37,Ｆ２,千 葉,L1,L1,両,130,27,54.44,1,7,0,0,7,1,0,88.0,88.0,88.0,1,1,1,35,Ｆ２,栃 木,L1,L1,両,126,27,48.36,0,0,1,0,1,2,0,5.0,5.0,20.0,6,7,6,84,Ｆ２,岐 阜,L1,L1,両,128,23,45.08,0,0,0,0,0,2,2,0.0,0.0,8.0,6,7,7,43,Ｆ２,大 阪,L1,L1,両,112,39,48.0,3,0,0,0,7,11,0,4.0,13.0,30.0,3,7,3,35,Ｆ１,大 分,L1,L1,追,126,22,49.29,0,1,0,1,2,2,6,0.0,8.0,37.0,4,6,4,74,Ｆ２,3-2-7,640,UNDER_10000,0,0
20260706_取手_7R,7,福 島,A2,A2,追,93,48,81.42,0,0,1,1,0,0,2,0.0,9.0,23.0,6,5,6,83,Ｆ１,徳 島,A1,A1,追,100,35,79.5,0,0,0,0,0,0,0,0.0,0.0,25.0,7,4,6,63,Ｆ２,東 京,A1,A2,逃,94,42,80.59,3,0,0,0,8,10,2,3.0,11.0,25.0,7,6,7,35,Ｆ１,熊 本,A2,A2,逃,121,23,86.75,5,2,0,0,9,10,3,16.0,29.0,54.0,2,6,5,61,Ｆ２,群 馬,A2,A2,追,92,39,83.2,0,1,3,3,1,0,3,16.0,29.0,37.0,2,4,6,37,Ｆ２,神奈川,A3,A1,追,77,52,73.76,0,0,3,5,0,0,1,11.0,44.0,61.0,2,2,2,27,Ｆ２,福 岡,A1,A1,追,88,43,85.7,0,1,4,3,0,0,4,16.0,33.0,50.0,6,1,2,84,Ｆ１,7-6-5,14810,10000_TO_19999,0,0
