race_key,date,jo_code,jo_name,race_no,car_no,player_id,player_name,prefecture,age,term,class,previous_class,style,average_score,win_rate,quinella_rate,trio_rate,escape_count,makuri_count,sashi_count,mark_count,back_count,home_count,start_count
20260905_青森_1R,20260905,12,青森,1,1,015361,高田 修汰,福 井,26,115,S2,S2,逃,99.5,23.0,33.0,50.0,8,2,0,0,15,20,4
20260905_青森_1R,20260905,12,青森,1,2,014956,小川 賢人,福 岡,41,103,S1,A1,両,100.45,18.0,22.0,40.0,0,2,3,0,0,0,3
20260905_青森_1R,20260905,12,青森,1,3,014515,城 幸弘,山 梨,40,96,S2,S2,追,96.12,8.0,12.0,28.0,0,0,3,0,0,0,3
20260905_青森_1R,20260905,12,青森,1,4,014350,佐藤 雅春,宮 城,39,94,S2,S2,追,94.69,7.0,7.0,15.0,0,0,1,0,0,0,1
20260905_青森_1R,20260905,12,青森,1,5,014551,山下 一輝,山 口,37,96,S2,S2,追,98.18,3.0,22.0,37.0,0,0,2,4,0,0,2
20260905_青森_1R,20260905,12,青森,1,6,015191,奥村 諭志,岡 山,32,111,S2,A1,両,92.92,11.0,18.0,29.0,1,1,3,0,2,4,2
20260905_青森_1R,20260905,12,青森,1,7,012592,水谷 良和,愛 知,55,70,S2,A1,追,97.26,10.0,15.0,26.0,0,0,2,1,0,0,2
20260905_青森_1R,20260905,12,青森,1,8,014325,蓮井 祐輝,香 川,43,93,S2,A1,追,93.15,0.0,0.0,10.0,0,0,0,0,0,0,2
20260905_青森_1R,20260905,12,青森,1,9,013070,高木 和仁,福 岡,52,76,S2,S2,追,97.95,10.0,20.0,45.0,0,0,3,1,0,0,0
20260905_青森_2R,20260905,12,青森,2,1,013533,佐藤 愼太郎,福 島,48,83,S2,S2,追,100.35,0.0,13.0,33.0,0,0,1,1,0,0,0
20260905_青森_2R,20260905,12,青森,2,2,015651,中川 聖大,福 岡,28,121,S2,A1,逃,98.54,12.0,20.0,54.0,2,3,0,0,13,10,3
20260905_青森_2R,20260905,12,青森,2,3,013679,真崎 新太郎,栃 木,47,85,S2,S2,追,97.75,12.0,25.0,45.0,0,0,4,2,0,0,1
20260905_青森_2R,20260905,12,青森,2,4,014683,藤岡 隆治,徳 島,50,98,S2,S2,追,95.17,8.0,13.0,21.0,0,0,2,1,0,0,0
20260905_青森_2R,20260905,12,青森,2,5,013420,土屋 裕二,静 岡,50,81,S2,S2,追,96.93,0.0,6.0,25.0,0,0,0,1,0,0,1
20260905_青森_2R,20260905,12,青森,2,6,015612,小榑 佑弥,群 馬,27,121,S2,A1,逃,92.71,0.0,0.0,6.0,0,0,0,0,1,4,2
20260905_青森_2R,20260905,12,青森,2,7,013306,齋藤 登志信,宮 城,53,80,S2,S2,追,96.95,0.0,13.0,21.0,0,0,1,2,0,0,2
20260905_青森_2R,20260905,12,青森,2,8,014982,坂本 周作,青 森,34,105,S2,S2,逃,93.5,7.0,7.0,11.0,1,1,0,0,4,4,0
20260905_青森_2R,20260905,12,青森,2,9,014264,松尾 信太郎,福 岡,43,92,S2,S2,追,96.83,0.0,19.0,38.0,0,1,1,4,0,0,0
20260905_青森_3R,20260905,12,青森,3,1,015525,鈴木 浩太,千 葉,29,119,S2,S2,逃,100.81,25.0,43.0,50.0,5,2,0,0,12,11,5
20260905_青森_3R,20260905,12,青森,3,2,015178,伊藤 稔真,三 重,29,111,S2,A1,両,94.82,4.0,17.0,17.0,0,1,1,2,3,3,4
20260905_青森_3R,20260905,12,青森,3,3,014881,山崎 泰己,岡 山,37,101,S2,S2,追,96.48,9.0,12.0,25.0,0,0,4,0,0,0,5
20260905_青森_3R,20260905,12,青森,3,4,013670,小橋 秀幸,青 森,47,85,S2,A1,追,94.06,6.0,16.0,30.0,0,0,3,2,0,0,12
20260905_青森_3R,20260905,12,青森,3,5,015201,門田 凌,愛 媛,32,111,S2,A1,両,94.88,7.0,19.0,26.0,0,2,3,0,0,0,3
20260905_青森_3R,20260905,12,青森,3,6,014882,山本 直,岡 山,33,101,S2,S2,両,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0
20260905_青森_3R,20260905,12,青森,3,7,013798,木村 直隆,兵 庫,48,86,S2,A1,追,95.57,3.0,14.0,28.0,0,0,1,3,0,0,4
20260905_青森_3R,20260905,12,青森,3,8,013805,溪 飛雄馬,愛 媛,47,86,S2,A1,追,90.37,11.0,22.0,33.0,0,0,1,1,0,0,0
20260905_青森_3R,20260905,12,青森,3,9,012889,丸山 啓一,静 岡,51,74,S2,S2,追,99.0,12.0,24.0,32.0,0,0,3,3,1,0,5
20260905_青森_4R,20260905,12,青森,4,1,014545,岡崎 智哉,大 阪,41,96,S1,S1,両,108.19,14.0,33.0,47.0,0,1,6,0,0,0,4
20260905_青森_4R,20260905,12,青森,4,2,015696,荒川 達郎,埼 玉,27,123,S2,S2,逃,102.09,13.0,31.0,54.0,4,3,0,0,10,12,3
20260905_青森_4R,20260905,12,青森,4,3,015836,遠藤 拓巳,香 川,26,125,S2,S2,逃,101.42,7.0,23.0,38.0,3,2,0,1,9,11,0
20260905_青森_4R,20260905,12,青森,4,4,015249,磯川 勝裕,東 京,31,113,S2,A1,逃,99.14,0.0,0.0,42.0,0,0,0,0,0,0,0
20260905_青森_4R,20260905,12,青森,4,5,014955,市橋 司優人,福 岡,34,103,S2,S1,両,103.09,13.0,27.0,36.0,0,5,0,1,1,0,2
20260905_青森_4R,20260905,12,青森,4,6,015250,今井 聡,東 京,39,113,S2,A1,追,95.76,20.0,32.0,52.0,1,0,6,1,1,1,6
20260905_青森_4R,20260905,12,青森,4,7,014177,小堺 浩二,石 川,43,91,S2,S2,両,101.27,24.0,32.0,51.0,0,4,7,1,1,2,5
20260905_青森_4R,20260905,12,青森,4,8,015630,原田 翔真,和歌山,25,121,S2,S2,逃,98.95,13.0,21.0,30.0,2,3,0,0,4,5,2
20260905_青森_4R,20260905,12,青森,4,9,015389,宮崎 大空,熊 本,27,115,S2,S2,両,99.33,14.0,19.0,33.0,0,0,3,1,0,0,5
20260905_青森_5R,20260905,12,青森,5,1,013619,竹内 智彦,宮 城,49,84,S1,S1,追,104.76,9.0,22.0,40.0,0,0,4,1,0,0,0
20260905_青森_5R,20260905,12,青森,5,2,014786,本郷 雄三,熊 本,38,99,S2,S2,両,99.24,17.0,27.0,41.0,0,5,0,3,2,1,7
20260905_青森_5R,20260905,12,青森,5,3,015174,菊池 竣太朗,静 岡,29,111,S2,A1,両,99.78,36.0,47.0,57.0,2,7,0,0,3,1,1
20260905_青森_5R,20260905,12,青森,5,4,013115,望月 永悟,静 岡,49,77,S2,S2,追,98.43,0.0,12.0,41.0,0,0,2,1,0,0,1
20260905_青森_5R,20260905,12,青森,5,5,014664,志村 龍己,山 梨,40,98,S2,S2,追,103.95,13.0,22.0,40.0,0,0,4,1,0,0,5
20260905_青森_5R,20260905,12,青森,5,6,015782,佐々木 亮太,青 森,22,125,S2,A1,逃,95.64,20.0,32.0,44.0,5,3,0,0,11,14,1
20260905_青森_5R,20260905,12,青森,5,7,015614,治田 知也,新 潟,28,121,S2,S2,逃,101.13,27.0,36.0,54.0,3,4,1,0,5,7,2
20260905_青森_5R,20260905,12,青森,5,8,015745,小柳 智徳,長 崎,28,123,S2,A1,逃,96.29,11.0,23.0,41.0,2,2,0,0,6,6,1
20260905_青森_5R,20260905,12,青森,5,9,012487,紺野 哲也,宮 城,53,69,S2,S2,追,99.34,8.0,26.0,34.0,0,0,2,4,0,0,0
20260905_青森_6R,20260905,12,青森,6,1,014465,村上 直久,神奈川,45,95,S2,S2,両,99.41,17.0,31.0,31.0,4,4,1,0,9,10,0
20260905_青森_6R,20260905,12,青森,6,2,014318,椎木尾 拓哉,和歌山,41,93,S2,S1,追,105.33,16.0,32.0,44.0,0,0,8,0,0,0,1
20260905_青森_6R,20260905,12,青森,6,3,014791,木村 弘,青 森,34,100,S2,S1,逃,101.78,21.0,26.0,26.0,1,4,0,0,10,12,0
20260905_青森_6R,20260905,12,青森,6,4,015546,山根 将太,岡 山,29,119,S2,S2,逃,98.22,4.0,27.0,40.0,6,0,0,0,15,15,2
20260905_青森_6R,20260905,12,青森,6,5,013765,海老根 恵太,千 葉,49,86,S2,S2,追,104.78,13.0,43.0,65.0,0,0,6,4,0,0,5
20260905_青森_6R,20260905,12,青森,6,6,015601,五十嵐 綾,福 島,26,121,S2,A1,逃,94.5,3.0,10.0,20.0,1,2,0,0,7,7,9
20260905_青森_6R,20260905,12,青森,6,7,014723,石川 裕二,茨 城,42,99,S2,S1,追,98.44,5.0,5.0,35.0,0,0,1,0,0,0,0
20260905_青森_6R,20260905,12,青森,6,8,014232,柴田 洋輔,東 京,40,92,S2,S2,追,98.03,3.0,6.0,20.0,0,0,1,1,0,0,1
20260905_青森_6R,20260905,12,青森,6,9,013724,渡辺 十夢,福 井,46,85,S2,S2,追,101.82,10.0,28.0,46.0,0,0,5,3,0,0,1
