レースキー,開催日,競輪場,レース番号,車番,登録番号,選手名,府県,年齢,期別,級班,前級班,脚質,ギヤ倍率,平均競走得点,勝率,２連対率,３連対率,逃げ,捲り,差し,マーク,バック,ホーム,スタート,誘導選手,status
20260713_宇都宮_1R,20260713,宇都宮,1,1,014329,阿部 功,高 知,42,93,A2,A2,追,,79.47,0.0,5.0,29.0,0,0,0,1,0,0,0,,
20260713_宇都宮_1R,20260713,宇都宮,1,2,013903,川崎 健次,神奈川,46,88,A1,A1,追,,87.5,22.0,44.0,55.0,0,0,6,2,0,0,4,,
20260713_宇都宮_1R,20260713,宇都宮,1,3,012742,山田 雅之,岐 阜,53,72,A2,A1,追,,86.28,4.0,13.0,36.0,0,0,2,1,0,0,3,,
20260713_宇都宮_1R,20260713,宇都宮,1,4,013417,梅原 大治,静 岡,49,81,A2,A2,追,,83.79,4.0,8.0,37.0,0,0,1,1,0,0,0,,
20260713_宇都宮_1R,20260713,宇都宮,1,5,015911,松田 安綱,大 阪,25,127,A2,A2,逃,,88.08,37.0,45.0,62.0,7,2,2,0,12,10,4,,
20260713_宇都宮_1R,20260713,宇都宮,1,6,014195,田中 孝法,福 岡,44,91,A2,A3,追,,74.44,27.0,44.0,44.0,0,0,6,2,0,0,5,,
20260713_宇都宮_1R,20260713,宇都宮,1,7,015107,田頭 寛之,千 葉,37,109,A1,A1,両,,88.88,18.0,44.0,70.0,4,3,3,2,5,3,4,,
20260713_宇都宮_2R,20260713,宇都宮,2,1,013353,吉永 好宏,広 島,51,80,A1,A1,追,,86.81,9.0,27.0,45.0,0,0,3,3,0,0,3,,
20260713_宇都宮_2R,20260713,宇都宮,2,2,013695,岡本 英之,千 葉,47,85,A1,A1,追,,90.76,14.0,33.0,33.0,0,0,5,2,0,0,2,,
20260713_宇都宮_2R,20260713,宇都宮,2,3,015101,松岡 晋乃介,岐 阜,30,109,A2,A2,逃,,82.29,4.0,12.0,45.0,2,0,1,0,7,8,8,,
20260713_宇都宮_2R,20260713,宇都宮,2,4,015831,三木 健正,岡 山,25,125,A1,A1,逃,,85.83,22.0,33.0,55.0,1,5,0,0,10,6,2,,
20260713_宇都宮_2R,20260713,宇都宮,2,5,014737,河上 陽一,千 葉,50,99,A2,A2,両,,82.16,0.0,8.0,33.0,0,0,1,1,0,0,1,,
20260713_宇都宮_2R,20260713,宇都宮,2,6,011817,有賀 高士,石 川,57,61,A2,A3,追,,74.66,12.0,38.0,54.0,0,0,8,4,0,0,2,,
20260713_宇都宮_2R,20260713,宇都宮,2,7,015895,鈴木 小次廊,静 岡,23,127,A2,A3,逃,,76.04,19.0,66.0,71.0,9,2,1,2,11,8,14,,
20260713_宇都宮_3R,20260713,宇都宮,3,1,015182,吉川 希望,石 川,33,111,A1,A1,逃,,91.25,25.0,33.0,48.0,3,5,1,0,5,5,3,,
20260713_宇都宮_3R,20260713,宇都宮,3,2,014269,梶原 恵介,大 分,44,92,A1,A1,追,,84.33,4.0,20.0,41.0,0,0,1,4,0,0,1,,
20260713_宇都宮_3R,20260713,宇都宮,3,3,014236,本田 拓也,新 潟,43,92,A2,A2,追,,81.53,7.0,7.0,11.0,0,0,2,0,0,0,0,,
20260713_宇都宮_3R,20260713,宇都宮,3,4,013477,宮司 周郎,愛 知,50,82,A1,A1,追,,87.33,8.0,50.0,62.0,0,0,4,8,0,0,3,,
20260713_宇都宮_3R,20260713,宇都宮,3,5,015748,田中 会心,熊 本,25,123,A1,A2,逃,,85.77,14.0,40.0,51.0,10,1,0,0,17,18,0,,
20260713_宇都宮_3R,20260713,宇都宮,3,6,014242,亀谷 隆一,神奈川,39,92,A2,A3,追,,72.28,4.0,18.0,45.0,0,0,1,3,0,0,9,,
20260713_宇都宮_3R,20260713,宇都宮,3,7,013219,宮本 佳樹,香 川,53,78,A2,A2,追,,80.08,8.0,8.0,16.0,0,0,1,0,0,0,0,,
20260713_宇都宮_4R,20260713,宇都宮,4,1,015721,内山 慧大,福 井,24,123,A1,A1,逃,,90.04,28.0,38.0,42.0,5,3,0,0,14,10,11,,
20260713_宇都宮_4R,20260713,宇都宮,4,2,014651,須永 勝太,福 島,35,98,A2,A2,両,,84.7,16.0,36.0,46.0,0,2,7,2,0,0,2,,
20260713_宇都宮_4R,20260713,宇都宮,4,3,013895,松尾 大樹,長 崎,45,87,A2,A2,追,,82.08,0.0,16.0,33.0,0,0,1,3,0,0,7,,
20260713_宇都宮_4R,20260713,宇都宮,4,4,014058,佐藤 謙,栃 木,40,90,A2,A2,追,,83.89,6.0,20.0,31.0,0,0,3,3,0,0,3,,
20260713_宇都宮_4R,20260713,宇都宮,4,5,015933,山本 康旗,大 分,26,127,A2,A3,逃,,74.33,13.0,26.0,66.0,3,1,0,0,11,11,0,,
20260713_宇都宮_4R,20260713,宇都宮,4,6,015085,奈良 基,宮 城,44,109,A2,A3,両,,71.76,23.0,38.0,52.0,1,1,4,2,4,8,1,,
20260713_宇都宮_4R,20260713,宇都宮,4,7,014862,坂本 将太郎,栃 木,33,101,A1,A1,追,,86.0,11.0,29.0,51.0,0,0,5,3,0,0,7,,
20260713_宇都宮_5R,20260713,宇都宮,5,1,013693,藤原 憲征,新 潟,46,85,A1,S2,追,,98.12,9.0,18.0,43.0,0,0,3,3,0,0,2,,
20260713_宇都宮_5R,20260713,宇都宮,5,2,015204,吉田 智哉,愛 媛,28,111,A1,S2,逃,,94.84,4.0,8.0,20.0,1,0,1,0,1,3,3,,
20260713_宇都宮_5R,20260713,宇都宮,5,3,014130,竹山 陵太,宮 城,41,91,A1,S2,追,,97.31,11.0,25.0,40.0,0,2,5,2,0,0,9,,
20260713_宇都宮_5R,20260713,宇都宮,5,4,014477,白上 翔,滋 賀,37,95,A1,A1,両,,93.09,47.0,57.0,71.0,0,4,8,0,1,1,2,,
20260713_宇都宮_5R,20260713,宇都宮,5,5,015421,秋本 耀太郎,栃 木,28,117,A1,S2,逃,,98.16,11.0,27.0,27.0,0,2,0,3,1,2,2,,
20260713_宇都宮_5R,20260713,宇都宮,5,6,015285,久樹 克門,徳 島,34,113,A1,A1,逃,,92.69,33.0,51.0,55.0,0,3,8,3,2,1,3,,
20260713_宇都宮_5R,20260713,宇都宮,5,7,014714,橋本 智昭,宮 城,43,99,A1,S2,逃,,99.22,16.0,29.0,33.0,1,4,1,1,3,3,4,,
20260713_宇都宮_6R,20260713,宇都宮,6,1,014499,佐藤 博紀,岩 手,40,96,S2,S1,両,,103.76,9.0,23.0,47.0,0,5,0,0,0,1,8,,
20260713_宇都宮_6R,20260713,宇都宮,6,2,015725,青木 瑞樹,岡 山,26,123,S2,S2,逃,,101.89,20.0,37.0,48.0,5,3,2,1,12,15,3,,
20260713_宇都宮_6R,20260713,宇都宮,6,3,013070,高木 和仁,福 岡,51,76,S2,S2,追,,99.14,7.0,14.0,40.0,0,0,4,0,0,0,0,,
20260713_宇都宮_6R,20260713,宇都宮,6,4,012487,紺野 哲也,宮 城,53,69,S2,S2,追,,100.66,9.0,22.0,36.0,0,0,4,1,0,0,0,,
20260713_宇都宮_6R,20260713,宇都宮,6,5,015067,瀬戸 晋作,長 崎,33,107,S2,S1,両,,97.27,4.0,18.0,27.0,0,1,2,1,3,3,2,,
20260713_宇都宮_6R,20260713,宇都宮,6,6,014712,泉 慶輔,宮 城,36,99,S2,A1,追,,93.47,19.0,42.0,76.0,0,0,6,3,0,0,9,,
20260713_宇都宮_6R,20260713,宇都宮,6,7,014409,山本 奨,岡 山,37,94,S2,S2,両,,101.58,17.0,24.0,48.0,0,4,3,0,0,0,3,,
20260713_宇都宮_7R,20260713,宇都宮,7,1,014515,城 幸弘,山 梨,40,96,S2,S2,追,,95.89,6.0,13.0,13.0,0,0,4,0,0,0,2,,
20260713_宇都宮_7R,20260713,宇都宮,7,2,015468,和泉 尚吾,愛 媛,29,117,S2,S2,両,,101.5,23.0,28.0,42.0,1,1,3,1,5,5,5,,
20260713_宇都宮_7R,20260713,宇都宮,7,3,012669,伊藤 正樹,愛 知,53,71,S2,S2,追,,99.05,8.0,17.0,41.0,0,1,3,2,0,0,1,,
20260713_宇都宮_7R,20260713,宇都宮,7,4,015519,小池 千啓,栃 木,28,119,S2,S2,逃,,93.13,0.0,3.0,13.0,0,1,0,0,6,7,2,,
20260713_宇都宮_7R,20260713,宇都宮,7,5,015723,稲毛 知也,和歌山,28,123,S2,A1,逃,,91.45,41.0,50.0,58.0,2,10,0,0,10,6,10,,
20260713_宇都宮_7R,20260713,宇都宮,7,6,014372,内田 玄希,東 京,45,94,S2,A1,追,,89.96,12.0,48.0,68.0,0,0,6,6,0,0,16,,
20260713_宇都宮_7R,20260713,宇都宮,7,7,014685,掛水 泰範,高 知,42,98,S2,S2,追,,104.42,5.0,26.0,52.0,0,0,3,2,0,0,5,,
20260713_宇都宮_8R,20260713,宇都宮,8,1,014942,清水 剛志,福 井,35,103,S2,S2,両,,102.53,26.0,36.0,46.0,0,0,9,2,2,2,8,,
20260713_宇都宮_8R,20260713,宇都宮,8,2,014511,内藤 高裕,東 京,38,96,S2,S2,追,,97.26,3.0,13.0,33.0,0,0,2,2,0,0,4,,
20260713_宇都宮_8R,20260713,宇都宮,8,3,015745,小柳 智徳,長 崎,28,123,S2,A1,逃,,91.63,31.0,36.0,47.0,2,5,0,0,5,2,2,,
20260713_宇都宮_8R,20260713,宇都宮,8,4,014137,房州 輝也,福 島,40,91,S2,S2,両,,95.45,0.0,2.0,24.0,0,0,1,0,1,1,1,,
20260713_宇都宮_8R,20260713,宇都宮,8,5,015610,永井 哉多,東 京,24,121,S2,A1,逃,,95.86,72.0,77.0,81.0,8,9,0,0,13,11,0,,
20260713_宇都宮_8R,20260713,宇都宮,8,6,013537,谷津田 将吾,福 島,46,83,S2,A1,追,,90.88,16.0,33.0,38.0,0,0,6,0,0,0,3,,
20260713_宇都宮_8R,20260713,宇都宮,8,7,014318,椎木尾 拓哉,和歌山,40,93,S2,S1,追,,105.28,16.0,28.0,32.0,0,0,7,0,0,0,3,,
20260713_宇都宮_9R,20260713,宇都宮,9,1,013498,西田 雅志,広 島,48,82,S2,S2,追,,95.85,3.0,11.0,29.0,0,0,1,2,0,0,0,,
20260713_宇都宮_9R,20260713,宇都宮,9,2,014588,柿澤 大貴,長 野,36,97,S2,S1,追,,107.24,10.0,37.0,48.0,0,2,5,4,0,0,9,,
20260713_宇都宮_9R,20260713,宇都宮,9,3,015123,清水 一幸,大 阪,39,109,S2,S2,追,,100.65,19.0,29.0,38.0,0,1,7,1,0,1,6,,
20260713_宇都宮_9R,20260713,宇都宮,9,4,015605,加藤 将武,埼 玉,24,121,S2,S2,逃,,101.89,21.0,31.0,47.0,3,1,2,0,6,8,0,,
20260713_宇都宮_9R,20260713,宇都宮,9,5,014399,佐川 翔吾,大 阪,42,94,S2,S2,両,,97.05,10.0,15.0,26.0,0,0,2,1,0,0,3,,
20260713_宇都宮_9R,20260713,宇都宮,9,6,015729,山根 慶太,岡 山,26,123,S2,A1,逃,,86.38,11.0,33.0,66.0,3,1,1,1,10,10,2,,
20260713_宇都宮_9R,20260713,宇都宮,9,7,015717,児玉 虎之介,岐 阜,25,123,S2,S2,逃,,96.96,11.0,19.0,42.0,1,1,3,0,10,12,9,,
20260713_宇都宮_10R,20260713,宇都宮,10,1,013443,大坪 功一,福 岡,49,81,S2,S1,追,,99.57,3.0,14.0,25.0,0,0,2,2,0,0,2,,
20260713_宇都宮_10R,20260713,宇都宮,10,2,014177,小堺 浩二,石 川,43,91,S2,S2,両,,101.25,17.0,20.0,45.0,0,4,3,1,2,2,6,,
20260713_宇都宮_10R,20260713,宇都宮,10,3,013252,中村 浩士,千 葉,48,79,S2,S1,追,,98.85,7.0,10.0,21.0,0,0,2,1,0,0,2,,
20260713_宇都宮_10R,20260713,宇都宮,10,4,015619,日高 裕太,静 岡,24,121,S2,S2,逃,,98.06,16.0,20.0,30.0,4,2,0,0,10,10,7,,
20260713_宇都宮_10R,20260713,宇都宮,10,5,015840,阿部 英斗,福 岡,22,125,S2,S2,逃,,107.03,30.0,57.0,73.0,1,11,3,0,9,4,2,,
20260713_宇都宮_10R,20260713,宇都宮,10,6,014710,花田 将司,千 葉,39,99,S2,S2,両,,94.41,0.0,3.0,12.0,0,0,1,0,0,0,6,,
