レースキー,開催日,競輪場,レース番号,車番,登録番号,選手名,府県,年齢,期別,級班,前級班,脚質,ギヤ倍率,平均競走得点,勝率,２連対率,３連対率,逃げ,捲り,差し,マーク,バック,ホーム,スタート,誘導選手,status
20260716_函館_1R,20260716,函館,1,1,012519,藤原 誠,岐 阜,54,69,A1,S2,追,,95.4,12.0,21.0,34.0,0,0,5,2,0,0,6,,
20260716_函館_1R,20260716,函館,1,2,013896,安東 英博,大 分,45,87,A2,A1,追,,82.92,3.0,14.0,40.0,0,0,4,0,0,0,4,,
20260716_函館_1R,20260716,函館,1,3,014062,齋藤 昌弘,群 馬,44,90,A2,A3,追,,72.16,4.0,24.0,48.0,0,0,2,4,1,1,4,,
20260716_函館_1R,20260716,函館,1,4,014040,竹内 真一,福 岡,45,89,A2,A2,追,,79.88,3.0,3.0,22.0,0,0,1,0,0,0,3,,
20260716_函館_1R,20260716,函館,1,5,015156,門脇 翼,秋 田,33,111,A2,A2,逃,,77.79,0.0,8.0,8.0,0,1,0,1,1,1,1,,
20260716_函館_1R,20260716,函館,1,6,014075,松根 真,東 京,45,90,A2,A3,追,,71.7,4.0,37.0,45.0,0,0,2,7,1,1,0,,
20260716_函館_1R,20260716,函館,1,7,015622,伊藤 温希,岐 阜,26,121,A2,A1,追,,85.0,8.0,16.0,33.0,0,0,2,0,0,0,2,,
20260716_函館_2R,20260716,函館,2,1,013560,小佐野 文秀,山 梨,50,83,A2,A1,追,,86.85,22.0,22.0,40.0,0,0,6,0,0,0,14,,
20260716_函館_2R,20260716,函館,2,2,014102,篠塚 光一,兵 庫,46,90,A1,A2,追,,81.66,12.0,20.0,37.0,0,0,4,1,0,0,1,,
20260716_函館_2R,20260716,函館,2,3,014887,板崎 佑矢,愛 媛,38,101,A2,A1,両,,80.26,0.0,7.0,11.0,0,0,0,2,0,1,2,,
20260716_函館_2R,20260716,函館,2,4,014444,星野 辰也,栃 木,40,95,A1,A1,追,,89.59,18.0,37.0,51.0,0,0,8,2,0,0,10,,
20260716_函館_2R,20260716,函館,2,5,014703,一ノ瀬 貴将,大 阪,40,98,A2,A1,両,,80.12,0.0,12.0,31.0,0,0,1,1,0,0,0,,
20260716_函館_2R,20260716,函館,2,6,014351,田口 守,山 口,38,94,A2,A3,両,,65.72,8.0,25.0,25.0,1,0,1,1,1,0,0,,
20260716_函館_2R,20260716,函館,2,7,015505,荻原 寿嗣,北海道,32,119,A1,A2,逃,,82.52,23.0,38.0,38.0,5,2,1,0,11,14,2,,
20260716_函館_3R,20260716,函館,3,1,014304,大竹 哲也,静 岡,46,93,A2,A1,追,,86.68,10.0,30.0,45.0,0,0,2,4,0,0,3,,
20260716_函館_3R,20260716,函館,3,2,014748,山口 智弘,愛 知,36,99,A1,A1,追,,89.66,29.0,41.0,58.0,0,0,9,1,0,0,4,,
20260716_函館_3R,20260716,函館,3,3,014783,魚屋 周成,大 分,35,99,A2,A1,逃,,84.15,7.0,23.0,30.0,1,0,1,1,4,5,1,,
20260716_函館_3R,20260716,函館,3,4,014164,田中 孝彦,静 岡,39,91,A1,A1,追,,87.69,16.0,37.0,54.0,0,2,4,3,0,0,2,,
20260716_函館_3R,20260716,函館,3,5,014194,桑原 亮,福 岡,41,91,A1,S2,追,,94.77,2.0,11.0,20.0,0,1,2,1,0,0,0,,
20260716_函館_3R,20260716,函館,3,6,015899,加藤 駿,愛 知,28,127,A2,A3,逃,,78.19,33.0,55.0,77.0,10,4,1,0,16,12,8,,
20260716_函館_3R,20260716,函館,3,7,015805,山下 祐輔,千 葉,24,125,A1,A2,逃,,88.09,23.0,57.0,66.0,8,3,0,1,10,8,4,,
20260716_函館_4R,20260716,函館,4,1,014796,保科 千春,宮 城,34,100,A1,S1,追,,95.66,0.0,12.0,28.0,0,0,0,4,0,0,4,,
20260716_函館_4R,20260716,函館,4,2,013307,浦川 尊明,茨 城,50,80,A1,A1,追,,91.0,19.0,42.0,65.0,0,0,8,3,0,0,2,,
20260716_函館_4R,20260716,函館,4,3,012760,櫻井 宏智,広 島,56,72,A2,A2,追,,85.11,15.0,26.0,46.0,0,0,7,0,0,0,2,,
20260716_函館_4R,20260716,函館,4,4,015293,中里 福太郎,北海道,30,113,A2,A2,逃,,82.66,13.0,26.0,26.0,0,0,3,1,2,3,0,,
20260716_函館_4R,20260716,函館,4,5,015372,野上 竜太,岡 山,30,115,A2,A1,逃,,85.85,17.0,42.0,50.0,7,5,0,0,21,17,2,,
20260716_函館_4R,20260716,函館,4,6,015888,水澤 秀哉,千 葉,22,127,A2,A3,逃,,79.66,75.0,75.0,87.0,16,2,0,0,18,20,19,,
20260716_函館_4R,20260716,函館,4,7,015611,長谷川 飛向,東 京,29,121,A1,A1,逃,,90.33,33.0,58.0,70.0,5,8,1,0,17,12,7,,
20260716_函館_5R,20260716,函館,5,1,015591,松本 ちひろ,山 口,31,120,L1,L1,両,,47.54,0.0,0.0,12.0,0,0,0,0,0,0,0,,
20260716_函館_5R,20260716,函館,5,2,015498,國村 美留莉,山 口,26,118,L1,L1,追,,51.37,16.0,33.0,54.0,0,1,4,3,0,0,0,,
20260716_函館_5R,20260716,函館,5,3,015150,宮地 寧々,岐 阜,30,110,L1,L1,両,,49.71,9.0,9.0,42.0,0,0,2,0,2,3,4,,
20260716_函館_5R,20260716,函館,5,4,016026,吉田 恵利,北海道,22,130,L1,L1,両,,45.0,0.0,0.0,11.0,0,0,0,0,0,2,0,,
20260716_函館_5R,20260716,函館,5,5,015851,片岡 美奈,栃 木,27,126,L1,L1,両,,48.5,4.0,4.0,17.0,0,0,1,0,1,3,0,,
20260716_函館_5R,20260716,函館,5,6,015950,石田 春海,大 阪,27,128,L1,L1,両,,48.12,4.0,16.0,25.0,0,0,2,2,0,2,0,,
20260716_函館_5R,20260716,函館,5,7,015146,齊藤 由紀,愛 知,40,110,L1,L1,両,,44.33,0.0,0.0,0.0,0,0,0,0,0,1,0,,
20260716_函館_6R,20260716,函館,6,1,015747,長松 空吾,大 分,26,123,S2,A1,逃,,93.84,50.0,55.0,55.0,3,3,5,0,5,7,0,,
20260716_函館_6R,20260716,函館,6,2,014228,片折 亮太,埼 玉,38,92,S2,S2,両,,96.44,11.0,22.0,27.0,1,1,2,0,2,2,2,,
20260716_函館_6R,20260716,函館,6,3,013741,高原 仁志,徳 島,45,85,S2,S2,追,,95.23,4.0,4.0,28.0,0,0,1,0,0,0,0,,
20260716_函館_6R,20260716,函館,6,4,015604,安彦 統賀,埼 玉,27,121,S2,S2,両,,104.65,15.0,34.0,57.0,1,4,3,1,8,7,9,,
20260716_函館_6R,20260716,函館,6,5,015454,小松原 正登,福 井,28,117,S2,S2,逃,,100.18,9.0,27.0,31.0,0,4,2,0,3,6,2,,
20260716_函館_6R,20260716,函館,6,6,013520,高木 竜司,熊 本,50,82,S2,A1,追,,85.83,16.0,32.0,40.0,0,0,4,4,0,0,1,,
20260716_函館_7R,20260716,函館,7,1,015823,西岡 利起,奈 良,25,125,S2,A2,逃,,93.08,40.0,68.0,80.0,13,2,2,0,17,18,11,,
20260716_函館_7R,20260716,函館,7,2,015687,立花 昌也,青 森,27,123,S2,S2,逃,,98.25,16.0,28.0,28.0,3,4,0,0,6,7,0,,
20260716_函館_7R,20260716,函館,7,3,012592,水谷 良和,愛 知,55,70,S2,A1,追,,90.1,0.0,0.0,30.0,0,0,0,0,0,0,1,,
20260716_函館_7R,20260716,函館,7,4,015340,幸田 望夢,栃 木,26,115,S2,S2,逃,,97.52,9.0,23.0,33.0,4,1,0,0,8,7,3,,
20260716_函館_7R,20260716,函館,7,5,015002,神田 龍,三 重,36,105,S2,S2,逃,,103.73,21.0,47.0,52.0,3,5,1,0,5,3,4,,
20260716_函館_7R,20260716,函館,7,6,014481,徳丸 泰教,兵 庫,40,95,S2,A1,追,,89.84,12.0,20.0,32.0,0,1,2,2,1,0,0,,
20260716_函館_7R,20260716,函館,7,7,013976,明田 春喜,北海道,45,89,S2,A2,追,,92.58,27.0,68.0,75.0,0,0,11,9,0,0,0,,
20260716_函館_8R,20260716,函館,8,1,015041,伊藤 慶太郎,埼 玉,32,107,S2,S2,逃,,98.04,18.0,27.0,31.0,2,1,2,1,5,6,0,,
20260716_函館_8R,20260716,函館,8,2,014700,川口 公太朗,岐 阜,36,98,S1,S1,追,,104.16,16.0,35.0,48.0,0,0,6,5,0,0,2,,
20260716_函館_8R,20260716,函館,8,3,014052,飯野 祐太,福 島,41,90,S2,S1,両,,107.11,14.0,29.0,48.0,0,1,5,2,0,0,2,,
20260716_函館_8R,20260716,函館,8,4,014944,栗山 俊介,奈 良,38,103,S2,S2,両,,101.52,8.0,13.0,39.0,1,0,2,0,1,1,6,,
20260716_函館_8R,20260716,函館,8,5,014811,笠松 将太,埼 玉,34,100,S2,S2,逃,,98.21,15.0,31.0,42.0,3,2,1,0,3,4,0,,
20260716_函館_8R,20260716,函館,8,6,015615,荒川 仁,千 葉,28,121,S2,A1,逃,,90.29,17.0,35.0,41.0,4,2,0,0,8,5,1,,
20260716_函館_8R,20260716,函館,8,7,014645,三浦 翔大,宮 城,36,98,S2,S2,追,,98.86,10.0,20.0,33.0,0,0,5,1,0,0,3,,
