レースキー,開催日,競輪場,レース番号,車番,登録番号,選手名,府県,年齢,期別,級班,前級班,脚質,ギヤ倍率,平均競走得点,勝率,２連対率,３連対率,逃げ,捲り,差し,マーク,バック,ホーム,スタート,誘導選手,status
20260717_高知_1R,20260717,高知,1,1,015868,市田 龍生都,福 井,24,127,S2,S2,逃,,107.0,50.0,56.0,68.0,7,2,0,0,12,12,1,,
20260717_高知_1R,20260717,高知,1,2,014744,和田 真久留,神奈川,35,99,S1,S1,両,,112.11,7.0,30.0,50.0,0,1,5,2,1,0,6,,
20260717_高知_1R,20260717,高知,1,3,014507,長島 大介,栃 木,37,96,S1,S1,両,,108.57,25.0,32.0,42.0,0,1,8,0,1,1,3,,
20260717_高知_1R,20260717,高知,1,4,013745,中川 誠一郎,熊 本,47,85,S1,S1,両,,104.47,28.0,38.0,61.0,0,3,4,1,0,0,6,,
20260717_高知_1R,20260717,高知,1,5,015436,青野 将大,神奈川,32,117,S1,S1,逃,,108.72,20.0,40.0,45.0,3,2,2,1,6,6,0,,
20260717_高知_1R,20260717,高知,1,6,015289,橋本 瑠偉,栃 木,31,113,S1,S1,逃,,97.62,20.0,24.0,27.0,2,4,1,0,9,10,1,,
20260717_高知_1R,20260717,高知,1,7,014103,村田 雅一,兵 庫,42,90,S1,S1,追,,110.65,23.0,38.0,57.0,0,0,8,2,0,0,1,,
20260717_高知_1R,20260717,高知,1,8,014682,原田 研太朗,徳 島,35,98,S1,S1,逃,,103.02,27.0,40.0,48.0,5,8,2,0,9,7,6,,
20260717_高知_1R,20260717,高知,1,9,014252,三谷 将太,奈 良,40,92,S1,S1,追,,112.3,20.0,32.0,56.0,0,0,7,1,0,0,1,,
20260717_高知_2R,20260717,高知,2,1,014356,佐藤 一伸,福 島,38,94,S2,S1,両,,110.15,19.0,28.0,57.0,0,4,2,0,2,0,1,,
20260717_高知_2R,20260717,高知,2,2,015814,岩井 芯,岐 阜,21,125,S2,S2,逃,,107.35,45.0,70.0,75.0,7,6,1,0,10,9,1,,
20260717_高知_2R,20260717,高知,2,3,015431,鈴木 玄人,東 京,30,117,S1,S1,両,,112.66,20.0,20.0,40.0,0,0,3,0,0,0,8,,
20260717_高知_2R,20260717,高知,2,4,015645,室井 蓮太朗,徳 島,25,121,S2,S2,両,,106.0,25.0,50.0,55.0,3,6,1,0,5,1,2,,
20260717_高知_2R,20260717,高知,2,5,014089,浅井 康太,三 重,42,90,S1,S1,両,,112.31,27.0,31.0,55.0,0,2,7,0,0,0,3,,
20260717_高知_2R,20260717,高知,2,6,015601,五十嵐 綾,福 島,25,121,S2,A1,逃,,94.21,32.0,50.0,60.0,2,9,2,1,4,3,11,,
20260717_高知_2R,20260717,高知,2,7,013791,村上 博幸,京 都,47,86,S1,S1,追,,109.31,8.0,21.0,39.0,0,0,3,2,0,0,5,,
20260717_高知_2R,20260717,高知,2,8,014322,片岡 迪之,岡 山,39,93,S1,S1,両,,105.61,3.0,11.0,40.0,0,1,1,1,0,0,4,,
20260717_高知_2R,20260717,高知,2,9,015248,森田 優弥,埼 玉,28,113,S2,S1,逃,,109.85,34.0,43.0,65.0,3,7,0,0,13,7,2,,
20260717_高知_3R,20260717,高知,3,1,015518,吉田 有希,岐 阜,24,119,S1,S1,逃,,107.9,13.0,31.0,40.0,5,0,2,0,7,10,0,,
20260717_高知_3R,20260717,高知,3,2,014861,金子 幸央,栃 木,33,101,S1,S2,両,,109.31,22.0,54.0,63.0,0,4,7,1,1,1,6,,
20260717_高知_3R,20260717,高知,3,3,014417,山田 庸平,佐 賀,38,94,S1,S1,両,,114.93,31.0,48.0,62.0,0,1,10,3,0,0,7,,
20260717_高知_3R,20260717,高知,3,4,015324,小原 佑太,青 森,30,115,S1,S1,逃,,106.45,16.0,36.0,44.0,7,2,0,0,16,16,6,,
20260717_高知_3R,20260717,高知,3,5,015268,山田 諒,岐 阜,27,113,S1,S1,両,,106.57,23.0,38.0,38.0,2,5,3,0,1,2,6,,
20260717_高知_3R,20260717,高知,3,6,015695,篠田 幸希,群 馬,27,123,S1,S2,逃,,104.04,25.0,54.0,62.0,2,8,2,1,4,2,3,,
20260717_高知_3R,20260717,高知,3,7,015464,町田 太我,広 島,26,117,S1,S1,逃,,112.0,18.0,48.0,62.0,9,4,0,0,14,11,3,,
20260717_高知_3R,20260717,高知,3,8,013815,井上 昌己,長 崎,46,86,S1,S1,追,,105.3,21.0,30.0,47.0,0,1,5,1,0,0,4,,
20260717_高知_3R,20260717,高知,3,9,013917,成田 和也,福 島,47,88,S1,S1,追,,112.77,9.0,36.0,54.0,0,0,4,4,0,0,8,,
20260717_高知_4R,20260717,高知,4,1,015090,高橋 築,東 京,34,109,S1,S1,両,,109.23,16.0,22.0,44.0,0,0,4,0,0,0,2,,
20260717_高知_4R,20260717,高知,4,2,014097,稲川 翔,大 阪,41,90,S1,S2,両,,110.72,13.0,40.0,54.0,0,1,5,3,0,0,6,,
20260717_高知_4R,20260717,高知,4,3,014935,嶋津 拓弥,神奈川,40,103,S1,S1,追,,111.51,20.0,37.0,55.0,0,1,7,3,0,0,1,,
20260717_高知_4R,20260717,高知,4,4,015479,松岡 辰泰,熊 本,29,117,S1,S1,逃,,102.76,11.0,22.0,25.0,0,5,0,1,4,3,9,,
20260717_高知_4R,20260717,高知,4,5,015272,中釜 章成,大 阪,29,113,S1,S1,逃,,111.9,38.0,47.0,71.0,1,6,3,0,9,5,8,,
20260717_高知_4R,20260717,高知,4,6,015738,梶原 海斗,福 岡,26,123,S1,S2,逃,,96.71,7.0,21.0,28.0,2,1,0,0,6,5,0,,
20260717_高知_4R,20260717,高知,4,7,014380,根田 空史,千 葉,37,94,S1,S1,逃,,107.96,21.0,46.0,53.0,7,6,0,0,17,13,2,,
20260717_高知_4R,20260717,高知,4,8,015349,寺沼 拓摩,東 京,27,115,S1,S2,両,,101.9,13.0,27.0,45.0,2,4,0,0,7,5,0,,
20260717_高知_4R,20260717,高知,4,9,014317,山田 久徳,京 都,38,93,S1,S1,両,,109.95,7.0,22.0,33.0,0,0,4,2,0,0,6,,
20260717_高知_5R,20260717,高知,5,1,015094,佐々木 龍,神奈川,35,109,S1,S1,追,,109.33,7.0,29.0,40.0,0,0,3,5,0,0,3,,
20260717_高知_5R,20260717,高知,5,2,015061,取鳥 雄吾,岡 山,31,107,S1,S1,逃,,113.2,25.0,50.0,60.0,2,4,4,0,5,7,11,,
20260717_高知_5R,20260717,高知,5,3,014873,三谷 竜生,奈 良,38,101,S1,S1,両,,108.11,11.0,25.0,40.0,1,3,3,0,3,2,4,,
20260717_高知_5R,20260717,高知,5,4,014837,神田 紘輔,大 阪,40,100,S1,S1,追,,107.09,6.0,19.0,54.0,0,0,5,1,0,0,1,,
20260717_高知_5R,20260717,高知,5,5,013880,岩津 裕介,岡 山,44,87,S1,S1,追,,110.0,19.0,33.0,44.0,0,0,7,5,0,0,3,,
20260717_高知_5R,20260717,高知,5,6,015282,宮本 隼輔,熊 本,31,113,S1,S2,両,,103.14,42.0,42.0,57.0,1,5,0,0,3,2,1,,
20260717_高知_5R,20260717,高知,5,7,015516,木村 皆斗,茨 城,24,119,S1,S1,逃,,108.94,41.0,58.0,64.0,13,6,1,0,20,22,6,,
20260717_高知_5R,20260717,高知,5,8,014852,徳永 哲人,熊 本,44,100,S2,S1,両,,103.33,9.0,19.0,29.0,0,0,5,1,0,0,5,,
20260717_高知_5R,20260717,高知,5,9,014524,松谷 秀幸,神奈川,43,96,S1,S1,追,,112.26,32.0,38.0,51.0,0,0,11,1,0,0,5,,
20260717_高知_6R,20260717,高知,6,1,014484,河端 朋之,岡 山,41,95,S1,S1,逃,,110.39,29.0,47.0,55.0,3,8,4,1,8,5,8,,
20260717_高知_6R,20260717,高知,6,2,014860,吉澤 純平,茨 城,41,101,S1,S1,両,,109.63,33.0,47.0,52.0,0,1,7,2,0,0,5,,
20260717_高知_6R,20260717,高知,6,3,014054,新田 祐大,福 島,40,90,S1,S1,両,,112.74,25.0,44.0,62.0,1,7,3,1,5,4,13,,
20260717_高知_6R,20260717,高知,6,4,015517,橋本 壮史,茨 城,31,119,S2,S2,逃,,105.45,9.0,32.0,51.0,8,2,0,0,19,21,5,,
20260717_高知_6R,20260717,高知,6,5,015731,西田 優大,広 島,28,123,S1,S1,逃,,109.95,13.0,36.0,50.0,4,4,0,0,11,12,6,,
20260717_高知_6R,20260717,高知,6,6,014730,中田 健太,埼 玉,36,99,S2,A1,追,,96.59,39.0,56.0,86.0,0,0,12,1,0,0,11,,
