race_key,date,jo_code,jo_name,race_no,car_no,player_id,player_name,prefecture,age,term,class,previous_class,style,average_score,win_rate,quinella_rate,trio_rate,escape_count,makuri_count,sashi_count,mark_count,back_count,home_count,start_count
20260815_松山_1R,20260815,75,松山,1,1,015038,山岸 佳太,茨 城,36,107,S1,S1,両,107.66,14.0,25.0,44.0,0,1,5,1,1,2,5
20260815_松山_1R,20260815,75,松山,1,2,015822,谷内 健太,京 都,26,125,S2,S2,逃,106.55,22.0,55.0,66.0,6,3,1,0,10,12,3
20260815_松山_1R,20260815,75,松山,1,3,015449,橋本 優己,岐 阜,26,117,S1,S2,逃,108.58,44.0,50.0,61.0,2,6,1,0,2,2,2
20260815_松山_1R,20260815,75,松山,1,4,015179,皿屋 豊,三 重,43,111,S1,S1,両,105.08,12.0,20.0,33.0,0,4,1,0,5,5,1
20260815_松山_1R,20260815,75,松山,1,5,014112,小川 勇介,福 岡,41,90,S1,S1,追,108.8,4.0,16.0,36.0,0,0,4,0,0,0,2
20260815_松山_1R,20260815,75,松山,1,6,015417,櫻井 祐太郎,宮 城,26,117,S1,S1,逃,104.57,11.0,26.0,26.0,6,1,0,0,10,14,7
20260815_松山_1R,20260815,75,松山,1,7,015243,小林 泰正,群 馬,31,113,S1,S1,逃,111.28,25.0,50.0,62.0,0,3,1,0,1,0,2
20260815_松山_1R,20260815,75,松山,1,8,014322,片岡 迪之,岡 山,39,93,S1,S1,両,104.85,3.0,7.0,35.0,0,0,1,1,0,0,8
20260815_松山_1R,20260815,75,松山,1,9,013821,中村 圭志,熊 本,45,86,S1,S1,追,107.08,15.0,30.0,46.0,0,0,6,2,0,0,3
20260815_松山_2R,20260815,75,松山,2,1,013656,渡部 哲男,愛 媛,46,84,S1,S1,追,106.03,25.0,35.0,53.0,0,1,7,2,0,0,2
20260815_松山_2R,20260815,75,松山,2,2,014210,和田 圭,宮 城,40,92,S1,S1,追,109.45,20.0,25.0,37.0,0,0,5,1,0,0,1
20260815_松山_2R,20260815,75,松山,2,3,015383,原井 博斗,福 岡,30,115,S1,S2,追,107.17,15.0,42.0,47.0,0,0,6,2,0,0,8
20260815_松山_2R,20260815,75,松山,2,4,015199,田尾 駿介,高 知,34,111,S1,S1,追,105.28,9.0,19.0,28.0,0,0,4,0,0,0,3
20260815_松山_2R,20260815,75,松山,2,5,014052,飯野 祐太,福 島,41,90,S2,S1,両,106.25,11.0,29.0,40.0,0,2,3,3,0,0,1
20260815_松山_2R,20260815,75,松山,2,6,015807,塩島 嵩一朗,神奈川,26,125,S1,S2,逃,100.36,23.0,34.0,46.0,5,4,0,0,12,10,3
20260815_松山_2R,20260815,75,松山,2,7,015518,吉田 有希,岐 阜,24,119,S1,S1,逃,106.82,4.0,26.0,34.0,5,0,1,0,8,12,1
20260815_松山_2R,20260815,75,松山,2,8,013815,井上 昌己,長 崎,47,86,S1,S1,追,104.8,14.0,19.0,33.0,0,0,3,1,0,0,4
20260815_松山_2R,20260815,75,松山,2,9,015272,中釜 章成,大 阪,29,113,S1,S1,逃,111.66,27.0,38.0,61.0,0,6,0,1,9,3,7
20260815_松山_3R,20260815,75,松山,3,1,014484,河端 朋之,岡 山,41,95,S1,S1,逃,110.97,25.0,45.0,60.0,2,8,5,1,8,7,8
20260815_松山_3R,20260815,75,松山,3,2,015868,市田 龍生都,福 井,24,127,S2,S2,逃,108.05,41.0,52.0,64.0,8,1,0,0,13,13,1
20260815_松山_3R,20260815,75,松山,3,3,015235,嵯峨 昇喜郎,青 森,27,113,S1,S1,両,109.76,18.0,48.0,62.0,2,7,3,1,5,4,0
20260815_松山_3R,20260815,75,松山,3,4,014930,杉森 輝大,茨 城,43,103,S1,S1,追,106.81,7.0,18.0,37.0,0,2,2,1,0,0,4
20260815_松山_3R,20260815,75,松山,3,5,013963,柏野 智典,岡 山,48,88,S1,S1,追,111.13,15.0,33.0,54.0,0,0,8,3,0,0,2
