race_key,date,jo_code,jo_name,race_no,car_no,player_id,player_name,prefecture,age,term,class,previous_class,style,average_score,win_rate,quinella_rate,trio_rate,escape_count,makuri_count,sashi_count,mark_count,back_count,home_count,start_count
20260727_豊橋_1R,20260727,45,豊橋,1,1,015201,門田 凌,愛 媛,32,111,S2,A1,両,92.13,30.0,50.0,60.0,1,6,7,1,0,1,3
20260727_豊橋_1R,20260727,45,豊橋,1,2,015615,荒川 仁,千 葉,28,121,S2,A1,逃,91.9,15.0,30.0,45.0,4,2,0,0,8,5,1
20260727_豊橋_1R,20260727,45,豊橋,1,3,015723,稲毛 知也,和歌山,28,123,S2,A1,逃,91.88,37.0,44.0,51.0,2,10,0,0,11,7,10
20260727_豊橋_1R,20260727,45,豊橋,1,4,014313,小谷 実,京 都,39,93,S2,S2,追,94.9,6.0,9.0,15.0,0,0,2,1,0,0,11
20260727_豊橋_1R,20260727,45,豊橋,1,5,014582,平原 啓多,埼 玉,41,97,S2,S2,追,96.94,0.0,7.0,23.0,0,0,1,2,0,0,0
20260727_豊橋_1R,20260727,45,豊橋,1,6,015127,野村 典嗣,愛 媛,36,109,S2,A1,追,89.7,6.0,26.0,36.0,0,1,4,3,0,0,3
20260727_豊橋_1R,20260727,45,豊橋,1,7,012533,澤田 義和,兵 庫,53,69,S2,S2,追,97.11,11.0,22.0,33.0,0,0,2,0,0,0,1
20260727_豊橋_2R,20260727,45,豊橋,2,1,014292,丸山 直樹,埼 玉,40,93,S2,A1,追,93.33,22.0,38.0,50.0,0,1,5,1,0,0,5
20260727_豊橋_2R,20260727,45,豊橋,2,2,014248,吉川 起也,富 山,43,92,S2,A1,両,94.12,37.0,58.0,75.0,1,8,4,1,3,1,5
20260727_豊橋_2R,20260727,45,豊橋,2,3,012478,加倉 正義,福 岡,55,68,S2,S2,追,92.25,0.0,0.0,12.0,0,0,0,0,0,0,0
20260727_豊橋_2R,20260727,45,豊橋,2,4,014221,古川 尚耶,栃 木,40,92,S2,S2,追,99.0,5.0,23.0,28.0,0,0,4,5,0,0,1
20260727_豊橋_2R,20260727,45,豊橋,2,5,014177,小堺 浩二,石 川,43,91,S2,S2,両,101.28,18.0,20.0,44.0,0,4,4,1,2,2,6
20260727_豊橋_2R,20260727,45,豊橋,2,6,012688,佐藤 成人,奈 良,52,71,S2,A1,追,92.0,7.0,28.0,35.0,0,0,2,2,0,0,0
20260727_豊橋_2R,20260727,45,豊橋,2,7,015333,高橋 晋也,福 島,31,115,S2,S1,逃,99.45,8.0,21.0,34.0,1,2,1,1,5,5,3
