race_key,date,jo_code,jo_name,race_no,car_no,player_id,player_name,prefecture,age,term,class,previous_class,style,average_score,win_rate,quinella_rate,trio_rate,escape_count,makuri_count,sashi_count,mark_count,back_count,home_count,start_count
20260909_いわき平_1R,20260909,13,いわき平,1,1,014341,松尾 玄太,佐 賀,41,93,A1,A1,両,83.47,14.0,19.0,28.0,0,0,4,0,0,0,1
20260909_いわき平_1R,20260909,13,いわき平,1,2,015114,谷口 友真,大 阪,37,109,A1,A1,逃,88.33,12.0,32.0,40.0,3,0,4,1,1,4,3
20260909_いわき平_1R,20260909,13,いわき平,1,3,014240,須藤 誠,千 葉,41,92,A2,A1,追,82.07,0.0,11.0,33.0,0,0,2,1,0,0,3
20260909_いわき平_1R,20260909,13,いわき平,1,4,014412,宮崎 康司,香 川,38,94,A2,A2,両,81.33,14.0,23.0,23.0,0,1,4,0,0,0,0
20260909_いわき平_1R,20260909,13,いわき平,1,5,015563,久保 光司,佐 賀,29,119,A2,A2,逃,81.1,0.0,10.0,31.0,1,0,1,0,6,10,4
20260909_いわき平_1R,20260909,13,いわき平,1,6,014713,鈴木 裕斗,宮 城,35,99,A2,A3,両,73.0,4.0,8.0,20.0,1,0,0,1,2,3,6
20260909_いわき平_1R,20260909,13,いわき平,1,7,014676,柳原 司,大 阪,41,98,A2,A2,両,85.7,11.0,22.0,40.0,0,0,3,3,0,0,1
20260909_いわき平_2R,20260909,13,いわき平,2,1,013263,田中 雅史,愛 知,49,79,A2,A1,追,82.96,14.0,25.0,29.0,0,0,4,3,0,1,4
20260909_いわき平_2R,20260909,13,いわき平,2,2,013371,足達 重満,長 崎,51,80,A2,A3,追,80.22,10.0,47.0,63.0,0,0,5,4,0,0,3
20260909_いわき平_2R,20260909,13,いわき平,2,3,012757,市本 隆司,広 島,55,72,A2,A2,両,89.3,23.0,28.0,47.0,0,0,6,0,0,0,4
20260909_いわき平_2R,20260909,13,いわき平,2,4,014749,山田 哲也,愛 知,44,99,A2,A2,追,82.74,18.0,29.0,37.0,0,2,5,1,0,0,4
20260909_いわき平_2R,20260909,13,いわき平,2,5,015906,林 佳宗依,富 山,25,127,A2,A3,逃,79.33,20.0,33.0,41.0,4,3,1,0,11,12,7
20260909_いわき平_2R,20260909,13,いわき平,2,6,013468,勝俣 亮,神奈川,48,82,A2,A2,両,79.16,8.0,12.0,20.0,3,0,0,0,4,6,0
20260909_いわき平_2R,20260909,13,いわき平,2,7,015277,高井 流星,岡 山,31,113,A2,A1,逃,89.25,20.0,58.0,62.0,8,4,2,0,11,11,2
20260909_いわき平_3R,20260909,13,いわき平,3,1,014403,櫻井 太士,岡 山,42,94,A1,A1,追,86.44,10.0,26.0,36.0,0,0,3,2,0,0,2
20260909_いわき平_3R,20260909,13,いわき平,3,2,015446,林 敬宏,愛 知,34,117,A1,S2,逃,92.48,11.0,25.0,37.0,5,2,0,0,9,11,4
20260909_いわき平_3R,20260909,13,いわき平,3,3,015560,林 昴,福 岡,25,119,A1,A1,逃,87.0,5.0,44.0,50.0,7,0,1,0,11,11,4
20260909_いわき平_3R,20260909,13,いわき平,3,4,013485,善利 裕生,滋 賀,49,82,A2,A1,両,83.83,20.0,29.0,45.0,1,5,1,0,4,3,0
20260909_いわき平_3R,20260909,13,いわき平,3,5,015200,谷口 幸司,高 知,32,111,A2,A1,追,84.25,15.0,25.0,35.0,0,0,4,1,0,0,2
20260909_いわき平_3R,20260909,13,いわき平,3,6,012940,小室 貴広,茨 城,52,75,A2,A2,追,82.5,0.0,10.0,32.0,0,0,2,1,0,0,0
20260909_いわき平_3R,20260909,13,いわき平,3,7,014035,伊藤 大彦,徳 島,43,89,A1,A1,追,88.17,17.0,34.0,56.0,0,0,6,2,0,0,1
20260909_いわき平_4R,20260909,13,いわき平,4,1,014061,塚本 和宏,栃 木,43,90,A2,A1,追,87.33,0.0,16.0,50.0,0,0,1,0,0,0,0
20260909_いわき平_4R,20260909,13,いわき平,4,2,015931,山口 留稀哉,長 崎,23,127,A2,A2,逃,87.54,50.0,68.0,77.0,7,6,2,0,9,9,11
20260909_いわき平_4R,20260909,13,いわき平,4,3,015330,伊藤 奎,福 島,27,115,A1,A1,追,84.88,18.0,33.0,37.0,1,0,5,3,1,0,4
20260909_いわき平_4R,20260909,13,いわき平,4,4,014669,植木 和広,神奈川,46,98,A1,A2,追,86.7,8.0,25.0,54.0,0,0,5,1,0,0,1
20260909_いわき平_4R,20260909,13,いわき平,4,5,013483,宮越 孝治,富 山,47,82,A1,S2,追,91.74,3.0,22.0,37.0,0,0,2,4,0,1,9
20260909_いわき平_4R,20260909,13,いわき平,4,6,013041,三浦 稔希,愛 知,50,76,A1,A1,追,84.34,4.0,25.0,33.0,0,0,3,3,0,0,5
20260909_いわき平_4R,20260909,13,いわき平,4,7,015872,池田 充槻,秋 田,20,127,A2,A3,逃,86.89,52.0,63.0,68.0,12,0,0,0,12,12,4
20260909_いわき平_5R,20260909,13,いわき平,5,1,015643,小川 将二郎,徳 島,24,121,S2,S2,逃,98.15,3.0,19.0,23.0,1,4,0,0,4,3,0
20260909_いわき平_5R,20260909,13,いわき平,5,2,013878,松岡 健介,兵 庫,48,87,S2,S2,両,96.57,3.0,15.0,19.0,0,0,4,0,0,0,1
20260909_いわき平_5R,20260909,13,いわき平,5,3,014394,不破 将登,岐 阜,38,94,S2,S2,両,100.67,17.0,32.0,39.0,0,1,6,2,0,0,3
20260909_いわき平_5R,20260909,13,いわき平,5,4,014017,大塚 玲,神奈川,45,89,S2,S1,追,98.43,4.0,17.0,30.0,0,0,3,1,0,0,2
20260909_いわき平_5R,20260909,13,いわき平,5,5,013495,友定 祐己,岡 山,47,82,S2,S2,追,103.17,17.0,28.0,39.0,0,0,5,3,0,0,8
20260909_いわき平_5R,20260909,13,いわき平,5,6,015113,酒井 拳蔵,大 阪,30,109,S2,A1,両,93.28,10.0,21.0,25.0,0,4,2,0,3,2,6
20260909_いわき平_5R,20260909,13,いわき平,5,7,013862,鈴木 伸之,愛 知,46,87,S2,S2,追,101.28,11.0,15.0,34.0,0,1,3,0,0,0,3
20260909_いわき平_6R,20260909,13,いわき平,6,1,014096,伊藤 成紀,大 阪,44,90,S2,S2,両,97.61,15.0,21.0,31.0,0,1,2,1,0,0,2
20260909_いわき平_6R,20260909,13,いわき平,6,2,013497,藤田 昌宏,岡 山,52,82,S2,A1,両,95.58,16.0,25.0,35.0,5,1,2,0,6,10,1
20260909_いわき平_6R,20260909,13,いわき平,6,3,012948,小林 潤二,群 馬,53,75,S2,S2,追,97.14,0.0,0.0,20.0,0,0,0,0,0,0,0
20260909_いわき平_6R,20260909,13,いわき平,6,4,015697,熊崎 麻人,埼 玉,26,123,S2,S2,逃,98.0,9.0,19.0,42.0,2,1,1,0,2,8,6
20260909_いわき平_6R,20260909,13,いわき平,6,5,014633,田中 陽平,熊 本,36,97,S2,S2,追,98.86,4.0,4.0,34.0,0,0,1,0,0,0,0
20260909_いわき平_6R,20260909,13,いわき平,6,6,013537,谷津田 将吾,福 島,46,83,S2,A1,追,93.68,4.0,9.0,13.0,0,0,2,0,0,0,1
20260909_いわき平_6R,20260909,13,いわき平,6,7,015117,野崎 将史,岡 山,39,109,S2,S2,両,98.25,8.0,16.0,29.0,0,0,3,1,0,0,1
20260909_いわき平_7R,20260909,13,いわき平,7,1,015610,永井 哉多,東 京,24,121,S2,A1,逃,95.68,28.0,40.0,44.0,4,6,0,0,10,10,0
20260909_いわき平_7R,20260909,13,いわき平,7,2,015450,長谷部 龍一,岐 阜,30,117,S2,S2,逃,96.1,15.0,15.0,15.0,0,2,1,0,4,4,1
20260909_いわき平_7R,20260909,13,いわき平,7,3,013438,前反 祐一郎,広 島,52,81,S2,A1,追,94.39,4.0,8.0,26.0,0,0,1,1,0,0,4
20260909_いわき平_7R,20260909,13,いわき平,7,4,014750,今藤 康裕,岐 阜,41,99,S2,A1,追,95.5,7.0,15.0,38.0,0,0,1,1,0,0,3
20260909_いわき平_7R,20260909,13,いわき平,7,5,014134,小野 大介,福 島,42,91,S2,S2,追,98.2,4.0,12.0,29.0,0,0,1,2,0,0,0
20260909_いわき平_7R,20260909,13,いわき平,7,6,014481,徳丸 泰教,兵 庫,40,95,S2,A1,追,93.76,6.0,13.0,16.0,0,0,2,2,0,0,0
20260909_いわき平_7R,20260909,13,いわき平,7,7,013912,金成 和幸,福 島,47,88,S2,S2,追,97.56,3.0,6.0,15.0,0,0,2,0,0,0,1
20260909_いわき平_8R,20260909,13,いわき平,8,1,014757,藤井 昭吾,滋 賀,40,99,S1,S2,両,102.56,6.0,20.0,43.0,0,4,1,1,3,5,1
20260909_いわき平_8R,20260909,13,いわき平,8,2,014580,久木原 洋,埼 玉,42,97,S1,S1,追,100.3,9.0,28.0,33.0,0,1,1,4,1,1,1
20260909_いわき平_8R,20260909,13,いわき平,8,3,015328,星野 洋輝,福 島,26,115,S1,S2,追,104.88,12.0,20.0,44.0,0,2,2,1,0,0,4
20260909_いわき平_8R,20260909,13,いわき平,8,4,015794,福田 稔希,栃 木,23,125,S2,S2,逃,104.05,26.0,47.0,52.0,3,3,2,1,9,9,1
20260909_いわき平_8R,20260909,13,いわき平,8,5,015235,嵯峨 昇喜郎,青 森,27,113,S1,S1,両,109.66,16.0,36.0,52.0,1,5,2,1,3,2,0
20260909_いわき平_8R,20260909,13,いわき平,8,6,015842,松本 定,福 岡,30,125,S2,A1,逃,96.05,61.0,66.0,71.0,5,8,1,0,12,8,3
20260909_いわき平_8R,20260909,13,いわき平,8,7,014677,角 令央奈,福 岡,39,98,S2,S2,両,102.78,17.0,26.0,39.0,0,1,4,1,0,0,3
20260909_いわき平_9R,20260909,13,いわき平,9,1,015807,塩島 嵩一朗,神奈川,26,125,S1,S2,逃,101.16,19.0,29.0,38.0,5,3,1,0,12,13,2
20260909_いわき平_9R,20260909,13,いわき平,9,2,014105,阿竹 智史,徳 島,44,90,S1,S1,両,106.5,20.0,20.0,20.0,0,0,1,0,1,1,1
20260909_いわき平_9R,20260909,13,いわき平,9,3,014222,木暮 安由,群 馬,41,92,S2,A1,追,100.84,15.0,31.0,42.0,0,0,5,1,0,0,0
20260909_いわき平_9R,20260909,13,いわき平,9,4,015246,黒沢 征治,埼 玉,34,113,S2,S1,両,103.71,19.0,28.0,38.0,1,3,1,1,1,4,3
20260909_いわき平_9R,20260909,13,いわき平,9,5,014641,箱田 優樹,青 森,35,98,S2,S2,追,102.73,7.0,15.0,34.0,0,0,2,2,0,0,0
20260909_いわき平_9R,20260909,13,いわき平,9,6,014337,佐々木 翔一,佐 賀,39,93,S2,S2,追,97.66,14.0,18.0,29.0,0,0,5,0,0,0,2
20260909_いわき平_9R,20260909,13,いわき平,9,7,015731,西田 優大,広 島,28,123,S1,S1,逃,110.69,16.0,33.0,50.0,2,4,2,0,6,10,5
20260909_いわき平_10R,20260909,13,いわき平,10,1,013815,井上 昌己,長 崎,47,86,S1,S1,追,104.13,9.0,13.0,27.0,0,0,2,1,0,0,1
20260909_いわき平_10R,20260909,13,いわき平,10,2,014212,山崎 将幸,宮 城,39,92,S2,S2,追,101.0,15.0,19.0,38.0,0,0,4,1,0,0,7
20260909_いわき平_10R,20260909,13,いわき平,10,3,015616,齋藤 雄行,神奈川,31,121,S2,A1,逃,96.16,5.0,22.0,50.0,3,0,0,1,9,8,1
20260909_いわき平_10R,20260909,13,いわき平,10,4,015211,平尾 一晃,長 崎,30,111,S2,S2,逃,101.31,41.0,48.0,58.0,1,12,0,1,3,4,12
20260909_いわき平_10R,20260909,13,いわき平,10,5,015322,磯島 成介,青 森,27,115,S2,S2,逃,104.27,20.0,44.0,51.0,5,5,3,0,11,9,0
20260909_いわき平_10R,20260909,13,いわき平,10,6,014825,稲葉 一真,静 岡,36,100,S2,A1,追,94.51,7.0,18.0,33.0,0,0,4,1,0,0,3
20260909_いわき平_10R,20260909,13,いわき平,10,7,014045,吉本 卓仁,福 岡,42,89,S1,S1,両,102.13,10.0,34.0,41.0,0,1,5,4,0,0,6
20260909_いわき平_11R,20260909,13,いわき平,11,1,014130,竹山 陵太,宮 城,41,91,A1,S2,追,96.21,25.0,39.0,53.0,0,1,9,1,0,0,9
20260909_いわき平_11R,20260909,13,いわき平,11,2,014139,小田倉 勇二,埼 玉,42,91,A1,A1,両,93.89,25.0,45.0,65.0,0,3,5,1,0,0,1
20260909_いわき平_11R,20260909,13,いわき平,11,3,015120,竹内 翼,広 島,35,109,A1,S2,逃,96.72,50.0,54.0,63.0,6,6,0,0,13,7,0
20260909_いわき平_11R,20260909,13,いわき平,11,4,014822,関根 健太郎,神奈川,35,100,A1,A1,両,90.09,17.0,43.0,56.0,2,0,5,3,5,4,8
20260909_いわき平_11R,20260909,13,いわき平,11,5,015015,野口 大誠,熊 本,37,105,A1,A1,両,90.13,26.0,46.0,46.0,0,0,6,1,0,0,1
20260909_いわき平_11R,20260909,13,いわき平,11,6,015233,渋谷 海,香 川,29,113,A1,A1,逃,84.6,26.0,40.0,46.0,1,5,0,0,5,2,2
20260909_いわき平_11R,20260909,13,いわき平,11,7,015346,鈴木 薫,東 京,27,115,A1,S2,逃,96.66,40.0,60.0,66.0,2,4,2,1,3,2,5
20260909_いわき平_12R,20260909,13,いわき平,12,1,014794,阿部 力也,宮 城,38,100,S1,S1,追,112.54,9.0,27.0,54.0,0,0,3,3,0,0,1
20260909_いわき平_12R,20260909,13,いわき平,12,2,015436,青野 将大,神奈川,32,117,S1,S1,逃,108.86,28.0,48.0,48.0,4,5,3,0,7,8,0
20260909_いわき平_12R,20260909,13,いわき平,12,3,012596,志智 俊夫,岐 阜,54,70,S1,S1,追,107.13,18.0,36.0,45.0,0,0,4,4,0,0,3
20260909_いわき平_12R,20260909,13,いわき平,12,4,014860,吉澤 純平,茨 城,41,101,S1,S1,両,109.05,10.0,25.0,25.0,0,0,3,2,0,0,4
20260909_いわき平_12R,20260909,13,いわき平,12,5,015343,佐々木 悠葵,群 馬,31,115,S1,S1,両,113.8,30.0,40.0,50.0,1,4,3,0,2,2,7
20260909_いわき平_12R,20260909,13,いわき平,12,6,015476,緒方 将樹,熊 本,27,117,S1,S2,逃,103.65,20.0,31.0,44.0,1,5,2,1,5,1,8
20260909_いわき平_12R,20260909,13,いわき平,12,7,015354,齋木 翔多,静 岡,27,115,S2,S2,逃,106.36,22.0,27.0,45.0,1,4,1,0,5,5,2
20260909_大垣_1R,20260909,44,大垣,1,1,014078,植草 亮介,千 葉,42,90,A1,A1,追,86.23,21.0,35.0,50.0,0,0,3,2,0,0,1
20260909_大垣_1R,20260909,44,大垣,1,2,013494,土井 勲,岡 山,52,82,A2,A2,追,80.94,10.0,10.0,31.0,0,0,2,0,0,0,0
20260909_大垣_1R,20260909,44,大垣,1,3,015813,山本 和虎,愛 知,23,125,A2,A2,逃,82.85,9.0,33.0,47.0,6,1,0,0,12,14,17
20260909_大垣_1R,20260909,44,大垣,1,4,015506,佐藤 啓斗,青 森,29,119,A2,A2,逃,79.29,7.0,11.0,22.0,0,3,0,0,10,11,0
20260909_大垣_1R,20260909,44,大垣,1,5,014195,田中 孝法,福 岡,44,91,A2,A3,追,79.68,0.0,6.0,18.0,0,0,0,1,0,0,1
20260909_大垣_1R,20260909,44,大垣,1,6,015284,田村 裕也,徳 島,30,113,A2,A3,逃,72.47,0.0,4.0,4.0,1,0,0,0,3,7,1
20260909_大垣_1R,20260909,44,大垣,1,7,013792,辰己 豊,奈 良,48,86,A1,A2,追,84.61,0.0,23.0,47.0,0,1,1,3,0,0,0
20260909_大垣_2R,20260909,44,大垣,2,1,015743,丸林 駿太,福 岡,24,123,A2,A3,逃,77.0,22.0,33.0,38.0,4,2,0,0,13,13,0
20260909_大垣_2R,20260909,44,大垣,2,2,013953,坂元 洋行,三 重,47,88,A2,A2,追,81.61,4.0,14.0,28.0,0,0,3,0,0,0,4
20260909_大垣_2R,20260909,44,大垣,2,3,013857,浅沼 聖士,静 岡,45,87,A2,A2,追,82.78,0.0,7.0,28.0,0,0,2,0,0,1,6
20260909_大垣_2R,20260909,44,大垣,2,4,015462,溝口 葵,三 重,33,117,A1,A1,逃,88.92,14.0,44.0,55.0,8,1,1,2,20,18,10
20260909_大垣_2R,20260909,44,大垣,2,5,015214,境 啓亨,熊 本,34,111,A2,A2,逃,82.42,0.0,14.0,33.0,1,0,1,1,1,0,0
20260909_大垣_2R,20260909,44,大垣,2,6,015112,日浦 崇道,和歌山,35,109,A2,A3,逃,72.95,4.0,19.0,28.0,4,0,0,0,4,9,1
20260909_大垣_2R,20260909,44,大垣,2,7,013142,黒田 大介,愛 媛,52,77,A2,A2,追,79.62,0.0,0.0,13.0,0,0,0,0,0,0,0
