race_key,date,jo_code,jo_name,race_no,car_no,player_id,player_name,prefecture,age,term,class,previous_class,style,average_score,win_rate,quinella_rate,trio_rate,escape_count,makuri_count,sashi_count,mark_count,back_count,home_count,start_count
20260917_防府_1R,20260917,63,防府,1,1,013075,平 総一,熊 本,55,76,A2,A2,追,84.4,0.0,13.0,43.0,0,0,3,1,0,0,0
20260917_防府_1R,20260917,63,防府,1,2,013729,堺 文人,和歌山,47,85,A2,A2,追,81.77,3.0,7.0,29.0,0,0,1,1,0,0,2
20260917_防府_1R,20260917,63,防府,1,3,015011,吉岡 伸太郎,愛 媛,33,105,A2,A2,逃,80.88,11.0,11.0,33.0,0,1,0,0,2,3,0
20260917_防府_1R,20260917,63,防府,1,4,013951,永井 清史,岐 阜,43,88,A2,A2,両,82.14,19.0,19.0,33.0,0,0,4,0,0,0,1
20260917_防府_1R,20260917,63,防府,1,5,013219,宮本 佳樹,香 川,53,78,A2,A2,追,78.0,0.0,0.0,5.0,0,0,0,0,0,0,0
20260917_防府_1R,20260917,63,防府,1,6,015012,勝部 貴博,福 岡,37,105,A2,A3,両,75.8,14.0,23.0,28.0,4,1,0,0,8,10,0
20260917_防府_1R,20260917,63,防府,1,7,012684,四宮 哲郎,京 都,53,71,A1,A2,追,82.23,4.0,9.0,23.0,0,0,1,1,0,0,0
20260917_防府_2R,20260917,63,防府,2,1,015924,利川 寛太,山 口,27,127,A2,A3,逃,78.58,12.0,41.0,50.0,8,1,0,1,18,21,6
20260917_防府_2R,20260917,63,防府,2,2,014056,橋本 紀彰,茨 城,46,90,A2,A2,追,83.6,7.0,19.0,34.0,0,0,3,2,0,0,2
20260917_防府_2R,20260917,63,防府,2,3,013595,別所 英幸,福 岡,46,83,A2,A3,追,78.0,0.0,0.0,7.0,0,0,0,0,0,0,2
20260917_防府_2R,20260917,63,防府,2,4,012128,山根 泰道,岡 山,57,64,A2,A2,追,81.08,0.0,8.0,20.0,0,0,1,1,0,0,1
20260917_防府_2R,20260917,63,防府,2,5,013811,池田 浩士,佐 賀,47,86,A2,A1,追,86.5,3.0,23.0,42.0,0,0,2,4,0,0,0
20260917_防府_2R,20260917,63,防府,2,6,011454,杉浦 康一,北海道,61,58,A2,A3,追,75.48,3.0,7.0,22.0,0,0,2,0,0,0,0
20260917_防府_2R,20260917,63,防府,2,7,014549,戸伏 康夫,岡 山,46,96,A1,A2,追,82.76,9.0,18.0,40.0,0,0,2,2,0,0,4
20260917_防府_3R,20260917,63,防府,3,1,015083,中村 弘之輔,北海道,34,109,A1,S2,両,92.23,7.0,22.0,25.0,2,0,3,1,7,8,4
20260917_防府_3R,20260917,63,防府,3,2,013942,大西 健士,神奈川,46,88,A2,A2,追,84.5,3.0,10.0,42.0,0,0,2,1,0,0,1
20260917_防府_3R,20260917,63,防府,3,3,015114,谷口 友真,大 阪,37,109,A1,A1,逃,87.51,10.0,32.0,42.0,3,1,4,1,1,4,3
20260917_防府_3R,20260917,63,防府,3,4,012283,富永 益生,愛 知,55,66,A1,A1,追,87.91,8.0,16.0,33.0,0,0,1,1,0,0,2
20260917_防府_3R,20260917,63,防府,3,5,014230,山田 義彦,埼 玉,40,92,A1,A1,両,87.12,4.0,33.0,50.0,0,1,3,4,1,0,2
20260917_防府_3R,20260917,63,防府,3,6,015895,鈴木 小次廊,静 岡,23,127,A2,A3,逃,80.76,9.0,38.0,52.0,4,2,0,2,7,7,13
20260917_防府_3R,20260917,63,防府,3,7,013916,白石 大輔,福 島,43,88,A1,A1,両,85.66,11.0,29.0,44.0,0,0,6,2,0,0,4
20260917_防府_4R,20260917,63,防府,4,1,015344,荒木 貴大,埼 玉,33,115,A1,A1,両,92.68,17.0,35.0,52.0,0,1,3,2,3,7,2
20260917_防府_4R,20260917,63,防府,4,2,015099,吉竹 尚城,静 岡,33,109,A1,A1,逃,89.43,40.0,50.0,60.0,5,8,2,0,9,11,1
20260917_防府_4R,20260917,63,防府,4,3,013435,中石 昌芳,広 島,51,81,A1,A1,追,89.16,12.0,41.0,70.0,0,0,3,7,0,0,0
20260917_防府_4R,20260917,63,防府,4,4,013273,西 徹,石 川,48,79,A2,A2,追,83.96,11.0,19.0,30.0,0,0,5,0,0,0,2
20260917_防府_4R,20260917,63,防府,4,5,014057,松田 優一,茨 城,41,90,A2,A2,追,87.52,19.0,38.0,53.0,0,0,10,0,0,0,3
20260917_防府_4R,20260917,63,防府,4,6,015293,中里 福太郎,北海道,31,113,A2,A2,逃,82.57,9.0,9.0,23.0,0,0,2,0,1,2,1
20260917_防府_4R,20260917,63,防府,4,7,014819,太刀川 一成,千 葉,46,100,A1,S2,追,92.18,6.0,25.0,43.0,0,2,2,4,0,0,12
20260917_防府_5R,20260917,63,防府,5,1,013443,大坪 功一,福 岡,49,81,S2,S1,追,97.46,7.0,18.0,22.0,0,0,3,2,0,0,1
20260917_防府_5R,20260917,63,防府,5,2,013240,小林 大介,群 馬,48,79,S2,S2,追,99.56,12.0,20.0,36.0,0,0,5,0,0,0,0
20260917_防府_5R,20260917,63,防府,5,3,014465,村上 直久,神奈川,45,95,S2,S2,両,98.93,15.0,27.0,27.0,4,4,1,0,11,12,0
20260917_防府_5R,20260917,63,防府,5,4,014017,大塚 玲,神奈川,45,89,S2,S1,追,97.88,3.0,15.0,26.0,0,0,3,1,0,0,2
20260917_防府_5R,20260917,63,防府,5,5,014232,柴田 洋輔,東 京,40,92,S2,S2,追,98.09,3.0,6.0,21.0,0,0,1,1,0,0,1
20260917_防府_5R,20260917,63,防府,5,6,013448,合志 正臣,熊 本,49,81,S2,S2,追,97.28,0.0,11.0,30.0,0,0,1,2,0,0,1
20260917_防府_5R,20260917,63,防府,5,7,012813,成清 貴之,千 葉,52,73,S2,S2,追,98.48,5.0,14.0,26.0,0,0,4,1,0,0,0
20260917_防府_6R,20260917,63,防府,6,1,014582,平原 啓多,埼 玉,41,97,S2,S2,追,97.09,9.0,19.0,25.0,0,1,3,2,0,0,1
20260917_防府_6R,20260917,63,防府,6,2,015366,張野 幸聖,和歌山,26,115,S2,A1,逃,95.42,22.0,22.0,27.0,1,3,1,0,5,7,1
20260917_防府_6R,20260917,63,防府,6,3,015733,都築 巧,高 知,26,123,S2,A1,両,99.0,12.0,31.0,37.0,0,0,4,1,0,0,3
20260917_防府_6R,20260917,63,防府,6,4,013878,松岡 健介,兵 庫,48,87,S2,S2,両,96.55,6.0,17.0,20.0,0,0,5,0,0,0,1
20260917_防府_6R,20260917,63,防府,6,5,014511,内藤 高裕,東 京,38,96,S2,S2,追,98.03,0.0,11.0,25.0,0,0,0,3,0,0,3
20260917_防府_6R,20260917,63,防府,6,6,013438,前反 祐一郎,広 島,52,81,S2,A1,追,94.5,3.0,7.0,23.0,0,0,1,1,0,0,5
20260917_防府_6R,20260917,63,防府,6,7,014435,伊藤 勝太,愛 知,38,95,S2,S2,追,96.5,0.0,20.0,20.0,0,0,1,0,0,0,0
20260917_防府_7R,20260917,63,防府,7,1,014134,小野 大介,福 島,42,91,S2,S2,追,98.07,3.0,14.0,33.0,0,0,2,2,0,0,0
20260917_防府_7R,20260917,63,防府,7,2,014394,不破 将登,岐 阜,38,94,S2,S2,両,100.09,16.0,29.0,35.0,0,1,6,2,0,0,4
20260917_防府_7R,20260917,63,防府,7,3,013618,櫻井 学,群 馬,46,84,S2,S2,両,99.45,12.0,27.0,33.0,0,1,6,2,1,1,1
20260917_防府_7R,20260917,63,防府,7,4,014286,関 貴之,茨 城,43,93,S2,S2,追,95.65,7.0,15.0,19.0,0,1,3,0,0,0,1
20260917_防府_7R,20260917,63,防府,7,5,013912,金成 和幸,福 島,47,88,S2,S2,追,97.63,3.0,9.0,18.0,0,0,3,0,0,0,1
20260917_防府_7R,20260917,63,防府,7,6,015610,永井 哉多,東 京,24,121,S2,A1,逃,95.53,28.0,39.0,42.0,5,6,0,0,12,12,0
20260917_防府_7R,20260917,63,防府,7,7,013862,鈴木 伸之,愛 知,46,87,S2,S2,追,100.85,10.0,17.0,34.0,0,1,3,1,0,0,3
20260917_防府_8R,20260917,63,防府,8,1,015195,久保田 泰弘,山 口,31,111,S2,S2,追,99.58,11.0,16.0,50.0,0,0,3,0,0,0,0
20260917_防府_8R,20260917,63,防府,8,2,013328,萩原 孝之,静 岡,49,80,S2,S2,追,101.5,13.0,21.0,39.0,0,0,3,2,0,0,2
20260917_防府_8R,20260917,63,防府,8,3,015656,甲斐 俊祐,大 分,28,121,S2,S2,逃,100.38,9.0,33.0,57.0,4,3,0,0,9,7,0
20260917_防府_8R,20260917,63,防府,8,4,014105,阿竹 智史,徳 島,44,90,S1,S1,両,103.85,12.0,12.0,25.0,0,0,1,0,1,1,2
20260917_防府_8R,20260917,63,防府,8,5,013744,菅原 晃,大 分,47,85,S2,S2,追,98.96,3.0,22.0,29.0,0,0,1,5,0,0,1
20260917_防府_8R,20260917,63,防府,8,6,014337,佐々木 翔一,佐 賀,39,93,S2,S2,追,97.93,13.0,16.0,33.0,0,0,5,0,0,0,2
20260917_防府_8R,20260917,63,防府,8,7,015836,遠藤 拓巳,香 川,26,125,S2,S2,逃,101.16,10.0,26.0,40.0,4,3,0,1,10,13,0
