レースキー,開催日,競輪場,レース番号,車番,登録番号,選手名,府県,年齢,期別,級班,前級班,脚質,ギヤ倍率,平均競走得点,勝率,２連対率,３連対率,逃げ,捲り,差し,マーク,バック,ホーム,スタート,誘導選手,status
20260715_函館_1R,20260715,函館,1,1,014102,篠塚 光一,兵 庫,46,90,A1,A2,追,,81.66,12.0,20.0,37.0,0,0,4,1,0,0,1,,
20260715_函館_1R,20260715,函館,1,2,014887,板崎 佑矢,愛 媛,38,101,A2,A1,両,,80.26,0.0,7.0,11.0,0,0,0,2,0,1,2,,
20260715_函館_1R,20260715,函館,1,3,014062,齋藤 昌弘,群 馬,44,90,A2,A3,追,,72.16,4.0,24.0,48.0,0,0,2,4,1,1,4,,
20260715_函館_1R,20260715,函館,1,4,015372,野上 竜太,岡 山,30,115,A2,A1,逃,,85.85,17.0,42.0,50.0,7,5,0,0,21,17,2,,
20260715_函館_1R,20260715,函館,1,5,015622,伊藤 温希,岐 阜,26,121,A2,A1,追,,85.0,8.0,16.0,33.0,0,0,2,0,0,0,2,,
20260715_函館_1R,20260715,函館,1,6,014351,田口 守,山 口,38,94,A2,A3,両,,65.72,8.0,25.0,25.0,1,0,1,1,1,0,0,,
20260715_函館_1R,20260715,函館,1,7,014075,松根 真,東 京,45,90,A2,A3,追,,71.7,4.0,37.0,45.0,0,0,2,7,1,1,0,,
20260715_函館_2R,20260715,函館,2,1,014444,星野 辰也,栃 木,40,95,A1,A1,追,,89.59,18.0,37.0,51.0,0,0,8,2,0,0,10,,
20260715_函館_2R,20260715,函館,2,2,014040,竹内 真一,福 岡,45,89,A2,A2,追,,79.88,3.0,3.0,22.0,0,0,1,0,0,0,3,,
20260715_函館_2R,20260715,函館,2,3,014703,一ノ瀬 貴将,大 阪,40,98,A2,A1,両,,80.12,0.0,12.0,31.0,0,0,1,1,0,0,0,,
20260715_函館_2R,20260715,函館,2,4,013307,浦川 尊明,茨 城,50,80,A1,A1,追,,91.0,19.0,42.0,65.0,0,0,8,3,0,0,2,,
20260715_函館_2R,20260715,函館,2,5,014783,魚屋 周成,大 分,35,99,A2,A1,逃,,84.15,7.0,23.0,30.0,1,0,1,1,4,5,1,,
20260715_函館_2R,20260715,函館,2,6,015156,門脇 翼,秋 田,33,111,A2,A2,逃,,77.79,0.0,8.0,8.0,0,1,0,1,1,1,1,,
20260715_函館_2R,20260715,函館,2,7,013896,安東 英博,大 分,45,87,A2,A1,追,,82.92,3.0,14.0,40.0,0,0,4,0,0,0,4,,
20260715_函館_3R,20260715,函館,3,1,014164,田中 孝彦,静 岡,39,91,A1,A1,追,,87.69,16.0,37.0,54.0,0,2,4,3,0,0,2,,
20260715_函館_3R,20260715,函館,3,2,015507,上遠野 拓馬,宮 城,32,119,A1,S2,逃,,92.06,3.0,9.0,16.0,1,2,0,0,9,9,11,,
20260715_函館_3R,20260715,函館,3,3,015632,常次 勇人,大 阪,24,121,A1,A1,逃,,93.7,44.0,70.0,77.0,13,5,1,0,19,17,3,,
20260715_函館_3R,20260715,函館,3,4,014796,保科 千春,宮 城,34,100,A1,S1,追,,95.66,0.0,12.0,28.0,0,0,0,4,0,0,4,,
20260715_函館_3R,20260715,函館,3,5,015805,山下 祐輔,千 葉,24,125,A1,A2,逃,,88.09,23.0,57.0,66.0,8,3,0,1,10,8,4,,
20260715_函館_3R,20260715,函館,3,6,015505,荻原 寿嗣,北海道,32,119,A1,A2,逃,,82.52,23.0,38.0,38.0,5,2,1,0,11,14,2,,
20260715_函館_3R,20260715,函館,3,7,014748,山口 智弘,愛 知,36,99,A1,A1,追,,89.66,29.0,41.0,58.0,0,0,9,1,0,0,4,,
20260715_函館_4R,20260715,函館,4,1,015083,中村 弘之輔,北海道,34,109,A1,S2,両,,93.64,0.0,6.0,20.0,0,0,2,0,4,2,10,,
20260715_函館_4R,20260715,函館,4,2,014304,大竹 哲也,静 岡,46,93,A2,A1,追,,86.68,10.0,30.0,45.0,0,0,2,4,0,0,3,,
20260715_函館_4R,20260715,函館,4,3,012519,藤原 誠,岐 阜,54,69,A1,S2,追,,95.4,12.0,21.0,34.0,0,0,5,2,0,0,6,,
20260715_函館_4R,20260715,函館,4,4,015919,藤田 楓,岡 山,23,127,A2,A2,逃,,94.0,70.0,81.0,85.0,16,6,0,0,21,15,1,,
20260715_函館_4R,20260715,函館,4,5,015888,水澤 秀哉,千 葉,22,127,A2,A3,逃,,79.66,75.0,75.0,87.0,16,2,0,0,18,20,19,,
20260715_函館_4R,20260715,函館,4,6,015899,加藤 駿,愛 知,28,127,A2,A3,逃,,78.19,33.0,55.0,77.0,10,4,1,0,16,12,8,,
20260715_函館_4R,20260715,函館,4,7,015293,中里 福太郎,北海道,30,113,A2,A2,逃,,82.66,13.0,26.0,26.0,0,0,3,1,2,3,0,,
20260715_函館_5R,20260715,函館,5,1,014194,桑原 亮,福 岡,41,91,A1,S2,追,,94.77,2.0,11.0,20.0,0,1,2,1,0,0,0,,
20260715_函館_5R,20260715,函館,5,2,015611,長谷川 飛向,東 京,29,121,A1,A1,逃,,90.33,33.0,58.0,70.0,5,8,1,0,17,12,7,,
20260715_函館_5R,20260715,函館,5,3,015640,矢部 駿人,岡 山,27,121,A1,A1,逃,,92.54,16.0,37.0,66.0,5,1,1,2,14,15,0,,
20260715_函館_5R,20260715,函館,5,4,015655,一丸 尚伍,大 分,34,121,A1,S2,逃,,106.81,37.0,68.0,75.0,7,3,1,0,10,10,3,,
20260715_函館_5R,20260715,函館,5,5,013560,小佐野 文秀,山 梨,50,83,A2,A1,追,,86.85,22.0,22.0,40.0,0,0,6,0,0,0,14,,
20260715_函館_5R,20260715,函館,5,6,012760,櫻井 宏智,広 島,56,72,A2,A2,追,,85.11,15.0,26.0,46.0,0,0,7,0,0,0,2,,
20260715_函館_5R,20260715,函館,5,7,014235,鈴木 庸之,新 潟,40,92,A1,A1,両,,92.66,16.0,33.0,41.0,0,0,3,1,0,0,2,,
20260715_函館_6R,20260715,函館,6,1,015755,神戸 暖稀羽,北海道,22,124,L1,L1,両,,51.27,4.0,22.0,50.0,0,2,0,3,3,2,4,,
20260715_函館_6R,20260715,函館,6,2,015950,石田 春海,大 阪,27,128,L1,L1,両,,48.12,4.0,16.0,25.0,0,0,2,2,0,2,0,,
20260715_函館_6R,20260715,函館,6,3,016030,川上 いちご,千 葉,27,130,L1,L1,両,,55.41,91.0,91.0,91.0,4,7,0,0,10,2,0,,
20260715_函館_6R,20260715,函館,6,4,015591,松本 ちひろ,山 口,31,120,L1,L1,両,,47.54,0.0,0.0,12.0,0,0,0,0,0,0,0,,
20260715_函館_6R,20260715,函館,6,5,015146,齊藤 由紀,愛 知,40,110,L1,L1,両,,44.33,0.0,0.0,0.0,0,0,0,0,0,1,0,,
