race_key,date,jo_code,jo_name,event_name,grade,race_no,track_length,straight_length,bank_angle,race_type,session,weather,wind_speed
20260901_いわき平_1R,20260901,13,いわき平,ＣＴＣなら３分前まで買える杯,F2,1,400,62.7,32.9125,Ａ級チ一般,ミッドナイト,雨,0.0
20260901_いわき平_2R,20260901,13,いわき平,ＣＴＣなら３分前まで買える杯,F2,2,400,62.7,32.9125,Ａ級チ一般,ミッドナイト,雨,0.0
20260901_いわき平_3R,20260901,13,いわき平,ＣＴＣなら３分前まで買える杯,F2,3,400,62.7,32.9125,Ａ級チ一般,ミッドナイト,雨,0.0
20260901_いわき平_4R,20260901,13,いわき平,ＣＴＣなら３分前まで買える杯,F2,4,400,62.7,32.9125,Ａ級チ選抜,ミッドナイト,曇,0.0
20260901_いわき平_5R,20260901,13,いわき平,ＣＴＣなら３分前まで買える杯,F2,5,400,62.7,32.9125,Ａ級チ選抜,ミッドナイト,曇,1.0
20260901_いわき平_6R,20260901,13,いわき平,ＣＴＣなら３分前まで買える杯,F2,6,400,62.7,32.9125,Ａ級チ選抜,ミッドナイト,曇,1.0
20260901_いわき平_7R,20260901,13,いわき平,ＣＴＣなら３分前まで買える杯,F2,7,400,62.7,32.9125,Ａ級チ決勝,ミッドナイト,雨,1.0
20260901_宇都宮_1R,20260901,24,宇都宮,報知新聞社杯,F1,1,500,63.3,25.7956,Ａ級一般,ナイター,曇,1.0
20260901_宇都宮_2R,20260901,24,宇都宮,報知新聞社杯,F1,2,500,63.3,25.7956,Ａ級一般,ナイター,曇,1.0
20260901_宇都宮_3R,20260901,24,宇都宮,報知新聞社杯,F1,3,500,63.3,25.7956,Ａ級準決勝,ナイター,曇,0.0
20260901_宇都宮_4R,20260901,24,宇都宮,報知新聞社杯,F1,4,500,63.3,25.7956,Ａ級準決勝,ナイター,曇,1.0
20260901_宇都宮_5R,20260901,24,宇都宮,報知新聞社杯,F1,5,500,63.3,25.7956,Ａ級準決勝,ナイター,曇,1.0
20260901_宇都宮_6R,20260901,24,宇都宮,報知新聞社杯,F1,6,500,63.3,25.7956,Ｓ級一般,ナイター,曇,1.0
20260901_宇都宮_7R,20260901,24,宇都宮,報知新聞社杯,F1,7,500,63.3,25.7956,Ｓ級一般,ナイター,曇,0.0
20260901_宇都宮_8R,20260901,24,宇都宮,報知新聞社杯,F1,8,500,63.3,25.7956,Ｓ級選抜,ナイター,曇,0.0
20260901_宇都宮_9R,20260901,24,宇都宮,報知新聞社杯,F1,9,500,63.3,25.7956,Ｓ級選抜,ナイター,曇,0.0
20260901_宇都宮_10R,20260901,24,宇都宮,報知新聞社杯,F1,10,500,63.3,25.7956,Ｓ級準決勝,ナイター,曇,1.0
20260901_宇都宮_11R,20260901,24,宇都宮,報知新聞社杯,F1,11,500,63.3,25.7956,Ｓ級準決勝,ナイター,曇,0.0
20260901_宇都宮_12R,20260901,24,宇都宮,報知新聞社杯,F1,12,500,63.3,25.7956,Ｓ級準決勝,ナイター,曇,1.0
20260901_西武園_1R,20260901,26,西武園,チャリロト杯,F2,1,400,47.6,29.4483,Ａ級チ一般,デイ,曇,0.5
20260901_西武園_2R,20260901,26,西武園,チャリロト杯,F2,2,400,47.6,29.4483,Ａ級チ一般,デイ,曇,0.5
