race_key,date,jo_code,jo_name,event_name,grade,race_no,track_length,straight_length,bank_angle,race_type,session,weather,wind_speed
20260826_青森_1R,20260826,12,青森,前検日コメならウィンチケット杯,F2,1,400,58.9,32.2519,Ａ級チ一般,ミッドナイト,曇,1.0
20260826_青森_2R,20260826,12,青森,前検日コメならウィンチケット杯,F2,2,400,58.9,32.2519,Ａ級チ一般,ミッドナイト,曇,1.0
20260826_青森_3R,20260826,12,青森,前検日コメならウィンチケット杯,F2,3,400,58.9,32.2519,Ａ級チ一般,ミッドナイト,曇,1.0
20260826_青森_4R,20260826,12,青森,前検日コメならウィンチケット杯,F2,4,400,58.9,32.2519,Ａ級チ選抜,ミッドナイト,曇,1.0
20260826_青森_5R,20260826,12,青森,前検日コメならウィンチケット杯,F2,5,400,58.9,32.2519,Ａ級チ選抜,ミッドナイト,曇,1.0
20260826_青森_6R,20260826,12,青森,前検日コメならウィンチケット杯,F2,6,400,58.9,32.2519,Ａ級チ選抜,ミッドナイト,曇,1.0
20260826_青森_7R,20260826,12,青森,前検日コメならウィンチケット杯,F2,7,400,58.9,32.2519,Ａ級チ決勝,ミッドナイト,曇,1.0
20260826_宇都宮_1R,20260826,24,宇都宮,オッズパーク杯,F2,1,500,63.3,25.7956,Ａ級チ一般,ミッドナイト,曇,1.0
20260826_宇都宮_2R,20260826,24,宇都宮,オッズパーク杯,F2,2,500,63.3,25.7956,Ａ級チ一般,ミッドナイト,雨,1.0
20260826_宇都宮_3R,20260826,24,宇都宮,オッズパーク杯,F2,3,500,63.3,25.7956,Ａ級チ一般,ミッドナイト,曇,1.0
20260826_宇都宮_4R,20260826,24,宇都宮,オッズパーク杯,F2,4,500,63.3,25.7956,Ａ級チ選抜,ミッドナイト,曇,1.0
20260826_宇都宮_5R,20260826,24,宇都宮,オッズパーク杯,F2,5,500,63.3,25.7956,Ａ級チ選抜,ミッドナイト,雨,1.0
20260826_宇都宮_6R,20260826,24,宇都宮,オッズパーク杯,F2,6,500,63.3,25.7956,Ａ級チ選抜,ミッドナイト,曇,0.0
20260826_宇都宮_7R,20260826,24,宇都宮,オッズパーク杯,F2,7,500,63.3,25.7956,Ａ級チ決勝,ミッドナイト,曇,1.0
20260826_岐阜_1R,20260826,43,岐阜,ワールドシリーズ　スピチャン杯,F1,1,400,59.3,32.2519,Ａ級一般,デイ,晴,1.0
20260826_岐阜_2R,20260826,43,岐阜,ワールドシリーズ　スピチャン杯,F1,2,400,59.3,32.2519,Ａ級一般,デイ,晴,0.5
20260826_岐阜_3R,20260826,43,岐阜,ワールドシリーズ　スピチャン杯,F1,3,400,59.3,32.2519,Ａ級特選,デイ,晴,0.5
20260826_岐阜_4R,20260826,43,岐阜,ワールドシリーズ　スピチャン杯,F1,4,400,59.3,32.2519,Ａ級特選,デイ,晴,0.5
20260826_岐阜_5R,20260826,43,岐阜,ワールドシリーズ　スピチャン杯,F1,5,400,59.3,32.2519,Ｌ級ガ一般,デイ,晴,0.5
20260826_岐阜_6R,20260826,43,岐阜,ワールドシリーズ　スピチャン杯,F1,6,400,59.3,32.2519,Ｓ級一般,デイ,晴,0.5
20260826_岐阜_7R,20260826,43,岐阜,ワールドシリーズ　スピチャン杯,F1,7,400,59.3,32.2519,Ｓ級一般,デイ,晴,0.5
20260826_岐阜_8R,20260826,43,岐阜,ワールドシリーズ　スピチャン杯,F1,8,400,59.3,32.2519,Ｓ級特選,デイ,晴,1.0
20260826_岐阜_9R,20260826,43,岐阜,ワールドシリーズ　スピチャン杯,F1,9,400,59.3,32.2519,Ｓ級特選,デイ,曇,1.0
20260826_岐阜_10R,20260826,43,岐阜,ワールドシリーズ　スピチャン杯,F1,10,400,59.3,32.2519,Ａ級決勝,デイ,晴,1.0
20260826_岐阜_11R,20260826,43,岐阜,ワールドシリーズ　スピチャン杯,F1,11,400,59.3,32.2519,Ｌ級ガ決勝,デイ,晴,1.0
20260826_岐阜_12R,20260826,43,岐阜,ワールドシリーズ　スピチャン杯,F1,12,400,59.3,32.2519,Ｓ級決勝,デイ,晴,1.0
20260826_松阪_1R,20260826,47,松阪,茶重リーフティーＣｕｐ　ＷＴ杯,F2,1,400,61.5,34.4247,Ａ級チ一般,ナイター,雨,2.0
20260826_松阪_2R,20260826,47,松阪,茶重リーフティーＣｕｐ　ＷＴ杯,F2,2,400,61.5,34.4247,Ａ級チ一般,ナイター,雨,1.8
20260826_松阪_3R,20260826,47,松阪,茶重リーフティーＣｕｐ　ＷＴ杯,F2,3,400,61.5,34.4247,Ａ級チ準決,ナイター,雨,1.5
20260826_松阪_4R,20260826,47,松阪,茶重リーフティーＣｕｐ　ＷＴ杯,F2,4,400,61.5,34.4247,Ａ級チ準決,ナイター,雨,1.2
20260826_松阪_5R,20260826,47,松阪,茶重リーフティーＣｕｐ　ＷＴ杯,F2,5,400,61.5,34.4247,Ｌ級ガ予２,ナイター,曇,1.2
20260826_松阪_6R,20260826,47,松阪,茶重リーフティーＣｕｐ　ＷＴ杯,F2,6,400,61.5,34.4247,Ｌ級ガ予２,ナイター,曇,0.3
20260826_松阪_7R,20260826,47,松阪,茶重リーフティーＣｕｐ　ＷＴ杯,F2,7,400,61.5,34.4247,Ａ級特一般,ナイター,曇,0.5
20260826_松阪_8R,20260826,47,松阪,茶重リーフティーＣｕｐ　ＷＴ杯,F2,8,400,61.5,34.4247,Ａ級特一般,ナイター,曇,0.5
20260826_松阪_9R,20260826,47,松阪,茶重リーフティーＣｕｐ　ＷＴ杯,F2,9,400,61.5,34.4247,Ａ級準決勝,ナイター,曇,0.2
20260826_松阪_10R,20260826,47,松阪,茶重リーフティーＣｕｐ　ＷＴ杯,F2,10,400,61.5,34.4247,Ａ級準決勝,ナイター,曇,0.2
20260826_松阪_11R,20260826,47,松阪,茶重リーフティーＣｕｐ　ＷＴ杯,F2,11,400,61.5,34.4247,Ａ級準決勝,ナイター,曇,0.2
20260826_奈良_1R,20260826,53,奈良,松本勝明記念杯スピチャン杯,F1,1,333,38,33.4297,Ａ級予選,デイ,晴,1.0
20260826_奈良_2R,20260826,53,奈良,松本勝明記念杯スピチャン杯,F1,2,333,38,33.4297,Ａ級予選,デイ,晴,1.3
20260826_奈良_3R,20260826,53,奈良,松本勝明記念杯スピチャン杯,F1,3,333,38,33.4297,Ａ級予選,デイ,晴,1.2
20260826_奈良_4R,20260826,53,奈良,松本勝明記念杯スピチャン杯,F1,4,333,38,33.4297,Ａ級予選,デイ,晴,0.7
20260826_奈良_5R,20260826,53,奈良,松本勝明記念杯スピチャン杯,F1,5,333,38,33.4297,Ａ級初特選,デイ,晴,1.1
20260826_奈良_6R,20260826,53,奈良,松本勝明記念杯スピチャン杯,F1,6,333,38,33.4297,Ｓ級予選,デイ,曇,1.4
20260826_奈良_7R,20260826,53,奈良,松本勝明記念杯スピチャン杯,F1,7,333,38,33.4297,Ｓ級予選,デイ,曇,1.8
20260826_奈良_8R,20260826,53,奈良,松本勝明記念杯スピチャン杯,F1,8,333,38,33.4297,Ｓ級予選,デイ,曇,1.5
20260826_奈良_9R,20260826,53,奈良,松本勝明記念杯スピチャン杯,F1,9,333,38,33.4297,Ｓ級予選,デイ,曇,2.3
20260826_奈良_10R,20260826,53,奈良,松本勝明記念杯スピチャン杯,F1,10,333,38,33.4297,Ｓ級予選,デイ,晴,2.3
20260826_奈良_11R,20260826,53,奈良,松本勝明記念杯スピチャン杯,F1,11,333,38,33.4297,Ｓ級予選,デイ,晴,2.1
20260826_奈良_12R,20260826,53,奈良,松本勝明記念杯スピチャン杯,F1,12,333,38,33.4297,Ｓ級初特選,デイ,晴,2.1
20260826_玉野_1R,20260826,61,玉野,デイリースポーツ杯＆本田晴美杯,F1,1,400,47.9,30.6258,Ａ級予選,ナイター,晴,2.7
20260826_玉野_2R,20260826,61,玉野,デイリースポーツ杯＆本田晴美杯,F1,2,400,47.9,30.6258,Ａ級予選,ナイター,晴,3.6
20260826_玉野_3R,20260826,61,玉野,デイリースポーツ杯＆本田晴美杯,F1,3,400,47.9,30.6258,Ａ級予選,ナイター,晴,2.7
20260826_玉野_4R,20260826,61,玉野,デイリースポーツ杯＆本田晴美杯,F1,4,400,47.9,30.6258,Ａ級予選,ナイター,晴,2.7
20260826_玉野_5R,20260826,61,玉野,デイリースポーツ杯＆本田晴美杯,F1,5,400,47.9,30.6258,Ａ級初特選,ナイター,晴,3.1
20260826_玉野_6R,20260826,61,玉野,デイリースポーツ杯＆本田晴美杯,F1,6,400,47.9,30.6258,Ｓ級予選,ナイター,晴,1.8
