race_key,date,jo_code,jo_name,event_name,grade,race_no,track_length,straight_length,bank_angle,race_type,session,weather,wind_speed
20260907_いわき平_1R,20260907,13,いわき平,デイリースポーツＢｅｔｉｍｏ杯,F1,1,400,62.7,32.9125,Ａ級予選,ナイター,雨,1.0
20260907_いわき平_2R,20260907,13,いわき平,デイリースポーツＢｅｔｉｍｏ杯,F1,2,400,62.7,32.9125,Ａ級予選,ナイター,雨,1.0
20260907_いわき平_3R,20260907,13,いわき平,デイリースポーツＢｅｔｉｍｏ杯,F1,3,400,62.7,32.9125,Ａ級予選,ナイター,雨,1.0
20260907_いわき平_4R,20260907,13,いわき平,デイリースポーツＢｅｔｉｍｏ杯,F1,4,400,62.7,32.9125,Ａ級予選,ナイター,曇,1.0
20260907_いわき平_5R,20260907,13,いわき平,デイリースポーツＢｅｔｉｍｏ杯,F1,5,400,62.7,32.9125,Ａ級初特選,ナイター,曇,1.0
20260907_いわき平_6R,20260907,13,いわき平,デイリースポーツＢｅｔｉｍｏ杯,F1,6,400,62.7,32.9125,Ｓ級予選,ナイター,曇,1.0
20260907_いわき平_7R,20260907,13,いわき平,デイリースポーツＢｅｔｉｍｏ杯,F1,7,400,62.7,32.9125,Ｓ級予選,ナイター,曇,1.0
20260907_いわき平_8R,20260907,13,いわき平,デイリースポーツＢｅｔｉｍｏ杯,F1,8,400,62.7,32.9125,Ｓ級予選,ナイター,曇,1.0
20260907_いわき平_9R,20260907,13,いわき平,デイリースポーツＢｅｔｉｍｏ杯,F1,9,400,62.7,32.9125,Ｓ級予選,ナイター,曇,1.0
20260907_いわき平_10R,20260907,13,いわき平,デイリースポーツＢｅｔｉｍｏ杯,F1,10,400,62.7,32.9125,Ｓ級予選,ナイター,曇,1.0
20260907_いわき平_11R,20260907,13,いわき平,デイリースポーツＢｅｔｉｍｏ杯,F1,11,400,62.7,32.9125,Ｓ級予選,ナイター,曇,1.0
20260907_いわき平_12R,20260907,13,いわき平,デイリースポーツＢｅｔｉｍｏ杯,F1,12,400,62.7,32.9125,Ｓ級初特選,ナイター,曇,1.0
20260907_弥彦_1R,20260907,21,弥彦,ＢＳＮ新潟放送賞,F2,1,400,63.1,32.4047,Ａ級チ予選,デイ,曇,0.0
20260907_弥彦_2R,20260907,21,弥彦,ＢＳＮ新潟放送賞,F2,2,400,63.1,32.4047,Ａ級チ予選,デイ,曇,0.4
20260907_弥彦_3R,20260907,21,弥彦,ＢＳＮ新潟放送賞,F2,3,400,63.1,32.4047,Ａ級チ予選,デイ,曇,0.8
20260907_弥彦_4R,20260907,21,弥彦,ＢＳＮ新潟放送賞,F2,4,400,63.1,32.4047,Ａ級チ予選,デイ,曇,0.0
20260907_弥彦_5R,20260907,21,弥彦,ＢＳＮ新潟放送賞,F2,5,400,63.1,32.4047,Ｌ級ガ予１,デイ,曇,0.4
20260907_弥彦_6R,20260907,21,弥彦,ＢＳＮ新潟放送賞,F2,6,400,63.1,32.4047,Ｌ級ガ予１,デイ,曇,0.6
20260907_弥彦_7R,20260907,21,弥彦,ＢＳＮ新潟放送賞,F2,7,400,63.1,32.4047,Ａ級特予選,デイ,曇,0.3
20260907_弥彦_8R,20260907,21,弥彦,ＢＳＮ新潟放送賞,F2,8,400,63.1,32.4047,Ａ級特予選,デイ,曇,0.4
20260907_弥彦_9R,20260907,21,弥彦,ＢＳＮ新潟放送賞,F2,9,400,63.1,32.4047,Ａ級特予選,デイ,曇,0.0
20260907_弥彦_10R,20260907,21,弥彦,ＢＳＮ新潟放送賞,F2,10,400,63.1,32.4047,Ａ級特予選,デイ,曇,2.0
