race_key,date,jo_code,jo_name,event_name,grade,race_no,track_length,straight_length,bank_angle,race_type,session,weather,wind_speed
20260902_弥彦_1R,20260902,21,弥彦,前検日コメならウィンチケット杯,F2,1,400,63.1,32.4047,Ａ級チ予選,ミッドナイト,曇,0.0
20260902_弥彦_2R,20260902,21,弥彦,前検日コメならウィンチケット杯,F2,2,400,63.1,32.4047,Ａ級チ予選,ミッドナイト,曇,0.0
20260902_弥彦_3R,20260902,21,弥彦,前検日コメならウィンチケット杯,F2,3,400,63.1,32.4047,Ａ級チ予選,ミッドナイト,曇,0.0
20260902_弥彦_4R,20260902,21,弥彦,前検日コメならウィンチケット杯,F2,4,400,63.1,32.4047,Ａ級チ予選,ミッドナイト,曇,0.0
20260902_弥彦_5R,20260902,21,弥彦,前検日コメならウィンチケット杯,F2,5,400,63.1,32.4047,Ａ級チ予選,ミッドナイト,曇,0.0
20260902_弥彦_6R,20260902,21,弥彦,前検日コメならウィンチケット杯,F2,6,400,63.1,32.4047,Ａ級チ予選,ミッドナイト,曇,0.0
20260902_弥彦_7R,20260902,21,弥彦,前検日コメならウィンチケット杯,F2,7,400,63.1,32.4047,Ａ級チ予選,ミッドナイト,曇,0.0
20260902_宇都宮_1R,20260902,24,宇都宮,報知新聞社杯,F1,1,500,63.3,25.7956,Ａ級一般,ナイター,晴,1.0
20260902_宇都宮_2R,20260902,24,宇都宮,報知新聞社杯,F1,2,500,63.3,25.7956,Ａ級一般,ナイター,曇,1.0
20260902_宇都宮_3R,20260902,24,宇都宮,報知新聞社杯,F1,3,500,63.3,25.7956,Ａ級特選,ナイター,曇,1.0
20260902_宇都宮_4R,20260902,24,宇都宮,報知新聞社杯,F1,4,500,63.3,25.7956,Ａ級特選,ナイター,曇,1.0
20260902_宇都宮_5R,20260902,24,宇都宮,報知新聞社杯,F1,5,500,63.3,25.7956,Ｓ級一般,ナイター,曇,1.0
20260902_宇都宮_6R,20260902,24,宇都宮,報知新聞社杯,F1,6,500,63.3,25.7956,Ｓ級一般,ナイター,曇,1.0
