race_key,date,jo_code,jo_name,event_name,grade,race_no,track_length,straight_length,bank_angle,race_type,session,weather,wind_speed
20260925_弥彦_1R,20260925,21,弥彦,オッズパーク杯,F2,1,400,63.1,32.4047,Ａ級チ一般,ミッドナイト,晴,0.0
20260925_弥彦_2R,20260925,21,弥彦,オッズパーク杯,F2,2,400,63.1,32.4047,Ａ級チ一般,ミッドナイト,晴,0.0
20260925_弥彦_3R,20260925,21,弥彦,オッズパーク杯,F2,3,400,63.1,32.4047,Ａ級チ選抜,ミッドナイト,晴,0.0
20260925_弥彦_4R,20260925,21,弥彦,オッズパーク杯,F2,4,400,63.1,32.4047,Ａ級チ選抜,ミッドナイト,晴,0.0
20260925_弥彦_5R,20260925,21,弥彦,オッズパーク杯,F2,5,400,63.1,32.4047,Ａ級チ準決,ミッドナイト,晴,0.0
20260925_弥彦_6R,20260925,21,弥彦,オッズパーク杯,F2,6,400,63.1,32.4047,Ａ級チ準決,ミッドナイト,晴,0.0
20260925_弥彦_7R,20260925,21,弥彦,オッズパーク杯,F2,7,400,63.1,32.4047,Ａ級チ準決,ミッドナイト,晴,0.0
20260925_川崎_1R,20260925,34,川崎,前検コメはウィンチケット杯,F2,1,400,58,32.1706,Ａ級チ一般,ミッドナイト,曇,1.0
20260925_川崎_2R,20260925,34,川崎,前検コメはウィンチケット杯,F2,2,400,58,32.1706,Ａ級チ一般,ミッドナイト,曇,1.0
20260925_川崎_3R,20260925,34,川崎,前検コメはウィンチケット杯,F2,3,400,58,32.1706,Ａ級チ選抜,ミッドナイト,曇,1.0
20260925_川崎_4R,20260925,34,川崎,前検コメはウィンチケット杯,F2,4,400,58,32.1706,Ａ級チ選抜,ミッドナイト,曇,1.0
20260925_川崎_5R,20260925,34,川崎,前検コメはウィンチケット杯,F2,5,400,58,32.1706,Ａ級チ準決,ミッドナイト,曇,1.0
20260925_川崎_6R,20260925,34,川崎,前検コメはウィンチケット杯,F2,6,400,58,32.1706,Ａ級チ準決,ミッドナイト,曇,1.0
20260925_川崎_7R,20260925,34,川崎,前検コメはウィンチケット杯,F2,7,400,58,32.1706,Ａ級チ準決,ミッドナイト,曇,1.0
20260925_伊東_1R,20260925,37,伊東,スポーツニッポン杯争奪戦,F1,1,333,46.6,34.6858,Ａ級一般,ナイター,晴,0.5
