race_key,date,jo_code,jo_name,event_name,grade,race_no,track_length,straight_length,bank_angle,race_type,session,weather,wind_speed
20260824_青森_1R,20260824,12,青森,前検日コメならウィンチケット杯,F2,1,400,58.9,32.2519,Ａ級チ予選,ミッドナイト,曇,1.0
20260824_青森_2R,20260824,12,青森,前検日コメならウィンチケット杯,F2,2,400,58.9,32.2519,Ａ級チ予選,ミッドナイト,曇,1.0
20260824_青森_3R,20260824,12,青森,前検日コメならウィンチケット杯,F2,3,400,58.9,32.2519,Ａ級チ予選,ミッドナイト,曇,1.0
20260824_青森_4R,20260824,12,青森,前検日コメならウィンチケット杯,F2,4,400,58.9,32.2519,Ａ級チ予選,ミッドナイト,曇,1.0
20260824_青森_5R,20260824,12,青森,前検日コメならウィンチケット杯,F2,5,400,58.9,32.2519,Ａ級チ予選,ミッドナイト,曇,1.0
20260824_青森_6R,20260824,12,青森,前検日コメならウィンチケット杯,F2,6,400,58.9,32.2519,Ａ級チ予選,ミッドナイト,曇,1.0
20260824_青森_7R,20260824,12,青森,前検日コメならウィンチケット杯,F2,7,400,58.9,32.2519,Ａ級チ予選,ミッドナイト,曇,1.0
20260824_宇都宮_1R,20260824,24,宇都宮,オッズパーク杯,F2,1,500,63.3,25.7956,Ａ級チ予選,ミッドナイト,晴,0.0
20260824_宇都宮_2R,20260824,24,宇都宮,オッズパーク杯,F2,2,500,63.3,25.7956,Ａ級チ予選,ミッドナイト,晴,0.0
20260824_宇都宮_3R,20260824,24,宇都宮,オッズパーク杯,F2,3,500,63.3,25.7956,Ａ級チ予選,ミッドナイト,晴,0.0
20260824_宇都宮_4R,20260824,24,宇都宮,オッズパーク杯,F2,4,500,63.3,25.7956,Ａ級チ予選,ミッドナイト,晴,0.0
20260824_宇都宮_5R,20260824,24,宇都宮,オッズパーク杯,F2,5,500,63.3,25.7956,Ａ級チ予選,ミッドナイト,晴,0.0
20260824_宇都宮_6R,20260824,24,宇都宮,オッズパーク杯,F2,6,500,63.3,25.7956,Ａ級チ予選,ミッドナイト,晴,0.0
20260824_宇都宮_7R,20260824,24,宇都宮,オッズパーク杯,F2,7,500,63.3,25.7956,Ａ級チ予選,ミッドナイト,晴,0.0
20260824_立川_1R,20260824,28,立川,サンケイスポーツ杯,F2,1,400,58,31.2183,Ａ級チ一般,モーニング,晴,1.0
20260824_立川_2R,20260824,28,立川,サンケイスポーツ杯,F2,2,400,58,31.2183,Ａ級チ一般,モーニング,晴,0.5
20260824_立川_3R,20260824,28,立川,サンケイスポーツ杯,F2,3,400,58,31.2183,Ａ級チ一般,モーニング,晴,0.5
20260824_立川_4R,20260824,28,立川,サンケイスポーツ杯,F2,4,400,58,31.2183,Ａ級チ選抜,モーニング,晴,1.0
20260824_立川_5R,20260824,28,立川,サンケイスポーツ杯,F2,5,400,58,31.2183,Ａ級チ選抜,モーニング,晴,1.0
20260824_立川_6R,20260824,28,立川,サンケイスポーツ杯,F2,6,400,58,31.2183,Ａ級チ選抜,モーニング,晴,1.0
20260824_立川_7R,20260824,28,立川,サンケイスポーツ杯,F2,7,400,58,31.2183,Ａ級チ決勝,モーニング,晴,1.0
20260824_松戸_1R,20260824,31,松戸,燦燦ダイヤモンド滝澤正光杯,G3,1,333,38.2,29.745,Ｓ級一般,ナイター,晴,1.5
20260824_松戸_2R,20260824,31,松戸,燦燦ダイヤモンド滝澤正光杯,G3,2,333,38.2,29.745,Ｓ級一般,ナイター,晴,1.5
20260824_松戸_3R,20260824,31,松戸,燦燦ダイヤモンド滝澤正光杯,G3,3,333,38.2,29.745,Ｓ級一般,ナイター,晴,1.5
20260824_松戸_4R,20260824,31,松戸,燦燦ダイヤモンド滝澤正光杯,G3,4,333,38.2,29.745,Ｓ級選抜,ナイター,晴,1.0
20260824_松戸_5R,20260824,31,松戸,燦燦ダイヤモンド滝澤正光杯,G3,5,333,38.2,29.745,Ｓ級選抜,ナイター,晴,1.0
20260824_松戸_6R,20260824,31,松戸,燦燦ダイヤモンド滝澤正光杯,G3,6,333,38.2,29.745,Ｓ級選抜,ナイター,晴,1.0
20260824_松戸_7R,20260824,31,松戸,燦燦ダイヤモンド滝澤正光杯,G3,7,333,38.2,29.745,Ｓ級特選,ナイター,晴,1.0
