race_key,date,jo_code,jo_name,event_name,grade,race_no,track_length,straight_length,bank_angle,race_type,session,weather,wind_speed
20260720_京王閣_1R,20260720,27,京王閣,前検日コメならウィンチケット杯,F2,1,400,51.5,32.1761,Ａ級チ一般,ミッドナイト,晴,0.5
20260720_京王閣_2R,20260720,27,京王閣,前検日コメならウィンチケット杯,F2,2,400,51.5,32.1761,Ａ級チ一般,ミッドナイト,晴,0.5
20260720_京王閣_3R,20260720,27,京王閣,前検日コメならウィンチケット杯,F2,3,400,51.5,32.1761,Ａ級チ準決,ミッドナイト,晴,0.5
20260720_京王閣_4R,20260720,27,京王閣,前検日コメならウィンチケット杯,F2,4,400,51.5,32.1761,Ａ級チ準決,ミッドナイト,晴,0.0
20260720_京王閣_5R,20260720,27,京王閣,前検日コメならウィンチケット杯,F2,5,400,51.5,32.1761,Ａ級特一般,ミッドナイト,晴,1.0
20260720_京王閣_6R,20260720,27,京王閣,前検日コメならウィンチケット杯,F2,6,400,51.5,32.1761,Ａ級特一般,ミッドナイト,晴,1.0
20260720_京王閣_7R,20260720,27,京王閣,前検日コメならウィンチケット杯,F2,7,400,51.5,32.1761,Ａ級準決勝,ミッドナイト,晴,0.0
20260720_京王閣_8R,20260720,27,京王閣,前検日コメならウィンチケット杯,F2,8,400,51.5,32.1761,Ａ級準決勝,ミッドナイト,晴,1.0
20260720_京王閣_9R,20260720,27,京王閣,前検日コメならウィンチケット杯,F2,9,400,51.5,32.1761,Ａ級準決勝,ミッドナイト,晴,0.5
20260720_松戸_1R,20260720,31,松戸,第８回みんなの競輪カップ,F2,1,333,38.2,29.745,Ａ級チ一般,モーニング,晴,0.5
20260720_松戸_2R,20260720,31,松戸,第８回みんなの競輪カップ,F2,2,333,38.2,29.745,Ａ級チ一般,モーニング,晴,0.5
20260720_松戸_3R,20260720,31,松戸,第８回みんなの競輪カップ,F2,3,333,38.2,29.745,Ａ級チ選抜,モーニング,晴,0.5
20260720_松戸_4R,20260720,31,松戸,第８回みんなの競輪カップ,F2,4,333,38.2,29.745,Ａ級チ選抜,モーニング,晴,0.5
20260720_松戸_5R,20260720,31,松戸,第８回みんなの競輪カップ,F2,5,333,38.2,29.745,Ａ級チ準決,モーニング,晴,0.5
20260720_松戸_6R,20260720,31,松戸,第８回みんなの競輪カップ,F2,6,333,38.2,29.745,Ａ級チ準決,モーニング,晴,0.5
20260720_松戸_7R,20260720,31,松戸,第８回みんなの競輪カップ,F2,7,333,38.2,29.745,Ａ級チ準決,モーニング,晴,0.5
20260720_静岡_1R,20260720,38,静岡,ＪＣ×ＨＰＣＪＣ・Ｋドリ杯,F1,1,400,56.4,30.7228,Ａ級一般,デイ,晴,1.0
20260720_静岡_2R,20260720,38,静岡,ＪＣ×ＨＰＣＪＣ・Ｋドリ杯,F1,2,400,56.4,30.7228,Ａ級一般,デイ,晴,1.0
20260720_静岡_3R,20260720,38,静岡,ＪＣ×ＨＰＣＪＣ・Ｋドリ杯,F1,3,400,56.4,30.7228,Ａ級特選,デイ,晴,1.0
20260720_静岡_4R,20260720,38,静岡,ＪＣ×ＨＰＣＪＣ・Ｋドリ杯,F1,4,400,56.4,30.7228,Ａ級特選,デイ,晴,1.5
20260720_静岡_5R,20260720,38,静岡,ＪＣ×ＨＰＣＪＣ・Ｋドリ杯,F1,5,400,56.4,30.7228,Ｌ級ガ一般,デイ,晴,2.0
20260720_静岡_6R,20260720,38,静岡,ＪＣ×ＨＰＣＪＣ・Ｋドリ杯,F1,6,400,56.4,30.7228,Ｓ級一般,デイ,晴,1.5
20260720_静岡_7R,20260720,38,静岡,ＪＣ×ＨＰＣＪＣ・Ｋドリ杯,F1,7,400,56.4,30.7228,Ｓ級一般,デイ,晴,2.0
20260720_静岡_8R,20260720,38,静岡,ＪＣ×ＨＰＣＪＣ・Ｋドリ杯,F1,8,400,56.4,30.7228,Ｓ級特選,デイ,晴,2.0
20260720_静岡_9R,20260720,38,静岡,ＪＣ×ＨＰＣＪＣ・Ｋドリ杯,F1,9,400,56.4,30.7228,Ｓ級特選,デイ,晴,2.0
20260720_静岡_10R,20260720,38,静岡,ＪＣ×ＨＰＣＪＣ・Ｋドリ杯,F1,10,400,56.4,30.7228,Ａ級決勝,デイ,晴,1.5
20260720_静岡_11R,20260720,38,静岡,ＪＣ×ＨＰＣＪＣ・Ｋドリ杯,F1,11,400,56.4,30.7228,Ｌ級ガ決勝,デイ,晴,1.0
20260720_静岡_12R,20260720,38,静岡,ＪＣ×ＨＰＣＪＣ・Ｋドリ杯,F1,12,400,56.4,30.7228,Ｓ級決勝,デイ,晴,1.0
