race_key,date,jo_code,jo_name,event_name,grade,race_no,track_length,straight_length,bank_angle,race_type,session,weather,wind_speed
20260811_弥彦_1R,20260811,21,弥彦,ＫＥＩＲＩＮライジングスターズ,F1,1,400,63.1,32.4047,Ａ級予選,デイ,曇,1.3
20260811_弥彦_2R,20260811,21,弥彦,ＫＥＩＲＩＮライジングスターズ,F1,2,400,63.1,32.4047,Ａ級予選,デイ,曇,1.8
20260811_弥彦_3R,20260811,21,弥彦,ＫＥＩＲＩＮライジングスターズ,F1,3,400,63.1,32.4047,Ａ級予選,デイ,曇,1.8
20260811_弥彦_4R,20260811,21,弥彦,ＫＥＩＲＩＮライジングスターズ,F1,4,400,63.1,32.4047,Ａ級予選,デイ,曇,1.0
20260811_弥彦_5R,20260811,21,弥彦,ＫＥＩＲＩＮライジングスターズ,F1,5,400,63.1,32.4047,Ａ級初特選,デイ,曇,0.9
20260811_弥彦_6R,20260811,21,弥彦,ＫＥＩＲＩＮライジングスターズ,F1,6,400,63.1,32.4047,Ｓ級予選,デイ,曇,2.2
20260811_弥彦_7R,20260811,21,弥彦,ＫＥＩＲＩＮライジングスターズ,F1,7,400,63.1,32.4047,Ｓ級予選,デイ,曇,1.0
20260811_弥彦_8R,20260811,21,弥彦,ＫＥＩＲＩＮライジングスターズ,F1,8,400,63.1,32.4047,Ｓ級予選,デイ,曇,1.3
20260811_弥彦_9R,20260811,21,弥彦,ＫＥＩＲＩＮライジングスターズ,F1,9,400,63.1,32.4047,Ｓ級予選,デイ,曇,1.8
20260811_弥彦_10R,20260811,21,弥彦,ＫＥＩＲＩＮライジングスターズ,F1,10,400,63.1,32.4047,Ｓ級予選,デイ,曇,0.9
20260811_弥彦_11R,20260811,21,弥彦,ＫＥＩＲＩＮライジングスターズ,F1,11,400,63.1,32.4047,Ｓ級予選,デイ,曇,1.3
20260811_弥彦_12R,20260811,21,弥彦,ＫＥＩＲＩＮライジングスターズ,F1,12,400,63.1,32.4047,Ｓ級初特選,デイ,曇,1.3
20260811_前橋_1R,20260811,22,前橋,ティーネットエンタープライズＣ,F2,1,335,46.7,36,Ａ級チ一般,ナイター,曇,0.0
20260811_前橋_2R,20260811,22,前橋,ティーネットエンタープライズＣ,F2,2,335,46.7,36,Ａ級チ一般,ナイター,曇,0.0
20260811_前橋_3R,20260811,22,前橋,ティーネットエンタープライズＣ,F2,3,335,46.7,36,Ａ級チ選抜,ナイター,曇,0.0
20260811_前橋_4R,20260811,22,前橋,ティーネットエンタープライズＣ,F2,4,335,46.7,36,Ａ級チ選抜,ナイター,曇,0.0
20260811_前橋_5R,20260811,22,前橋,ティーネットエンタープライズＣ,F2,5,335,46.7,36,Ａ級特一般,ナイター,曇,0.0
20260811_前橋_6R,20260811,22,前橋,ティーネットエンタープライズＣ,F2,6,335,46.7,36,Ａ級特一般,ナイター,曇,0.0
20260811_前橋_7R,20260811,22,前橋,ティーネットエンタープライズＣ,F2,7,335,46.7,36,Ａ級特選,ナイター,曇,0.0
20260811_前橋_8R,20260811,22,前橋,ティーネットエンタープライズＣ,F2,8,335,46.7,36,Ａ級特選,ナイター,曇,0.0
20260811_前橋_9R,20260811,22,前橋,ティーネットエンタープライズＣ,F2,9,335,46.7,36,Ａ級特選,ナイター,曇,0.0
20260811_前橋_10R,20260811,22,前橋,ティーネットエンタープライズＣ,F2,10,335,46.7,36,Ａ級チ決勝,ナイター,曇,0.0
20260811_前橋_11R,20260811,22,前橋,ティーネットエンタープライズＣ,F2,11,335,46.7,36,Ａ級決勝,ナイター,曇,0.0
20260811_川崎_1R,20260811,34,川崎,チャリロト杯,F2,1,400,58,32.1706,Ｌ級ガ一般,ミッドナイト,雨,1.5
20260811_川崎_2R,20260811,34,川崎,チャリロト杯,F2,2,400,58,32.1706,Ａ級一般,ミッドナイト,雨,1.5
20260811_川崎_3R,20260811,34,川崎,チャリロト杯,F2,3,400,58,32.1706,Ａ級一般,ミッドナイト,雨,2.5
20260811_川崎_4R,20260811,34,川崎,チャリロト杯,F2,4,400,58,32.1706,Ａ級一般,ミッドナイト,雨,2.0
20260811_川崎_5R,20260811,34,川崎,チャリロト杯,F2,5,400,58,32.1706,Ａ級特選,ミッドナイト,雨,3.0
20260811_川崎_6R,20260811,34,川崎,チャリロト杯,F2,6,400,58,32.1706,Ａ級特選,ミッドナイト,雨,2.5
20260811_川崎_7R,20260811,34,川崎,チャリロト杯,F2,7,400,58,32.1706,Ａ級特選,ミッドナイト,雨,2.5
20260811_川崎_8R,20260811,34,川崎,チャリロト杯,F2,8,400,58,32.1706,Ｌ級ガ決勝,ミッドナイト,雨,2.0
20260811_川崎_9R,20260811,34,川崎,チャリロト杯,F2,9,400,58,32.1706,Ａ級決勝,ミッドナイト,雨,2.0
20260811_平塚_1R,20260811,35,平塚,楽天Ｋドリームス杯,F2,1,400,54.2,31.4769,Ａ級チ一般,モーニング,曇,0.5
20260811_平塚_2R,20260811,35,平塚,楽天Ｋドリームス杯,F2,2,400,54.2,31.4769,Ａ級チ一般,モーニング,曇,0.5
20260811_平塚_3R,20260811,35,平塚,楽天Ｋドリームス杯,F2,3,400,54.2,31.4769,Ａ級チ一般,モーニング,曇,1.0
20260811_平塚_4R,20260811,35,平塚,楽天Ｋドリームス杯,F2,4,400,54.2,31.4769,Ａ級チ選抜,モーニング,曇,1.0
20260811_平塚_5R,20260811,35,平塚,楽天Ｋドリームス杯,F2,5,400,54.2,31.4769,Ａ級チ選抜,モーニング,曇,1.0
20260811_平塚_6R,20260811,35,平塚,楽天Ｋドリームス杯,F2,6,400,54.2,31.4769,Ａ級チ選抜,モーニング,曇,1.5
20260811_平塚_7R,20260811,35,平塚,楽天Ｋドリームス杯,F2,7,400,54.2,31.4769,Ａ級チ決勝,モーニング,曇,1.5
20260811_富山_1R,20260811,46,富山,仲間と繋がるＴＩＰＳＴＡＲ杯,F2,1,333,43,33.69,Ａ級チ一般,デイ,晴,1.3
20260811_富山_2R,20260811,46,富山,仲間と繋がるＴＩＰＳＴＡＲ杯,F2,2,333,43,33.69,Ａ級チ一般,デイ,晴,1.8
20260811_富山_3R,20260811,46,富山,仲間と繋がるＴＩＰＳＴＡＲ杯,F2,3,333,43,33.69,Ａ級チ準決,デイ,晴,1.5
