race_key,date,jo_code,jo_name,event_name,grade,race_no,track_length,straight_length,bank_angle,race_type,session,weather,wind_speed
20260916_青森_1R,20260916,12,青森,前検日コメならウィンチケット杯,F2,1,400,58.9,32.2519,Ｌ級ガ一般,ミッドナイト,曇,1.0
20260916_青森_2R,20260916,12,青森,前検日コメならウィンチケット杯,F2,2,400,58.9,32.2519,Ａ級一般,ミッドナイト,曇,1.0
20260916_青森_3R,20260916,12,青森,前検日コメならウィンチケット杯,F2,3,400,58.9,32.2519,Ａ級一般,ミッドナイト,曇,1.0
20260916_青森_4R,20260916,12,青森,前検日コメならウィンチケット杯,F2,4,400,58.9,32.2519,Ａ級一般,ミッドナイト,曇,1.0
20260916_青森_5R,20260916,12,青森,前検日コメならウィンチケット杯,F2,5,400,58.9,32.2519,Ａ級特選,ミッドナイト,曇,1.0
20260916_青森_6R,20260916,12,青森,前検日コメならウィンチケット杯,F2,6,400,58.9,32.2519,Ａ級特選,ミッドナイト,曇,1.0
20260916_青森_7R,20260916,12,青森,前検日コメならウィンチケット杯,F2,7,400,58.9,32.2519,Ａ級特選,ミッドナイト,曇,1.0
20260916_青森_8R,20260916,12,青森,前検日コメならウィンチケット杯,F2,8,400,58.9,32.2519,Ｌ級ガ決勝,ミッドナイト,曇,1.0
20260916_青森_9R,20260916,12,青森,前検日コメならウィンチケット杯,F2,9,400,58.9,32.2519,Ａ級決勝,ミッドナイト,曇,1.0
20260916_いわき平_1R,20260916,13,いわき平,福島民報杯・ウィンチケット杯,F2,1,400,62.7,32.9125,Ａ級チ一般,ナイター,雨,1.0
20260916_いわき平_2R,20260916,13,いわき平,福島民報杯・ウィンチケット杯,F2,2,400,62.7,32.9125,Ａ級チ一般,ナイター,雨,2.0
20260916_いわき平_3R,20260916,13,いわき平,福島民報杯・ウィンチケット杯,F2,3,400,62.7,32.9125,Ａ級チ準決,ナイター,雨,1.0
20260916_いわき平_4R,20260916,13,いわき平,福島民報杯・ウィンチケット杯,F2,4,400,62.7,32.9125,Ａ級チ準決,ナイター,雨,1.0
20260916_いわき平_5R,20260916,13,いわき平,福島民報杯・ウィンチケット杯,F2,5,400,62.7,32.9125,Ｌ級ガ予２,ナイター,雨,1.0
20260916_いわき平_6R,20260916,13,いわき平,福島民報杯・ウィンチケット杯,F2,6,400,62.7,32.9125,Ｌ級ガ予２,ナイター,雨,1.0
20260916_いわき平_7R,20260916,13,いわき平,福島民報杯・ウィンチケット杯,F2,7,400,62.7,32.9125,Ａ級特一般,ナイター,雨,1.0
20260916_いわき平_8R,20260916,13,いわき平,福島民報杯・ウィンチケット杯,F2,8,400,62.7,32.9125,Ａ級特一般,ナイター,雨,1.0
20260916_いわき平_9R,20260916,13,いわき平,福島民報杯・ウィンチケット杯,F2,9,400,62.7,32.9125,Ａ級準決勝,ナイター,雨,1.0
20260916_いわき平_10R,20260916,13,いわき平,福島民報杯・ウィンチケット杯,F2,10,400,62.7,32.9125,Ａ級準決勝,ナイター,雨,1.0
20260916_いわき平_11R,20260916,13,いわき平,福島民報杯・ウィンチケット杯,F2,11,400,62.7,32.9125,Ａ級準決勝,ナイター,雨,1.0
20260916_立川_1R,20260916,28,立川,報知ゴールドカップ,F2,1,400,58,31.2183,Ａ級チ予選,デイ,雨,1.0
20260916_立川_2R,20260916,28,立川,報知ゴールドカップ,F2,2,400,58,31.2183,Ａ級チ予選,デイ,雨,1.0
20260916_立川_3R,20260916,28,立川,報知ゴールドカップ,F2,3,400,58,31.2183,Ａ級チ予選,デイ,雨,1.5
20260916_立川_4R,20260916,28,立川,報知ゴールドカップ,F2,4,400,58,31.2183,Ａ級チ予選,デイ,雨,1.5
20260916_立川_5R,20260916,28,立川,報知ゴールドカップ,F2,5,400,58,31.2183,Ｌ級ガ予１,デイ,雨,0.5
20260916_立川_6R,20260916,28,立川,報知ゴールドカップ,F2,6,400,58,31.2183,Ｌ級ガ予１,デイ,雨,1.5
20260916_立川_7R,20260916,28,立川,報知ゴールドカップ,F2,7,400,58,31.2183,Ａ級特予選,デイ,雨,1.0
20260916_立川_8R,20260916,28,立川,報知ゴールドカップ,F2,8,400,58,31.2183,Ａ級特予選,デイ,雨,1.0
20260916_立川_9R,20260916,28,立川,報知ゴールドカップ,F2,9,400,58,31.2183,Ａ級特予選,デイ,曇,2.0
20260916_立川_10R,20260916,28,立川,報知ゴールドカップ,F2,10,400,58,31.2183,Ａ級特予選,デイ,雨,2.0
20260916_立川_11R,20260916,28,立川,報知ゴールドカップ,F2,11,400,58,31.2183,Ａ級初特選,デイ,雨,1.0
20260916_伊東_1R,20260916,37,伊東,ミッドナイトＧ３×ＨＰＣＪＣ,G3,1,333,46.6,34.6858,Ｌ級ガ一般,ミッドナイト,雨,1.5
20260916_伊東_2R,20260916,37,伊東,ミッドナイトＧ３×ＨＰＣＪＣ,G3,2,333,46.6,34.6858,Ｓ級選抜,ミッドナイト,雨,1.0
20260916_伊東_3R,20260916,37,伊東,ミッドナイトＧ３×ＨＰＣＪＣ,G3,3,333,46.6,34.6858,Ｓ級選抜,ミッドナイト,雨,1.0
20260916_伊東_4R,20260916,37,伊東,ミッドナイトＧ３×ＨＰＣＪＣ,G3,4,333,46.6,34.6858,Ｓ級選抜,ミッドナイト,雨,1.0
20260916_伊東_5R,20260916,37,伊東,ミッドナイトＧ３×ＨＰＣＪＣ,G3,5,333,46.6,34.6858,Ｓ級特選,ミッドナイト,曇,1.0
20260916_伊東_6R,20260916,37,伊東,ミッドナイトＧ３×ＨＰＣＪＣ,G3,6,333,46.6,34.6858,Ｓ級特選,ミッドナイト,曇,1.5
20260916_伊東_7R,20260916,37,伊東,ミッドナイトＧ３×ＨＰＣＪＣ,G3,7,333,46.6,34.6858,Ｓ級特選,ミッドナイト,曇,1.5
20260916_伊東_8R,20260916,37,伊東,ミッドナイトＧ３×ＨＰＣＪＣ,G3,8,333,46.6,34.6858,Ｌ級ガ決勝,ミッドナイト,雨,2.0
20260916_伊東_9R,20260916,37,伊東,ミッドナイトＧ３×ＨＰＣＪＣ,G3,9,333,46.6,34.6858,Ｓ級決勝,ミッドナイト,雨,2.0
20260916_岸和田_1R,20260916,56,岸和田,前検日コメならウィンチケット杯,F2,1,400,56.7,30.9333,Ａ級チ一般,デイ,曇,0.9
20260916_岸和田_2R,20260916,56,岸和田,前検日コメならウィンチケット杯,F2,2,400,56.7,30.9333,Ａ級チ一般,デイ,雨,0.9
20260916_岸和田_3R,20260916,56,岸和田,前検日コメならウィンチケット杯,F2,3,400,56.7,30.9333,Ａ級チ選抜,デイ,曇,0.4
20260916_岸和田_4R,20260916,56,岸和田,前検日コメならウィンチケット杯,F2,4,400,56.7,30.9333,Ａ級チ決勝,デイ,雨,0.2
20260916_岸和田_5R,20260916,56,岸和田,前検日コメならウィンチケット杯,F2,5,400,56.7,30.9333,Ｌ級ガ一般,デイ,雨,0.9
20260916_岸和田_6R,20260916,56,岸和田,前検日コメならウィンチケット杯,F2,6,400,56.7,30.9333,Ｌ級ガ決勝,デイ,雨,0.2
20260916_岸和田_7R,20260916,56,岸和田,前検日コメならウィンチケット杯,F2,7,400,56.7,30.9333,Ａ級特一般,デイ,雨,0.2
20260916_岸和田_8R,20260916,56,岸和田,前検日コメならウィンチケット杯,F2,8,400,56.7,30.9333,Ａ級特一般,デイ,雨,0.4
20260916_岸和田_9R,20260916,56,岸和田,前検日コメならウィンチケット杯,F2,9,400,56.7,30.9333,Ａ級特選,デイ,曇,0.4
20260916_岸和田_10R,20260916,56,岸和田,前検日コメならウィンチケット杯,F2,10,400,56.7,30.9333,Ａ級特選,デイ,曇,0.9
20260916_岸和田_11R,20260916,56,岸和田,前検日コメならウィンチケット杯,F2,11,400,56.7,30.9333,Ａ級決勝,デイ,雨,0.4
20260916_防府_1R,20260916,63,防府,第６回石村正利記念杯,F1,1,333,42.5,34.6858,Ａ級一般,デイ,晴,0.5
20260916_防府_2R,20260916,63,防府,第６回石村正利記念杯,F1,2,333,42.5,34.6858,Ａ級一般,デイ,曇,0.6
20260916_防府_3R,20260916,63,防府,第６回石村正利記念杯,F1,3,333,42.5,34.6858,Ａ級準決勝,デイ,曇,0.4
20260916_防府_4R,20260916,63,防府,第６回石村正利記念杯,F1,4,333,42.5,34.6858,Ａ級準決勝,デイ,曇,0.3
20260916_防府_5R,20260916,63,防府,第６回石村正利記念杯,F1,5,333,42.5,34.6858,Ａ級準決勝,デイ,曇,0.4
20260916_防府_6R,20260916,63,防府,第６回石村正利記念杯,F1,6,333,42.5,34.6858,Ｓ級一般,デイ,曇,0.6
20260916_防府_7R,20260916,63,防府,第６回石村正利記念杯,F1,7,333,42.5,34.6858,Ｓ級一般,デイ,曇,0.3
20260916_防府_8R,20260916,63,防府,第６回石村正利記念杯,F1,8,333,42.5,34.6858,Ｓ級選抜,デイ,曇,0.3
20260916_防府_9R,20260916,63,防府,第６回石村正利記念杯,F1,9,333,42.5,34.6858,Ｓ級選抜,デイ,曇,0.9
20260916_防府_10R,20260916,63,防府,第６回石村正利記念杯,F1,10,333,42.5,34.6858,Ｓ級準決勝,デイ,曇,0.4
20260916_防府_11R,20260916,63,防府,第６回石村正利記念杯,F1,11,333,42.5,34.6858,Ｓ級準決勝,デイ,曇,1.2
20260916_防府_12R,20260916,63,防府,第６回石村正利記念杯,F1,12,333,42.5,34.6858,Ｓ級準決勝,デイ,晴,0.3
20260916_武雄_1R,20260916,84,武雄,オッズパーク杯,F2,1,400,64.4,32.0053,Ａ級チ予選,モーニング,晴,0.5
20260916_武雄_2R,20260916,84,武雄,オッズパーク杯,F2,2,400,64.4,32.0053,Ａ級チ予選,モーニング,晴,1.0
20260916_武雄_3R,20260916,84,武雄,オッズパーク杯,F2,3,400,64.4,32.0053,Ａ級チ予選,モーニング,晴,0.5
